Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Бардымская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в список"	19028	472	496	302	59	2460	1915	1569	241	95	129	344	328	303	138	304	989	207	65	1006	107	232	203	408	209	765	457	438	150	302	91	76	131	170	62	400	135	126	1058	333	500	112	275	340	212	234	80					
2	Число полученных избирательных бюллетеней	19910	490	500	300	70	2530	1980	1580	290	110	160	360	370	330	150	330	1000	220	80	1070	120	250	230	430	220	870	540	480	150	310	100	75	150	170	70	415	140	125	1000	330	510	110	290	380	220	230	75					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13599	337	385	245	56	1536	1103	993	203	87	101	286	287	240	106	237	727	147	60	741	99	172	151	318	189	618	372	334	118	240	59	61	104	125	54	251	89	97	782	223	373	92	216	272	119	148	46					
5	"Число избирательных бюллетеней, выданных вне помещения"	1426	78	25	15	3	85	76	18	26	5	15	37	14	17	19	28	44	43	5	75	7	34	19	28	12	58	54	64	14	32	20	10	6	11	6	62	29	13	63	25	19	11	20	30	72	54	25					
6	Число погашенных избирательных бюллетеней	4885	75	90	40	11	909	801	569	61	18	44	37	69	73	25	65	229	30	15	254	14	44	60	84	19	194	114	82	18	38	21	4	40	34	10	102	22	15	155	82	118	7	54	78	29	28	4					
7	Число избирательных бюллетеней в переносных ящиках	1426	78	25	15	3	85	76	18	26	5	15	37	14	17	19	28	44	43	5	75	7	34	19	28	12	58	54	64	14	32	20	10	6	11	6	62	29	13	63	25	19	11	20	30	72	54	25					
8	Число бюллетеней в стационарных ящиках для голосования	13599	337	385	245	56	1536	1103	993	203	87	101	286	287	240	106	237	727	147	60	741	99	172	151	318	189	618	372	334	118	240	59	61	104	125	54	251	89	97	782	223	373	92	216	272	119	148	46					
9	Число недействительных избирательных бюллетеней	166	0	7	4	0	13	4	10	5	5	1	2	5	4	3	0	12	0	1	8	2	3	6	0	4	8	5	5	3	4	1	0	1	3	0	0	1	0	13	2	6	0	4	8	1	2	0					
10	Число действительных избирательных бюллетеней	14859	415	403	256	59	1608	1175	1001	224	87	115	321	296	253	122	265	759	190	64	808	104	203	164	346	197	668	421	393	129	268	78	71	109	133	60	313	117	110	832	246	386	103	232	294	190	200	71					
