Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Калевальская															
															
Итоги голосования 															
															
		Сумма	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219					
1	"Число избирателей, внесенных в список"	8151	2709	1621	326	1881	363	534	380	337					
2	Число полученных избирательных бюллетеней	8320	2710	1670	340	1910	380	540	410	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	116	82	34	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5104	1719	995	219	1000	309	367	254	241					
5	"Число избирательных бюллетеней, выданных вне помещения"	488	121	120	22	105	19	41	45	15					
6	Число погашенных избирательных бюллетеней	2612	788	521	99	805	52	132	111	104					
7	Число избирательных бюллетеней в переносных ящиках	604	203	154	22	105	19	41	45	15					
8	Число бюллетеней в стационарных ящиках для голосования	5098	1718	995	219	995	309	367	254	241					
9	Число недействительных избирательных бюллетеней	36	9	8	3	5	1	5	2	3					
10	Число действительных избирательных бюллетеней	5666	1912	1141	238	1095	327	403	297	253					
11	Число полученных открепительных  удостоверений	300	70	30	20	55	30	35	35	25					
12	Число выданных открепительных удостоверений	258	60	27	20	50	18	27	33	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	26	18	4	9	9	13	1	2					
14	Число неиспользованных открепительных удостоверений	42	10	3	0	5	12	8	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	50	20	8	5	6	1	0	6	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	70	22	11	0	23	4	7	3	0					
		1.23%	1.15%	0.96%	0.00%	2.09%	1.22%	1.72%	1.00%	0.00%					
19	. Малышкин Олег Александрович	129	48	30	4	22	9	2	7	7					
		2.26%	2.50%	2.61%	1.66%	2.00%	2.74%	0.49%	2.34%	2.73%					
20	. Миронов Сергей Михайлович	60	16	12	2	15	4	7	4	0					
		1.05%	0.83%	1.04%	0.83%	1.36%	1.22%	1.72%	1.34%	0.00%					
21	. Путин Владимир Владимирович	4724	1634	967	209	883	261	323	227	220					
		82.85%	85.06%	84.16%	86.72%	80.27%	79.57%	79.17%	75.92%	85.94%					
22	. Хакамада Ирина Муцуовна	164	55	37	3	25	5	26	8	5					
		2.88%	2.86%	3.22%	1.24%	2.27%	1.52%	6.37%	2.68%	1.95%					
23	. Харитонов Николай Михайлович	380	67	69	15	98	38	35	42	16					
		6.66%	3.49%	6.01%	6.22%	8.91%	11.59%	8.58%	14.05%	6.25%					
															
24	Против всех	139	70	15	5	29	6	3	6	5					
		2.44%	3.64%	1.31%	2.07%	2.64%	1.83%	0.74%	2.01%	1.95%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
