Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Менделеевская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	0	4	19	3	0	1	1	0	11	1	0	0	2	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.23%	0.00%	0.27%	1.77%	0.28%	0.00%	0.09%	0.10%	0.00%	1.02%	0.10%	0.00%	0.00%	0.23%	0.17%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1670	62	170	241	22	67	76	115	120	274	285	9	13	9	15	13	13	4	3	5	2	77	0	2	9	21	15	7	8	10	0	3					
		8.35%	5.47%	11.41%	22.48%	2.04%	7.48%	7.08%	12.03%	12.81%	25.35%	27.75%	0.85%	5.91%	1.02%	1.31%	4.48%	2.23%	2.04%	2.24%	1.77%	2.02%	10.86%	0.00%	0.45%	3.66%	6.21%	3.38%	1.46%	3.14%	1.71%	0.00%	0.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	0	5	12	3	1	1	1	1	19	14	0	0	2	1	1	0	0	0	1	0	6	0	0	0	0	0	0	0	2	0	0					
		0.35%	0.00%	0.34%	1.12%	0.28%	0.11%	0.09%	0.10%	0.11%	1.76%	1.36%	0.00%	0.00%	0.23%	0.09%	0.34%	0.00%	0.00%	0.00%	0.35%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17452	1069	1298	710	1024	817	981	815	785	475	636	1051	207	857	1125	267	566	190	121	264	95	565	288	439	221	312	424	466	245	562	129	448					
		87.23%	94.35%	87.11%	66.23%	95.17%	91.18%	91.43%	85.25%	83.78%	43.94%	61.93%	98.69%	94.09%	97.50%	97.99%	92.07%	97.08%	96.94%	90.30%	93.29%	95.96%	79.69%	100.00%	98.87%	89.84%	92.31%	95.50%	97.29%	96.08%	95.90%	100.00%	99.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	0	1	5	2	0	1	1	4	3	4	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.00%	0.07%	0.47%	0.19%	0.00%	0.09%	0.10%	0.43%	0.28%	0.39%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
