Выборы Президента Российской Федерации																																																																																																																																	
																																																																																																																																	
Наименование Избирательной комиссии:    Таганрогская																																																																																																																																	
																																																																																																																																	
Итоги голосования 																																																																																																																																	
																																																																																																																																	
		Сумма	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2522	УИК №2523					
11	Число полученных открепительных  удостоверений	4343	35	65	43	165	32	26	40	28	29	40	22	30	40	28	35	20	50	37	45	30	45	35	45	30	50	35	25	38	24	25	35	30	17	25	35	45	30	20	27	24	28	36	40	25	39	39	38	40	35	43	50	37	35	90	49	35	40	45	25	25	40	50	37	58	53	25	37	25	30	15	35	35	38	60	35	45	25	50	34	27	35	25	15	40	25	35	48	25	55	30	28	25	35	20	25	35	45	37	40	65	29	25	36	35	25	40	30	35	35	25	35	33	30	25	55	35	40	0	0	0	26	33					
12	Число выданных открепительных удостоверений	4203	35	38	40	155	26	26	40	28	29	33	22	30	38	28	35	20	50	37	45	30	44	35	44	30	50	34	25	38	24	25	35	30	17	23	35	45	27	17	27	24	28	36	38	23	39	39	37	40	35	42	50	37	35	85	49	35	40	45	25	25	36	50	37	58	52	25	37	25	30	15	35	35	38	53	34	37	25	50	34	27	35	25	15	40	23	35	47	24	55	27	28	25	35	20	25	33	44	36	40	46	29	25	36	35	25	34	30	35	35	24	35	33	30	24	55	35	40	0	0	0	22	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5561	45	83	33	88	19	23	30	84	30	16	25	180	27	26	170	98	42	37	22	123	36	29	31	85	65	14	34	26	21	34	24	18	34	15	11	25	40	27	29	16	39	17	35	19	36	21	30	110	30	26	22	35	34	14	30	14	48	29	37	19	658	27	18	19	39	31	24	20	19	12	82	73	25	42	16	19	79	103	22	21	19	27	226	14	36	16	18	17	213	31	16	13	37	19	13	18	23	24	19	41	20	23	18	57	22	32	23	20	40	32	38	17	18	12	14	22	21	286	139	19	19	20					
14	Число неиспользованных открепительных удостоверений	140	0	27	3	10	6	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	3	3	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	7	1	8	0	0	0	0	0	0	0	0	2	0	1	1	0	3	0	0	0	0	0	2	1	1	0	19	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1989	14	7	32	9	8	22	14	21	25	17	18	19	21	38	18	16	21	25	20	10	30	15	44	15	21	21	13	10	19	16	14	13	20	11	14	15	16	10	8	5	20	22	32	21	27	21	29	53	27	32	35	15	26	26	18	21	18	25	13	6	22	15	11	16	18	9	17	10	18	8	20	15	20	15	14	18	12	9	13	18	15	10	7	7	17	19	13	9	7	14	11	16	14	6	6	14	31	13	17	8	14	13	12	17	10	14	10	10	18	10	14	11	13	7	29	8	7	0	0	0	9	19					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																	
18	. Глазьев Сергей Юрьевич	9038	83	41	80	56	49	52	79	87	101	54	68	98	97	53	86	77	92	81	37	83	77	100	87	71	76	50	71	74	59	76	79	57	78	83	66	68	62	51	72	93	107	83	113	55	76	64	74	78	42	101	101	83	78	78	115	74	66	73	61	59	78	113	73	100	114	80	83	79	108	26	133	124	57	60	51	84	49	62	60	61	54	48	46	96	108	62	69	65	59	86	77	103	71	61	65	73	117	98	120	41	50	82	73	84	68	88	79	112	33	39	82	84	85	58	86	69	74	9	2	6	109	67					
		6.31%	6.70%	3.49%	6.91%	4.29%	6.08%	4.96%	5.54%	6.29%	7.23%	4.62%	6.33%	6.72%	7.51%	5.00%	7.03%	6.30%	6.96%	5.94%	2.97%	6.20%	5.86%	6.46%	6.21%	7.22%	5.81%	5.54%	6.27%	6.76%	6.28%	6.41%	6.43%	4.99%	6.27%	7.76%	6.71%	6.34%	6.94%	6.76%	7.54%	8.42%	7.30%	6.78%	7.77%	5.70%	6.78%	5.87%	5.93%	6.32%	4.25%	7.18%	6.92%	7.05%	6.24%	6.04%	7.36%	5.63%	6.08%	5.53%	6.93%	7.45%	4.79%	9.14%	6.41%	7.29%	7.55%	8.12%	8.00%	5.90%	7.02%	3.77%	7.38%	8.13%	4.66%	5.41%	4.92%	6.34%	4.19%	4.75%	5.10%	5.44%	5.00%	4.78%	4.46%	7.49%	8.15%	5.55%	5.84%	6.97%	5.00%	7.58%	6.39%	9.00%	6.62%	7.39%	5.58%	6.93%	6.50%	7.30%	8.73%	4.65%	4.98%	6.74%	6.22%	6.31%	5.73%	8.10%	7.69%	8.81%	3.21%	5.58%	6.12%	5.88%	5.94%	6.82%	5.53%	5.39%	5.26%	2.06%	0.44%	1.54%	12.07%	6.45%					
