Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Шемышейская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195					
1	"Число избирателей, внесенных в список"	14814	88	78	82	398	71	288	110	289	388	372	222	424	215	743	310	417	187	188	53	210	306	513	860	612	112	390	410	224	1219	1639	2047	1349					
2	Число полученных избирательных бюллетеней	14811	88	80	85	396	71	288	110	290	388	364	217	429	213	765	314	424	186	190	54	212	309	513	874	616	115	391	406	224	1221	1627	2047	1304					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10938	71	65	65	326	67	226	91	233	353	308	169	309	154	623	242	306	125	159	51	146	264	440	618	497	86	336	281	205	973	965	1275	909					
5	"Число избирательных бюллетеней, выданных вне помещения"	1218	12	10	13	45	0	48	8	18	20	54	26	68	37	21	53	35	39	9	0	46	32	34	148	52	18	39	54	0	52	57	111	59					
6	Число погашенных избирательных бюллетеней	2655	5	5	7	25	4	14	11	39	15	2	22	52	22	121	19	83	22	22	3	20	13	39	108	67	11	16	71	19	196	605	661	336					
7	Число избирательных бюллетеней в переносных ящиках	1218	12	10	13	45	0	48	8	18	20	54	26	68	37	21	53	35	39	9	0	46	32	34	148	52	18	39	54	0	52	57	111	59					
8	Число бюллетеней в стационарных ящиках для голосования	10938	71	65	65	326	67	226	91	233	353	308	169	309	154	623	242	306	125	159	51	146	264	440	618	497	86	336	281	205	973	965	1275	909					
9	Число недействительных избирательных бюллетеней	192	6	0	0	0	0	1	2	3	1	1	1	7	0	5	0	15	0	0	0	0	1	4	32	7	0	0	5	0	76	8	9	8					
10	Число действительных избирательных бюллетеней	11964	77	75	78	371	67	273	97	248	372	361	194	370	191	639	295	326	164	168	51	192	295	470	734	542	104	375	330	205	949	1014	1377	960					
11	Число полученных открепительных  удостоверений	127	2	2	2	2	2	4	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	5	3	2	2	2	2	3	30	20	10					
12	Число выданных открепительных удостоверений	70	0	0	0	0	0	3	0	2	0	0	1	1	2	3	0	2	1	1	0	1	1	1	5	0	0	0	0	0	1	15	20	10					
