Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Кочковская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
1	"Число избирателей, внесенных в список"	12115	998	1089	298	989	886	464	104	85	339	1436	205	695	220	265	208	583	2165	1086					
2	Число полученных избирательных бюллетеней	12200	1014	1092	297	980	900	449	104	84	340	1425	203	694	226	265	217	587	2159	1164					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7978	715	735	227	659	570	360	104	76	268	805	133	529	189	237	151	398	1207	615					
5	"Число избирательных бюллетеней, выданных вне помещения"	867	68	34	18	63	95	16	0	6	27	262	41	36	12	14	18	57	82	18					
6	Число погашенных избирательных бюллетеней	3355	231	323	52	258	235	73	0	2	45	358	29	129	25	14	48	132	870	531					
7	Число избирательных бюллетеней в переносных ящиках	867	68	34	18	63	95	16	0	6	27	262	41	36	12	14	18	57	82	18					
8	Число бюллетеней в стационарных ящиках для голосования	7977	715	735	227	658	570	360	104	76	268	805	133	529	189	237	151	398	1207	615					
9	Число недействительных избирательных бюллетеней	90	9	4	1	8	4	4	0	5	6	16	3	8	2	0	1	8	5	6					
10	Число действительных избирательных бюллетеней	8754	774	765	244	713	661	372	104	77	289	1051	171	557	199	251	168	447	1284	627					
11	Число полученных открепительных  удостоверений	249	20	20	5	20	20	10	5	5	10	15	5	10	5	5	9	15	46	24					
12	Число выданных открепительных удостоверений	63	14	3	2	5	3	0	0	0	4	5	0	1	0	0	7	2	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	0	2	0	3	1	4	0	1	0	3	0	1	1	0	1	1	3	0					
14	Число неиспользованных открепительных удостоверений	186	6	17	3	15	17	10	5	5	6	10	5	9	5	5	2	13	35	18					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	148	11	6	0	29	13	8	1	0	3	8	1	9	4	1	4	4	31	15					
		1.67%	1.40%	0.78%	0.00%	4.02%	1.95%	2.13%	0.96%	0.00%	1.02%	0.75%	0.57%	1.59%	1.99%	0.40%	2.37%	0.88%	2.40%	2.37%					
19	. Малышкин Олег Александрович	141	9	12	3	10	9	4	6	0	2	10	3	10	4	4	4	20	13	18					
		1.59%	1.15%	1.56%	1.22%	1.39%	1.35%	1.06%	5.77%	0.00%	0.68%	0.94%	1.72%	1.77%	1.99%	1.59%	2.37%	4.40%	1.01%	2.84%					
20	. Миронов Сергей Михайлович	35	3	3	0	1	2	1	5	1	0	2	0	6	0	1	1	0	7	2					
		0.40%	0.38%	0.39%	0.00%	0.14%	0.30%	0.27%	4.81%	1.22%	0.00%	0.19%	0.00%	1.06%	0.00%	0.40%	0.59%	0.00%	0.54%	0.32%					
21	. Путин Владимир Владимирович	5169	365	457	175	407	331	195	63	45	185	672	143	333	106	157	99	206	813	417					
		58.45%	46.62%	59.43%	71.43%	56.45%	49.77%	51.86%	60.58%	54.88%	62.71%	62.98%	82.18%	58.94%	52.74%	62.55%	58.58%	45.27%	63.07%	65.88%					
22	. Хакамада Ирина Муцуовна	178	11	9	8	19	11	8	1	5	4	10	0	10	8	6	1	19	28	20					
		2.01%	1.40%	1.17%	3.27%	2.64%	1.65%	2.13%	0.96%	6.10%	1.36%	0.94%	0.00%	1.77%	3.98%	2.39%	0.59%	4.18%	2.17%	3.16%					
23	. Харитонов Николай Михайлович	2923	359	271	50	231	280	151	28	24	91	341	23	183	75	78	54	196	352	136					
		33.05%	45.85%	35.24%	20.41%	32.04%	42.11%	40.16%	26.92%	29.27%	30.85%	31.96%	13.22%	32.39%	37.31%	31.08%	31.95%	43.08%	27.31%	21.48%					
																									
24	Против всех	160	16	7	8	16	15	5	0	2	4	8	1	6	2	4	5	2	40	19					
		1.81%	2.04%	0.91%	3.27%	2.22%	2.26%	1.33%	0.00%	2.44%	1.36%	0.75%	0.57%	1.06%	1.00%	1.59%	2.96%	0.44%	3.10%	3.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
