Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Егорьевская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1552	29	10	18	32	27	31	24	35	25	48	52	16	25	34	60	41	74	16	27	37	20	25	46	31	34	26	36	37	56	40	15	0	0	12	33	4	49	4	5	6	29	29	18	24	16	18	18	24	17	4	79	12	33	21	6	19	10	29	2	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1458	27	7	17	32	27	31	24	35	25	48	51	11	25	34	60	41	72	14	25	33	19	25	46	31	34	26	36	37	56	40	15	0	0	12	30	2	49	4	2	3	26	28	13	15	16	14	18	22	17	2	78	1	33	20	5	19	10	11	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1059	4	17	22	60	8	13	9	29	14	21	14	14	26	15	11	9	20	57	15	9	9	14	8	11	10	12	20	17	8	19	8	22	167	7	17	8	14	8	3	7	4	22	9	9	2	13	10	22	8	4	25	59	16	28	3	18	9	13	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	94	2	3	1	0	0	0	0	0	0	0	1	5	0	0	0	0	2	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	3	3	1	5	9	0	4	0	2	0	2	1	11	0	1	1	0	0	18	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	148	2	1	2	8	3	3	1	0	2	7	5	3	4	5	5	3	7	5	4	4	4	3	4	5	2	2	3	2	8	6	1	0	0	1	5	0	6	0	1	1	2	1	1	0	2	1	1	3	0	0	4	0	1	1	0	0	0	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5875	127	56	59	90	144	121	86	172	111	154	179	68	96	125	187	169	265	98	153	147	109	121	192	128	159	111	202	211	106	128	74	47	8	41	200	19	161	20	30	30	104	110	35	41	54	39	78	71	42	31	165	45	69	73	17	76	28	72	7	14					
		14.95%	18.27%	13.86%	13.32%	15.10%	15.30%	16.88%	17.84%	15.77%	19.82%	12.37%	16.35%	17.85%	17.55%	20.90%	16.92%	16.83%	19.24%	15.68%	16.00%	16.88%	17.61%	18.45%	18.57%	13.60%	17.93%	17.34%	19.50%	19.48%	8.24%	12.96%	19.37%	18.36%	1.90%	12.93%	17.21%	14.96%	14.81%	14.81%	12.30%	17.65%	15.38%	13.89%	10.97%	8.82%	20.93%	10.51%	13.52%	9.90%	13.13%	16.76%	11.73%	7.06%	11.39%	10.75%	8.72%	12.60%	12.02%	8.67%	9.86%	8.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5715	103	54	73	84	120	137	67	151	87	142	187	55	71	92	165	152	220	95	128	136	100	105	158	94	142	94	125	134	142	115	58	39	102	48	155	5	171	14	38	34	126	112	28	46	28	84	77	98	72	29	340	44	76	66	43	122	41	65	7	19					
		14.54%	14.82%	13.37%	16.48%	14.09%	12.75%	19.11%	13.90%	13.84%	15.54%	11.41%	17.08%	14.44%	12.98%	15.38%	14.93%	15.14%	15.98%	15.20%	13.39%	15.61%	16.16%	16.01%	15.28%	9.99%	16.01%	14.69%	12.07%	12.37%	11.04%	11.64%	15.18%	15.23%	24.17%	15.14%	13.34%	3.94%	15.73%	10.37%	15.57%	20.00%	18.64%	14.14%	8.78%	9.89%	10.85%	22.64%	13.34%	13.67%	22.50%	15.68%	24.16%	6.91%	12.54%	9.72%	22.05%	20.23%	17.60%	7.83%	9.86%	12.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	418	5	1	5	3	5	13	5	10	3	16	12	5	12	7	14	11	29	8	16	6	3	4	13	7	7	3	13	13	9	13	1	5	2	5	16	0	11	4	2	2	9	10	2	7	1	1	7	3	1	2	22	8	3	3	1	6	3	8	1	1					
		1.06%	0.72%	0.25%	1.13%	0.50%	0.53%	1.81%	1.04%	0.92%	0.54%	1.29%	1.10%	1.31%	2.19%	1.17%	1.27%	1.10%	2.11%	1.28%	1.67%	0.69%	0.48%	0.61%	1.26%	0.74%	0.79%	0.47%	1.25%	1.20%	0.70%	1.32%	0.26%	1.95%	0.47%	1.58%	1.38%	0.00%	1.01%	2.96%	0.82%	1.18%	1.33%	1.26%	0.63%	1.51%	0.39%	0.27%	1.21%	0.42%	0.31%	1.08%	1.56%	1.26%	0.50%	0.44%	0.51%	0.99%	1.29%	0.96%	1.41%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8075	164	122	88	107	196	170	124	259	134	238	280	125	148	126	267	214	333	144	208	220	133	141	213	175	197	149	247	243	168	190	84	60	14	68	281	23	212	22	63	47	129	179	55	81	52	67	106	178	56	12	214	35	116	89	38	104	26	95	10	36					
		20.55%	23.60%	30.20%	19.86%	17.95%	20.83%	23.71%	25.73%	23.74%	23.93%	19.12%	25.57%	32.81%	27.06%	21.07%	24.16%	21.31%	24.18%	23.04%	21.76%	25.26%	21.49%	21.49%	20.60%	18.60%	22.21%	23.28%	23.84%	22.44%	13.06%	19.23%	21.99%	23.44%	3.32%	21.45%	24.18%	18.11%	19.50%	16.30%	25.82%	27.65%	19.08%	22.60%	17.24%	17.42%	20.16%	18.06%	18.37%	24.83%	17.50%	6.49%	15.21%	5.49%	19.14%	13.11%	19.49%	17.25%	11.16%	11.45%	14.08%	23.08%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1409	24	23	20	27	42	29	13	47	15	33	66	14	35	26	57	41	83	37	45	30	23	30	54	37	38	27	30	25	29	62	10	5	6	8	40	7	27	5	15	2	21	12	8	3	3	17	19	8	5	2	42	7	16	21	0	7	6	21	1	3					
		3.59%	3.45%	5.69%	4.51%	4.53%	4.46%	4.04%	2.70%	4.31%	2.68%	2.65%	6.03%	3.67%	6.40%	4.35%	5.16%	4.08%	6.03%	5.92%	4.71%	3.44%	3.72%	4.57%	5.22%	3.93%	4.28%	4.22%	2.90%	2.31%	2.26%	6.28%	2.62%	1.95%	1.42%	2.52%	3.44%	5.51%	2.48%	3.70%	6.15%	1.18%	3.11%	1.52%	2.51%	0.65%	1.16%	4.58%	3.29%	1.12%	1.56%	1.08%	2.99%	1.10%	2.64%	3.09%	0.00%	1.16%	2.58%	2.53%	1.41%	1.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16348	254	132	187	264	424	224	155	428	190	619	318	107	174	200	366	390	412	230	377	292	226	241	330	472	316	235	397	432	676	442	142	91	272	145	421	66	446	67	79	55	271	335	178	280	113	143	278	344	138	105	597	473	316	406	87	265	126	475	43	81					
		41.60%	36.55%	32.67%	42.21%	44.30%	45.06%	31.24%	32.16%	39.23%	33.93%	49.72%	29.04%	28.08%	31.81%	33.44%	33.12%	38.84%	29.92%	36.80%	39.44%	33.52%	36.51%	36.74%	31.91%	50.16%	35.63%	36.72%	38.32%	39.89%	52.57%	44.74%	37.17%	35.55%	64.45%	45.74%	36.23%	51.97%	41.03%	49.63%	32.38%	32.35%	40.09%	42.30%	55.80%	60.22%	43.80%	38.54%	48.18%	47.98%	43.13%	56.76%	42.43%	74.25%	52.15%	59.79%	44.62%	43.95%	54.08%	57.23%	60.56%	51.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	280	3	6	1	7	4	6	6	15	5	8	3	1	5	7	6	8	18	5	8	8	4	2	5	9	4	7	9	10	10	8	2	4	2	2	7	0	9	0	2	0	2	2	3	4	4	4	5	1	2	0	7	2	3	8	2	3	0	0	1	1					
		0.71%	0.43%	1.49%	0.23%	1.17%	0.43%	0.84%	1.24%	1.37%	0.89%	0.64%	0.27%	0.26%	0.91%	1.17%	0.54%	0.80%	1.31%	0.80%	0.84%	0.92%	0.65%	0.30%	0.48%	0.96%	0.45%	1.09%	0.87%	0.92%	0.78%	0.81%	0.52%	1.56%	0.47%	0.63%	0.60%	0.00%	0.83%	0.00%	0.82%	0.00%	0.30%	0.25%	0.94%	0.86%	1.55%	1.08%	0.87%	0.14%	0.63%	0.00%	0.50%	0.31%	0.50%	1.18%	1.03%	0.50%	0.00%	0.00%	1.41%	0.64%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
