Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Демянская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138					
1	"Число избирателей, внесенных в список"	12191	201	99	278	238	187	306	85	266	1280	178	421	477	157	363	308	525	224	637	1520	2008	2433					
2	Число полученных избирательных бюллетеней	11809	202	100	278	237	189	306	85	263	1200	166	420	470	154	350	297	525	227	640	1400	2000	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5709	108	40	132	150	96	147	40	157	569	87	194	273	80	185	169	203	153	335	623	882	1086					
5	"Число избирательных бюллетеней, выданных вне помещения"	1021	12	18	45	38	42	37	19	55	56	44	115	67	36	33	71	91	39	50	38	51	64					
6	Число погашенных избирательных бюллетеней	5079	82	42	101	49	51	122	26	51	575	35	111	130	38	132	57	231	35	255	739	1067	1150					
7	Число избирательных бюллетеней в переносных ящиках	1021	12	18	45	38	42	37	19	55	56	44	115	67	36	33	71	91	39	50	38	51	64					
8	Число бюллетеней в стационарных ящиках для голосования	5709	108	40	132	150	96	147	40	157	569	87	194	273	80	185	169	203	153	335	623	882	1086					
9	Число недействительных избирательных бюллетеней	45	2	2	2	1	2	0	2	2	3	0	0	0	1	4	2	3	1	1	3	6	8					
10	Число действительных избирательных бюллетеней	6685	118	56	175	187	136	184	57	210	622	131	309	340	115	214	238	291	191	384	658	927	1142					
11	Число полученных открепительных  удостоверений	175	3	3	7	15	5	8	3	5	10	5	5	5	5	5	5	5	6	5	10	40	20					
12	Число выданных открепительных удостоверений	98	0	0	1	12	0	2	1	4	1	0	4	1	0	2	0	3	5	3	9	32	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	0	0	1	1	0	2	2	2	2	13	2	2	5	1	3	1	1	0	3	8	10					
14	Число неиспользованных открепительных удостоверений	77	3	3	6	3	5	6	2	1	9	5	1	4	5	3	5	2	1	2	1	8	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	191	2	2	5	9	2	5	0	5	18	1	3	4	1	2	5	4	4	5	23	25	66					
		2.84%	1.67%	3.45%	2.82%	4.79%	1.45%	2.72%	0.00%	2.36%	2.88%	0.76%	0.97%	1.18%	0.86%	0.92%	2.08%	1.36%	2.08%	1.30%	3.48%	2.68%	5.74%					
19	. Малышкин Олег Александрович	152	3	1	4	5	2	5	1	9	11	3	4	7	3	5	3	7	5	20	17	11	26					
		2.26%	2.50%	1.72%	2.26%	2.66%	1.45%	2.72%	1.69%	4.25%	1.76%	2.29%	1.29%	2.06%	2.59%	2.29%	1.25%	2.38%	2.60%	5.19%	2.57%	1.18%	2.26%					
20	. Миронов Сергей Михайлович	57	0	1	2	1	2	0	0	1	8	1	2	2	2	2	0	2	1	2	7	10	11					
		0.85%	0.00%	1.72%	1.13%	0.53%	1.45%	0.00%	0.00%	0.47%	1.28%	0.76%	0.65%	0.59%	1.72%	0.92%	0.00%	0.68%	0.52%	0.52%	1.06%	1.07%	0.96%					
21	. Путин Владимир Владимирович	4661	76	38	129	129	115	132	49	134	437	113	235	267	83	180	193	201	140	193	438	619	760					
		69.26%	63.33%	65.52%	72.88%	68.62%	83.33%	71.74%	83.05%	63.21%	69.92%	86.26%	76.05%	78.53%	71.55%	82.57%	80.42%	68.37%	72.92%	50.13%	66.26%	66.35%	66.09%					
22	. Хакамада Ирина Муцуовна	159	2	3	1	6	3	3	0	4	13	1	6	5	1	1	6	9	6	8	21	20	40					
		2.36%	1.67%	5.17%	0.56%	3.19%	2.17%	1.63%	0.00%	1.89%	2.08%	0.76%	1.94%	1.47%	0.86%	0.46%	2.50%	3.06%	3.12%	2.08%	3.18%	2.14%	3.48%					
23	. Харитонов Николай Михайлович	1241	33	11	31	30	11	31	7	53	118	10	51	50	18	24	26	57	31	146	131	195	177					
		18.44%	27.50%	18.97%	17.51%	15.96%	7.97%	16.85%	11.86%	25.00%	18.88%	7.63%	16.50%	14.71%	15.52%	11.01%	10.83%	19.39%	16.15%	37.92%	19.82%	20.90%	15.39%					
																												
24	Против всех	224	2	0	3	7	1	8	0	4	17	2	8	5	7	0	5	11	4	10	21	47	62					
		3.33%	1.67%	0.00%	1.69%	3.72%	0.72%	4.35%	0.00%	1.89%	2.72%	1.53%	2.59%	1.47%	6.03%	0.00%	2.08%	3.74%	2.08%	2.60%	3.18%	5.04%	5.39%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
