Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Тисульская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507					
1	"Число избирателей, внесенных в список"	19724	879	958	912	900	825	1095	1163	200	1263	1137	480	333	258	124	235	296	1023	483	533	142	820	482	188	817	73	533	126	90	73	190	85	283	226	290	356	169	429	410	496	349					
2	Число полученных избирательных бюллетеней	18916	820	900	840	850	780	1050	1100	201	1200	1100	450	300	250	128	220	280	950	450	530	142	800	450	188	800	72	530	127	88	77	200	91	280	230	280	350	172	400	400	490	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14995	627	653	664	647	605	870	921	182	989	941	355	282	155	104	187	162	650	308	422	121	560	411	162	601	41	400	121	85	70	165	81	221	201	159	264	130	336	353	460	329					
5	"Число избирательных бюллетеней, выданных вне помещения"	1509	59	84	78	85	25	20	25	9	23	16	72	18	55	10	10	79	153	79	29	14	118	22	14	40	22	54	0	0	0	17	0	31	21	95	17	7	60	19	21	8					
6	Число погашенных избирательных бюллетеней	2410	134	163	98	118	150	160	154	10	188	143	23	0	40	14	23	39	147	63	79	7	122	17	12	159	9	76	6	1	7	18	10	28	8	26	69	35	4	28	9	13					
7	Число избирательных бюллетеней в переносных ящиках	1509	59	84	78	85	25	20	25	9	23	16	72	18	55	10	10	79	153	79	29	14	118	22	14	40	22	54	0	0	0	17	0	31	21	95	17	7	60	19	21	8					
8	Число бюллетеней в стационарных ящиках для голосования	14995	627	653	664	647	605	870	921	182	989	941	355	282	155	104	187	162	650	308	422	121	560	411	162	601	41	400	121	85	70	165	81	221	201	159	264	130	336	353	460	329					
9	Число недействительных избирательных бюллетеней	117	9	6	7	2	6	8	2	1	7	1	4	0	0	0	5	0	4	1	2	0	6	1	11	4	0	0	0	0	1	1	5	3	3	3	3	1	4	4	2	0					
10	Число действительных избирательных бюллетеней	16387	677	731	735	730	624	882	944	190	1005	956	423	300	210	114	192	241	799	386	449	135	672	432	165	637	63	454	121	85	69	181	76	249	219	251	278	136	392	368	479	337					
11	Число полученных открепительных  удостоверений	274	20	20	20	20	20	20	20	2	8	8	6	4	4	2	4	4	8	6	6	2	6	4	2	6	2	6	2	2	2	2	2	4	4	4	4	2	4	4	4	4					
12	Число выданных открепительных удостоверений	65	7	11	2	4	3	5	11	1	2	3	3	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	3	2	7	0	1	1	5	2	1	2	1	3	1	1	4	1	2	0	3	0	0	0	1	2	2	0	2	1	1	0	1	0	5	1	1	0	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	209	13	9	18	16	17	15	9	1	6	5	3	4	4	1	4	4	5	6	4	2	6	4	2	6	2	6	2	2	2	2	2	4	2	3	2	2	2	4	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	435	26	29	23	20	25	34	32	6	38	32	15	8	3	4	5	3	31	7	13	2	10	5	3	9	0	12	2	0	0	0	1	9	5	2	13	0	4	3	0	1					
		2.64%	3.79%	3.93%	3.10%	2.73%	3.97%	3.82%	3.38%	3.14%	3.75%	3.34%	3.51%	2.67%	1.43%	3.51%	2.54%	1.24%	3.86%	1.81%	2.88%	1.48%	1.47%	1.15%	1.70%	1.40%	0.00%	2.64%	1.65%	0.00%	0.00%	0.00%	1.23%	3.57%	2.25%	0.79%	4.63%	0.00%	1.01%	0.81%	0.00%	0.30%					
19	. Малышкин Олег Александрович	714	29	44	36	17	30	43	62	11	32	31	15	4	7	1	12	14	49	17	11	4	14	6	9	37	1	42	20	3	12	10	1	4	6	10	11	10	13	12	12	12					
		4.33%	4.23%	5.97%	4.85%	2.32%	4.76%	4.83%	6.55%	5.76%	3.16%	3.24%	3.51%	1.33%	3.33%	0.88%	6.09%	5.81%	6.10%	4.39%	2.44%	2.96%	2.06%	1.39%	5.11%	5.77%	1.59%	9.25%	16.53%	3.53%	17.14%	5.49%	1.23%	1.59%	2.70%	3.94%	3.91%	7.30%	3.28%	3.23%	2.49%	3.56%					
20	. Миронов Сергей Михайлович	191	14	4	8	7	11	11	10	1	12	3	14	4	0	0	1	1	11	5	10	0	4	3	1	13	0	5	0	4	3	2	0	5	1	8	4	0	4	4	2	1					
		1.16%	2.04%	0.54%	1.08%	0.96%	1.75%	1.24%	1.06%	0.52%	1.19%	0.31%	3.28%	1.33%	0.00%	0.00%	0.51%	0.41%	1.37%	1.29%	2.22%	0.00%	0.59%	0.69%	0.57%	2.03%	0.00%	1.10%	0.00%	4.71%	4.29%	1.10%	0.00%	1.98%	0.45%	3.15%	1.42%	0.00%	1.01%	1.08%	0.42%	0.30%					
21	. Путин Владимир Владимирович	11678	451	473	531	486	368	647	611	134	803	786	244	254	156	83	138	167	517	247	312	119	530	344	77	329	51	338	82	70	33	124	71	161	181	176	201	104	317	283	387	292					
		70.76%	65.74%	64.18%	71.56%	66.39%	58.41%	72.70%	64.59%	70.16%	79.35%	82.13%	57.14%	84.67%	74.29%	72.81%	70.05%	69.29%	64.38%	63.82%	69.18%	88.15%	78.17%	79.45%	43.75%	51.33%	80.95%	74.45%	67.77%	82.35%	47.14%	68.13%	87.65%	63.89%	81.53%	69.29%	71.53%	75.91%	80.05%	76.08%	80.46%	86.65%					
22	. Хакамада Ирина Муцуовна	347	11	20	12	29	21	21	29	6	24	17	6	9	5	1	0	9	23	5	6	1	7	4	1	16	1	9	3	0	3	4	0	4	3	9	1	1	17	4	4	1					
