		Сумма	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №3384	УИК №3387	УИК №3388									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5507	28	26	45	29	38	29	43	26	30	56	32	48	14	42	29	27	38	20	44	50	24	17	25	23	16	12	40	45	14	5	32	28	8	29	15	11	45	6	4	7	19	18	11	26	22	17	80	41	13	36	19	242	32	38	0	481	0	27	32	28	18	74	36	41	45	23	13	31	83	32	85	26	120	30	273	25	86	100	105	59	150	14	25	106	298	65	80	68	42	25	93	32	53	20	23	56	94	29	65	53	55	22	25	4	11	9	9	14	55	46	12	3	66	35	7	12	10	25	45	64									
8	Число бюллетеней в стационарных ящиках для голосования	93937	1146	811	718	477	694	1067	625	849	1033	437	1151	959	616	1096	985	833	1357	1215	1245	672	856	566	1057	751	891	626	640	772	280	397	752	667	748	818	1231	686	1168	531	336	526	1241	1046	919	1222	1226	1081	1568	1347	767	1112	847	1249	736	636	163	18	279	574	1060	1264	1536	1156	1084	1002	641	303	787	1426	1488	1412	1497	1420	630	667	1051	1562	1188	845	346	1106	1167	1025	1103	380	1193	523	356	265	314	277	357	694	780	343	924	416	132	483	192	56	154	126	123	402	750	267	391	1470	299	687	208	204	415	212	1029	969	1048	821	932	663									
9	Число недействительных избирательных бюллетеней	2226	30	12	17	12	11	18	22	15	3	15	23	28	15	23	18	14	35	28	25	19	20	16	14	11	16	15	17	22	4	12	20	6	14	25	15	17	33	12	2	15	21	37	16	30	25	28	37	32	16	29	32	49	12	21	12	6	28	13	21	27	24	22	19	15	16	5	15	16	25	25	58	10	15	7	53	38	25	60	5	10	16	16	20	3	17	2	10	9	9	6	6	11	25	8	21	13	3	12	4	1	5	4	4	0	0	6	9	31	14	10	1	3	2	1	17	34	27	10	190	2									
10	Число действительных избирательных бюллетеней	97218	1144	825	746	494	721	1078	646	860	1060	478	1160	979	615	1115	996	846	1360	1207	1264	703	860	567	1068	763	891	623	663	795	290	390	764	689	742	822	1231	680	1180	525	338	518	1239	1027	914	1218	1223	1070	1611	1356	764	1119	834	1442	756	653	151	493	251	588	1071	1265	1530	1208	1101	1028	670	321	785	1441	1546	1419	1524	1436	735	690	1271	1549	1249	885	446	1155	1301	1023	1108	483	1474	586	426	324	347	296	444	715	808	355	926	459	223	500	253	108	204	144	144	406	761	270	391	1453	340	723	219	204	479	246	1019	947	1031	836	787	725									
11	Число полученных открепительных  удостоверений	2435	25	20	20	10	15	25	15	20	20	10	35	25	16	20	20	20	25	40	25	15	20	20	20	20	20	20	20	20	10	10	21	20	20	20	47	40	20	15	10	15	35	20	20	20	41	20	30	30	20	20	20	35	20	15	0	0	0	10	15	25	45	25	15	10	15	10	25	20	25	20	15	20	5	15	30	30	30	35	5	30	25	25	25	6	40	5	10	10	10	10	5	32	30	10	20	10	10	15	10	10	5	8	5	10	15	5	20	54	15	45	15	35	35	20	60	50	70	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2367	25	20	20	10	15	25	4	20	20	10	33	25	16	19	20	20	24	40	25	15	20	20	20	17	20	20	20	19	7	10	20	20	19	18	47	40	20	15	8	15	34	20	20	20	41	20	30	29	20	20	20	33	19	15	0	0	0	10	15	25	45	25	15	10	15	7	25	20	25	20	15	19	5	15	22	30	30	34	5	30	25	25	25	6	40	5	10	10	8	10	5	32	30	10	20	8	10	15	9	10	5	8	5	10	15	5	20	54	15	35	10	35	35	20	60	49	69	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	3212	10	17	15	9	72	13	10	10	58	42	42	23	3	20	69	18	64	29	29	14	11	21	11	19	20	4	8	16	3	15	4	12	39	27	26	26	17	9	11	27	23	29	20	2	11	21	95	15	9	7	11	22	9	21	36	28	71	17	11	29	38	17	10	137	59	11	36	69	23	30	26	34	26	31	30	34	53	12	9	30	72	20	38	28	47	10	30	28	7	3	5	15	21	7	16	8	10	14	16	8	13	14	7	12	27	6	7	20	37	19	13	6	27	26	15	9	12	442	2	0									
14	Число неиспользованных открепительных удостоверений	68	0	0	0	0	0	0	11	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	3	0	1	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	1	1	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	982	9	5	9	11	5	7	4	4	14	3	13	5	1	14	12	14	23	22	24	18	6	3	7	9	9	6	1	11	1	2	7	4	3	4	234	211	7	4	2	3	17	14	5	10	23	5	12	7	3	7	6	8	6	3	0	0	0	0	2	0	4	1	1	1	0	3	0	1	2	6	1	1	1	3	1	2	6	2	0	1	1	1	1	0	5	3	1	3	5	1	1	5	4	0	4	3	0	8	4	1	0	0	0	0	3	0	1	0	0	4	0	0	1	1	1	2	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																			
19	Жириновский Владимир Вольфович	7259	90	63	62	43	60	96	51	78	63	39	68	58	48	90	67	18	99	91	64	56	63	52	97	56	86	59	50	73	25	32	83	40	66	40	108	38	123	52	29	50	79	88	90	117	105	82	102	102	62	91	89	118	73	57	19	29	14	36	100	103	125	90	80	86	60	26	56	78	79	67	97	57	49	33	85	109	116	65	30	81	112	82	80	41	90	39	26	22	26	18	29	67	80	25	108	43	21	48	24	4	16	12	14	17	53	20	42	105	18	54	30	21	34	13	33	71	45	73	17	35									
