Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Родионово-Несветайская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2528	УИК №2529	УИК №2530					
1	"Число избирателей, внесенных в список"	17843	884	471	1004	210	188	340	642	157	869	721	1461	186	569	597	542	902	1156	540	1859	2106	1107	610	722					
2	Число полученных избирательных бюллетеней	17725	880	470	990	220	190	335	660	155	880	720	1470	185	565	600	540	880	1160	535	1870	2120	960	610	730					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15319	744	396	869	168	140	294	632	146	660	608	1406	130	507	526	457	672	1051	433	1612	1863	863	509	633					
5	"Число избирательных бюллетеней, выданных вне помещения"	1231	86	42	90	34	38	34	5	6	145	41	16	29	10	17	33	168	54	83	65	51	95	44	45					
6	Число погашенных избирательных бюллетеней	1175	50	32	31	18	12	7	23	3	75	71	48	26	48	57	50	40	55	19	193	206	2	57	52					
7	Число избирательных бюллетеней в переносных ящиках	1231	86	42	90	34	38	34	5	6	145	41	16	29	10	17	33	168	54	83	65	51	95	44	45					
8	Число бюллетеней в стационарных ящиках для голосования	15319	744	396	869	168	140	294	632	146	660	608	1406	130	507	526	457	672	1051	433	1612	1863	863	509	633					
9	Число недействительных избирательных бюллетеней	68	20	12	2	0	0	3	2	0	0	0	6	1	3	6	0	2	0	0	7	4	0	0	0					
10	Число действительных избирательных бюллетеней	16482	810	426	957	202	178	325	635	152	805	649	1416	158	514	537	490	838	1105	516	1670	1910	958	553	678					
11	Число полученных открепительных  удостоверений	480	15	15	25	6	6	10	20	5	23	20	40	6	15	15	15	22	30	16	51	61	26	17	21					
12	Число выданных открепительных удостоверений	114	4	0	2	1	3	0	2	0	5	1	13	0	5	7	2	4	3	4	11	20	15	3	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	7	3	2	0	2	2	2	0	4	1	6	0	3	2	5	10	2	6	13	4	11	2	3					
14	Число неиспользованных открепительных удостоверений	366	11	15	23	5	3	10	18	5	18	19	27	6	10	8	13	18	27	12	40	41	11	14	12					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	148	3	5	4	1	5	1	6	5	3	7	2	6	9	14	4	5	0	5	34	21	2	2	4					
		0.89%	0.36%	1.14%	0.42%	0.50%	2.81%	0.30%	0.94%	3.29%	0.37%	1.08%	0.14%	3.77%	1.74%	2.58%	0.82%	0.60%	0.00%	0.97%	2.03%	1.10%	0.21%	0.36%	0.59%					
19	. Малышкин Олег Александрович	154	20	6	3	2	1	3	7	2	4	15	3	5	7	5	8	5	4	2	21	16	1	3	11					
