Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Шатойская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в список избирателей"	10771	1935	500	190	376	228	164	767	188	693	396	227	264	384	380	318	125	210	126	1650	1650					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10802	1940	502	190	377	229	164	769	188	695	397	228	265	385	381	319	125	211	126	1655	1656					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	715	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	220					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9973	1558	495	188	373	227	162	761	186	686	393	224	262	380	377	315	124	207	125	1510	1420					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	13	0	2	0	0	0	1	3	0	2	0	1	0	1	0	1	0	1	1	0	0					
6	Число погашенных избирательных бюллетеней	101	17	5	2	4	2	1	5	2	7	4	3	3	4	4	3	1	3	0	15	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	728	365	2	0	0	0	1	3	0	2	0	1	0	1	0	1	0	1	1	130	220					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9973	1558	495	188	373	227	162	761	186	686	393	224	262	380	377	315	124	207	125	1510	1420					
9	Число недействительных избирательных бюллетеней	8	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3					
10	Число действительных избирательных бюллетеней	10693	1923	497	187	372	227	163	764	186	688	392	225	261	381	377	316	124	208	125	1640	1637					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	60	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	3	3	8	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	90	20	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	3	3	8	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	40					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	38	5	1	1	1	1	2	3	1	3	2	1	2	1	0	1	1	0	1	5	6					
		0.36%	0.26%	0.20%	0.53%	0.27%	0.44%	1.23%	0.39%	0.54%	0.44%	0.51%	0.44%	0.76%	0.26%	0.00%	0.32%	0.81%	0.00%	0.79%	0.30%	0.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	2	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1					
		0.12%	0.10%	0.20%	0.53%	0.00%	0.44%	0.00%	0.13%	0.00%	0.15%	0.00%	0.00%	0.00%	0.26%	0.27%	0.32%	0.00%	0.48%	0.00%	0.06%	0.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2					
		0.08%	0.10%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.18%	0.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1					
		0.09%	0.10%	0.20%	0.00%	0.00%	0.00%	0.00%	0.13%	0.54%	0.00%	0.00%	0.00%	0.00%	0.26%	0.27%	0.00%	0.00%	0.00%	0.79%	0.06%	0.06%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10611	1910	493	185	369	225	161	758	184	683	389	223	259	378	374	313	123	206	123	1629	1626					
		99.16%	99.32%	99.20%	98.40%	98.93%	99.12%	98.77%	99.21%	98.92%	99.27%	98.98%	99.11%	98.85%	99.21%	99.20%	99.05%	99.19%	99.04%	97.62%	99.33%	99.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	2	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1					
		0.11%	0.10%	0.20%	0.00%	0.27%	0.00%	0.00%	0.13%	0.00%	0.15%	0.25%	0.44%	0.00%	0.00%	0.00%	0.32%	0.00%	0.48%	0.00%	0.06%	0.06%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
