Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Лахденпохская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
1	"Число избирателей, внесенных в список"	13519	1484	1292	1179	672	597	776	1133	161	389	64	113	714	163	673	344	199	120	735	410	68	170	79	613	538	195	195	443					
2	Число полученных избирательных бюллетеней	13900	1440	1340	1220	670	590	770	1140	200	450	80	130	830	170	670	400	200	120	720	420	80	170	80	590	570	230	170	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7336	734	674	678	350	288	302	578	105	236	62	96	499	130	381	158	110	48	363	236	48	79	48	345	324	155	112	197					
5	"Число избирательных бюллетеней, выданных вне помещения"	439	20	11	11	16	8	11	9	0	26	0	12	12	0	25	27	0	12	77	45	6	27	17	29	12	0	8	18					
6	Число погашенных избирательных бюллетеней	6125	686	655	531	304	294	457	553	95	188	18	22	319	40	264	215	90	60	280	139	26	64	15	216	234	75	50	235					
7	Число избирательных бюллетеней в переносных ящиках	439	20	11	11	16	8	11	9	0	26	0	12	12	0	25	27	0	12	77	45	6	27	17	29	12	0	8	18					
8	Число бюллетеней в стационарных ящиках для голосования	7335	734	674	678	350	288	302	578	105	236	62	96	499	130	381	158	110	48	363	235	48	79	48	345	324	155	112	197					
9	Число недействительных избирательных бюллетеней	37	5	8	2	0	3	2	5	0	1	0	0	2	0	1	0	0	0	2	1	0	0	0	0	4	0	0	1					
10	Число действительных избирательных бюллетеней	7737	749	677	687	366	293	311	582	105	261	62	108	509	130	405	185	110	60	438	279	54	106	65	374	332	155	120	214					
