Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Шатровская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023					
1	"Число избирателей, внесенных в список"	17833	1352	1370	987	771	771	248	1219	30	257	158	272	518	136	171	676	666	92	728	167	481	252	1669	408	544	111	101	73	309	78	749	163	183	400	171	547	134	122	71	359	319					
2	Число полученных избирательных бюллетеней	17964	1360	1380	986	776	783	250	1201	42	260	157	276	515	132	177	690	678	94	720	172	485	245	1680	413	555	113	103	75	311	80	766	170	186	406	171	541	135	121	72	364	323					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10557	724	750	523	358	402	141	622	24	195	117	180	335	102	109	372	437	71	355	130	359	205	900	228	354	77	82	54	221	55	443	80	136	278	142	305	96	98	53	231	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	1566	51	36	50	28	28	42	123	0	24	10	36	63	10	17	131	117	10	97	15	17	0	118	55	72	4	0	4	42	4	99	50	4	19	0	59	8	5	4	55	59					
6	Число погашенных избирательных бюллетеней	5841	585	594	413	390	353	67	456	18	41	30	60	117	20	51	187	124	13	268	27	109	40	662	130	129	32	21	17	48	21	224	40	46	109	29	177	31	18	15	78	51					
7	Число избирательных бюллетеней в переносных ящиках	1566	51	36	50	28	28	42	123	0	24	10	36	63	10	17	131	117	10	97	15	17	0	118	55	72	4	0	4	42	4	99	50	4	19	0	59	8	5	4	55	59					
8	Число бюллетеней в стационарных ящиках для голосования	10554	722	750	523	358	402	141	622	24	195	117	180	335	102	108	372	437	71	355	130	359	205	900	228	354	77	82	54	221	55	443	80	136	278	142	305	96	98	53	231	213					
9	Число недействительных избирательных бюллетеней	87	7	0	9	3	5	0	11	0	0	1	0	3	1	0	2	3	0	7	0	3	1	7	2	1	0	0	0	3	0	1	0	2	3	2	5	0	2	1	2	0					
10	Число действительных избирательных бюллетеней	12033	766	786	564	383	425	183	734	24	219	126	216	395	111	125	501	551	81	445	145	373	204	1011	281	425	81	82	58	260	59	541	130	138	294	140	359	104	101	56	284	272					
