Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Тейковская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291					
1	"Число избирателей, внесенных в список"	29920	1644	1194	820	1622	1291	1554	1606	1400	2379	2917	2699	2796	2215	810	2264	1928	781					
2	Число полученных избирательных бюллетеней	27050	1400	1100	800	1500	1200	1400	1500	1300	2100	2500	2500	2500	2000	750	2100	1700	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	511	0	0	0	0	0	0	0	0	56	116	185	154	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14573	713	506	350	752	582	720	686	689	1466	1592	1520	1574	1017	392	918	799	297					
5	"Число избирательных бюллетеней, выданных вне помещения"	657	59	32	15	42	31	56	43	36	41	9	28	30	38	16	67	66	48					
6	Число погашенных избирательных бюллетеней	11309	628	562	435	706	587	624	771	575	537	783	767	742	945	342	1115	835	355					
7	Число избирательных бюллетеней в переносных ящиках	1168	59	32	15	42	31	56	43	36	97	125	213	184	38	16	67	66	48					
8	Число бюллетеней в стационарных ящиках для голосования	14562	713	506	350	750	582	720	681	689	1465	1589	1520	1574	1017	392	918	799	297					
9	Число недействительных избирательных бюллетеней	103	6	7	2	6	9	11	12	4	5	2	4	2	7	6	11	6	3					
10	Число действительных избирательных бюллетеней	15627	766	531	363	786	604	765	712	721	1557	1712	1729	1756	1048	402	974	859	342					
11	Число полученных открепительных  удостоверений	350	15	15	10	15	15	15	15	15	40	40	40	40	20	10	20	15	10					
12	Число выданных открепительных удостоверений	138	4	5	0	7	9	5	6	3	21	14	17	16	8	6	9	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	7	7	3	18	8	8	5	1	7	6	8	13	10	3	5	5	2					
14	Число неиспользованных открепительных удостоверений	212	11	10	10	8	6	10	9	12	19	26	23	24	12	4	11	8	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	673	31	17	9	60	37	50	34	40	45	64	40	63	70	20	41	40	12					
		4.28%	4.02%	3.16%	2.47%	7.58%	6.04%	6.44%	4.70%	5.52%	2.88%	3.73%	2.31%	3.58%	6.64%	4.90%	4.16%	4.62%	3.48%					
19	. Малышкин Олег Александрович	501	27	21	10	30	18	18	29	22	43	69	52	54	26	6	37	27	12					
		3.18%	3.50%	3.90%	2.74%	3.79%	2.94%	2.32%	4.01%	3.03%	2.75%	4.03%	3.00%	3.07%	2.46%	1.47%	3.76%	3.12%	3.48%					
20	. Миронов Сергей Михайлович	144	7	5	4	8	6	11	6	7	15	16	18	14	7	3	7	8	2					
		0.92%	0.91%	0.93%	1.10%	1.01%	0.98%	1.42%	0.83%	0.97%	0.96%	0.93%	1.04%	0.80%	0.66%	0.74%	0.71%	0.92%	0.58%					
21	. Путин Владимир Владимирович	10675	515	346	253	511	404	440	448	456	1171	1253	1334	1278	617	251	625	555	218					
		67.86%	66.71%	64.31%	69.32%	64.52%	65.91%	56.70%	61.88%	62.90%	74.97%	73.10%	76.98%	72.70%	58.48%	61.52%	63.45%	64.16%	63.19%					
22	. Хакамада Ирина Муцуовна	399	12	6	8	23	16	15	12	25	31	45	45	52	35	18	30	22	4					
		2.54%	1.55%	1.12%	2.19%	2.90%	2.61%	1.93%	1.66%	3.45%	1.98%	2.63%	2.60%	2.96%	3.32%	4.41%	3.05%	2.54%	1.16%					
23	. Харитонов Николай Михайлович	2480	143	120	68	119	93	196	157	138	163	151	162	201	252	78	196	161	82					
		15.77%	18.52%	22.30%	18.63%	15.03%	15.17%	25.26%	21.69%	19.03%	10.44%	8.81%	9.35%	11.43%	23.89%	19.12%	19.90%	18.61%	23.77%					
																								
24	Против всех	755	31	16	11	35	30	35	26	33	89	114	78	94	41	26	38	46	12					
		4.80%	4.02%	2.97%	3.01%	4.42%	4.89%	4.51%	3.59%	4.55%	5.70%	6.65%	4.50%	5.35%	3.89%	6.37%	3.86%	5.32%	3.48%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
