Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Федоровская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355					
1	"Число избирателей, внесенных в список"	13978	232	633	485	150	1132	218	253	140	285	182	309	204	235	527	212	203	437	243	526	160	483	350	687	199	317	212	181	328	363	368	397	263	639	1407	1018					
2	Число полученных избирательных бюллетеней	14045	229	636	484	150	1124	220	251	139	285	183	311	208	237	528	215	204	439	241	528	159	483	352	695	200	316	214	182	328	365	372	397	265	646	1425	1034					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12342	205	552	431	133	1024	211	222	131	257	157	302	198	225	433	185	193	403	225	462	157	361	310	639	174	240	195	145	297	293	316	330	224	582	1241	889					
5	"Число избирательных бюллетеней, выданных вне помещения"	1004	19	61	41	11	49	6	25	6	13	15	5	4	6	42	20	8	23	13	27	0	98	25	17	20	62	14	27	25	48	47	54	22	38	84	29					
6	Число погашенных избирательных бюллетеней	699	5	23	12	6	51	3	4	2	15	11	4	6	6	53	10	3	13	3	39	2	24	17	39	6	14	5	10	6	24	9	13	19	26	100	116					
7	Число избирательных бюллетеней в переносных ящиках	1004	19	61	41	11	49	6	25	6	13	15	5	4	6	42	20	8	23	13	27	0	98	25	17	20	62	14	27	25	48	47	54	22	38	84	29					
8	Число бюллетеней в стационарных ящиках для голосования	12341	205	552	431	133	1024	211	222	131	257	157	302	198	225	433	185	193	403	225	462	157	361	310	639	174	239	195	145	297	293	316	330	224	582	1241	889					
9	Число недействительных избирательных бюллетеней	40	13	5	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	1	0	3	0	0	0	2	0	0	2	0	0	1	4	2	0					
10	Число действительных избирательных бюллетеней	13305	211	608	471	144	1073	217	247	137	270	172	306	202	230	475	205	201	424	236	489	156	459	332	656	194	301	207	172	322	339	363	384	245	616	1323	918					
11	Число полученных открепительных  удостоверений	198	0	6	6	3	15	0	2	2	2	2	3	3	2	10	2	0	5	2	3	3	5	3	8	3	5	3	2	5	5	5	5	3	23	27	25					
12	Число выданных открепительных удостоверений	107	0	6	0	2	2	0	1	0	0	2	1	1	0	4	2	0	5	0	3	0	1	0	8	2	0	3	2	0	2	5	1	1	6	24	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	3	3	3	2	4	0	0	2	0	3	1	0	0	4	1	1	3	3	3	3	5	0	1	5	2	2	1	2	1	1	2	1	1	6	2					
14	Число неиспользованных открепительных удостоверений	91	0	0	6	1	13	0	1	2	2	0	2	2	2	6	0	0	0	2	0	3	4	3	0	1	5	0	0	5	3	0	4	2	17	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	26	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	1	1	0	2	4	5					
		0.19%	0.00%	0.33%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.65%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.26%	0.00%	0.32%	0.30%	0.54%					
19	. Малышкин Олег Александрович	21	0	0	0	0	4	0	2	0	0	1	1	2	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	2	0	0					
		0.16%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.81%	0.00%	0.00%	0.58%	0.33%	0.99%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.20%	0.00%	0.22%	0.00%	0.15%	0.00%	0.33%	0.00%	0.58%	0.00%	0.29%	0.28%	0.26%	0.00%	0.32%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	10	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1					
		0.07%	0.00%	0.16%	0.00%	0.00%	0.19%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.08%	0.11%					
21	. Путин Владимир Владимирович	12981	203	595	467	141	1043	211	240	134	262	167	298	196	224	458	200	199	414	234	475	153	446	325	636	189	293	205	167	319	331	353	373	237	599	1299	895					
		97.27%	90.62%	97.06%	98.94%	97.92%	97.20%	97.24%	97.17%	97.81%	97.04%	97.09%	97.07%	97.03%	96.97%	96.42%	97.56%	99.00%	97.18%	98.32%	97.14%	97.45%	97.17%	97.01%	96.95%	97.42%	97.34%	98.09%	97.09%	99.07%	97.07%	97.25%	97.14%	96.34%	96.61%	98.04%	97.49%					
22	. Хакамада Ирина Муцуовна	30	0	3	1	0	1	0	0	0	2	0	2	0	0	2	0	0	0	0	2	1	2	0	2	0	0	0	1	1	1	1	1	0	3	2	2					
		0.22%	0.00%	0.49%	0.21%	0.00%	0.09%	0.00%	0.00%	0.00%	0.74%	0.00%	0.65%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.41%	0.64%	0.44%	0.00%	0.30%	0.00%	0.00%	0.00%	0.58%	0.31%	0.29%	0.28%	0.26%	0.00%	0.48%	0.15%	0.22%					
23	. Харитонов Николай Михайлович	211	7	4	3	3	18	6	4	3	3	4	5	3	6	14	4	2	9	2	6	2	5	7	12	4	7	2	3	1	5	6	8	8	7	15	13					
		1.58%	3.12%	0.65%	0.64%	2.08%	1.68%	2.76%	1.62%	2.19%	1.11%	2.33%	1.63%	1.49%	2.60%	2.95%	1.95%	1.00%	2.11%	0.84%	1.23%	1.27%	1.09%	2.09%	1.83%	2.06%	2.33%	0.96%	1.74%	0.31%	1.47%	1.65%	2.08%	3.25%	1.13%	1.13%	1.42%					
																																										
