Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Ставрополь, Ленинская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в список"	71860	1733	1954	1774	1146	1008	1155	475	1123	1097	1635	1937	1421	2046	1058	2457	2261	2334	1172	1315	2015	1953	1063	758	514	1021	2052	1861	2503	952	1536	1805	1993	2116	1076	1103	603	1507	1828	1295	1653	1391	1431	1328	2869	1116	1736	81	294	77	211	161	857					
2	Число полученных избирательных бюллетеней	74577	1780	2080	1950	1200	1010	1100	470	960	1220	1700	2040	1530	2150	1150	2460	2550	2420	1220	1430	2170	2070	1070	710	730	1030	2130	1840	2490	980	1640	1805	2170	2220	1130	1060	490	1520	1950	1370	1600	1460	1460	1370	3040	1160	1825	78	281	77	211	158	862					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42532	1090	1239	1372	1124	683	965	248	528	778	1044	1064	781	1246	624	1357	1169	1344	640	667	1095	1099	676	518	467	563	1361	1011	1487	508	968	944	1010	1150	620	635	380	754	941	648	800	750	674	795	1631	560	970	69	194	77	211	148	855					
5	"Число избирательных бюллетеней, выданных вне помещения"	1916	21	58	10	22	30	0	11	40	38	24	50	50	31	21	52	39	29	20	11	35	63	22	35	0	32	29	40	48	70	41	60	68	89	31	32	34	78	61	89	43	60	60	3	76	46	23	8	83	0	0	0	0					
6	Число погашенных избирательных бюллетеней	30129	669	783	568	54	297	135	211	392	404	632	926	699	873	505	1051	1342	1047	560	752	1040	908	372	157	263	435	740	789	955	402	631	801	1092	981	479	393	76	688	948	633	757	650	726	572	1333	554	832	1	4	0	0	10	7					
7	Число избирательных бюллетеней в переносных ящиках	1916	21	58	10	22	30	0	11	40	38	24	50	50	31	21	52	39	29	20	11	35	63	22	35	0	32	29	40	48	70	41	60	68	89	31	32	34	78	61	89	43	60	60	3	76	46	23	8	83	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	42528	1090	1237	1372	1124	683	965	248	528	778	1044	1064	781	1246	624	1357	1169	1344	640	667	1095	1099	676	518	467	563	1361	1011	1487	508	968	944	1010	1150	620	635	380	754	941	648	800	750	674	795	1631	560	968	69	194	77	211	148	855					
9	Число недействительных избирательных бюллетеней	242	0	4	10	4	3	2	1	2	5	2	3	6	10	5	9	6	7	2	7	9	4	2	1	5	5	3	3	5	2	8	1	4	10	5	4	0	3	0	10	11	4	1	6	13	4	7	0	6	2	3	3	10					
10	Число действительных избирательных бюллетеней	44202	1111	1291	1372	1142	710	963	258	566	811	1066	1111	825	1267	640	1400	1202	1366	658	671	1121	1158	696	552	462	590	1387	1048	1530	576	1001	1003	1074	1229	646	663	414	829	1002	727	832	806	733	792	1694	602	984	77	271	75	208	145	845					
11	Число полученных открепительных  удостоверений	1465	30	35	25	25	25	25	20	25	25	30	35	30	35	35	40	40	40	30	30	35	35	30	25	10	25	30	30	40	25	30	30	35	35	25	25	20	30	35	30	30	30	30	30	135	25	25	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	706	15	34	15	11	16	0	6	12	12	11	16	10	15	18	21	20	17	13	15	21	24	9	9	2	13	13	15	33	13	13	16	11	20	10	13	4	4	12	6	11	14	16	13	82	7	25	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2129	12	26	47	401	29	190	15	19	32	15	19	16	18	12	25	16	18	17	6	13	16	31	64	86	26	13	15	35	19	19	18	31	19	10	33	15	9	9	13	10	13	9	27	25	12	7	15	151	31	211	45	146					
14	Число неиспользованных открепительных удостоверений	759	15	1	10	14	9	25	14	13	13	19	19	20	20	17	19	20	23	17	15	14	11	21	16	8	12	17	15	7	12	17	14	24	15	15	12	16	26	23	24	19	16	14	17	53	18	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	2096	69	91	57	19	37	24	9	25	31	87	49	26	72	40	81	43	71	30	35	77	66	35	21	11	36	64	47	99	27	76	33	53	65	26	25	13	39	50	44	38	24	14	37	46	31	57	3	17	4	5	6	11					
		4.72%	6.21%	7.03%	4.12%	1.66%	5.19%	2.49%	3.47%	4.40%	3.80%	8.15%	4.40%	3.13%	5.64%	6.20%	5.75%	3.56%	5.17%	4.55%	5.16%	6.81%	5.68%	5.01%	3.80%	2.36%	6.05%	4.60%	4.47%	6.45%	4.67%	7.53%	3.29%	4.92%	5.25%	3.99%	3.75%	3.14%	4.69%	4.99%	5.97%	4.51%	2.96%	1.91%	4.64%	2.69%	5.12%	5.75%	3.90%	6.14%	5.19%	2.37%	4.05%	1.29%					
19	. Малышкин Олег Александрович	780	13	12	23	19	7	31	1	9	20	9	16	20	17	11	14	20	25	12	10	25	19	6	9	17	6	27	17	14	12	11	20	17	27	11	17	6	10	24	24	20	22	18	16	18	10	21	0	7	3	5	4	28					
		1.76%	1.17%	0.93%	1.66%	1.66%	0.98%	3.21%	0.39%	1.58%	2.45%	0.84%	1.44%	2.41%	1.33%	1.71%	0.99%	1.66%	1.82%	1.82%	1.47%	2.21%	1.64%	0.86%	1.63%	3.64%	1.01%	1.94%	1.62%	0.91%	2.08%	1.09%	1.99%	1.58%	2.18%	1.69%	2.55%	1.45%	1.20%	2.40%	3.26%	2.37%	2.72%	2.45%	2.01%	1.05%	1.65%	2.12%	0.00%	2.53%	3.90%	2.37%	2.70%	3.27%					
20	. Миронов Сергей Михайлович	380	15	12	10	6	5	5	1	0	10	5	8	14	8	6	14	7	15	4	7	15	13	5	8	6	7	4	10	16	3	13	5	9	10	6	2	3	4	6	4	3	10	4	8	22	2	15	0	0	1	2	1	11					
		0.86%	1.35%	0.93%	0.72%	0.52%	0.70%	0.52%	0.39%	0.00%	1.23%	0.47%	0.72%	1.68%	0.63%	0.93%	0.99%	0.58%	1.09%	0.61%	1.03%	1.33%	1.12%	0.72%	1.45%	1.28%	1.18%	0.29%	0.95%	1.04%	0.52%	1.29%	0.50%	0.83%	0.81%	0.92%	0.30%	0.72%	0.48%	0.60%	0.54%	0.36%	1.23%	0.54%	1.00%	1.29%	0.33%	1.51%	0.00%	0.00%	1.30%	0.95%	0.68%	1.29%					
21	. Путин Владимир Владимирович	30407	683	806	1095	837	460	792	181	370	584	685	760	577	825	446	983	890	931	462	468	698	741	469	339	368	357	964	743	1007	402	638	623	726	756	429	443	311	542	654	491	552	535	545	573	1372	428	660	63	191	47	149	106	650					
		68.42%	61.48%	62.24%	79.23%	73.04%	64.52%	82.07%	69.88%	65.14%	71.57%	64.14%	68.22%	69.43%	64.60%	69.15%	69.77%	73.68%	67.81%	70.00%	69.03%	61.77%	63.77%	67.19%	61.30%	78.80%	60.00%	69.35%	70.69%	65.60%	69.55%	63.23%	62.05%	67.35%	61.02%	65.90%	66.42%	75.12%	65.14%	65.27%	66.62%	65.48%	66.05%	74.25%	71.80%	80.37%	70.63%	66.60%	81.82%	68.95%	61.04%	70.62%	71.62%	76.02%					
22	. Хакамада Ирина Муцуовна	2112	91	72	39	65	48	14	17	37	48	70	67	41	75	40	57	39	60	22	27	49	69	39	40	4	53	66	65	74	24	43	63	56	62	23	38	15	46	42	17	20	26	23	27	63	24	37	3	11	3	4	5	49					
		4.75%	8.19%	5.56%	2.82%	5.67%	6.73%	1.45%	6.56%	6.51%	5.88%	6.55%	6.01%	4.93%	5.87%	6.20%	4.05%	3.23%	4.37%	3.33%	3.98%	4.34%	5.94%	5.59%	7.23%	0.86%	8.91%	4.75%	6.18%	4.82%	4.15%	4.26%	6.27%	5.19%	5.00%	3.53%	5.70%	3.62%	5.53%	4.19%	2.31%	2.37%	3.21%	3.13%	3.38%	3.69%	3.96%	3.73%	3.90%	3.97%	3.90%	1.90%	3.38%	5.73%					
23	. Харитонов Николай Михайлович	6191	167	235	95	123	108	38	31	80	76	143	141	104	221	75	177	157	178	96	101	210	198	109	108	31	97	182	119	246	83	175	213	164	251	121	101	50	146	198	110	151	155	108	92	107	90	142	2	31	12	23	14	6					
		13.93%	15.03%	18.15%	6.87%	10.73%	15.15%	3.94%	11.97%	14.08%	9.31%	13.39%	12.66%	12.52%	17.31%	11.63%	12.56%	13.00%	12.96%	14.55%	14.90%	18.58%	17.04%	15.62%	19.53%	6.64%	16.30%	13.09%	11.32%	16.03%	14.36%	17.34%	21.22%	15.21%	20.26%	18.59%	15.14%	12.08%	17.55%	19.76%	14.93%	17.91%	19.14%	14.71%	11.53%	6.27%	14.85%	14.33%	2.60%	11.19%	15.58%	10.90%	9.46%	0.70%					
																																																											
24	Против всех	2236	73	63	53	73	45	59	18	45	42	67	70	43	49	22	74	46	86	32	23	47	52	33	27	25	34	80	47	74	25	45	46	49	58	30	37	16	42	28	37	48	34	21	39	66	17	52	6	14	5	20	9	90					
		5.03%	6.57%	4.86%	3.84%	6.37%	6.31%	6.11%	6.95%	7.92%	5.15%	6.27%	6.28%	5.17%	3.84%	3.41%	5.25%	3.81%	6.26%	4.85%	3.39%	4.16%	4.48%	4.73%	4.88%	5.35%	5.71%	5.76%	4.47%	4.82%	4.33%	4.46%	4.58%	4.55%	4.68%	4.61%	5.55%	3.86%	5.05%	2.79%	5.02%	5.69%	4.20%	2.86%	4.89%	3.87%	2.81%	5.25%	7.79%	5.05%	6.49%	9.48%	6.08%	10.53%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
