Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Электростальская городская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	887	164	75	51	60	17	14	11	12	13	21	10	13	2	12	15	18	3	9	9	9	9	13	13	2	14	4	13	12	29	14	7	14	7	21	12	10	14	9	6	9	4	7	8	12	4	16	12	10	44					
14	Число неиспользованных открепительных удостоверений	1480	105	37	24	29	34	25	33	30	26	27	35	30	36	34	35	31	28	31	30	24	34	21	32	30	36	34	32	32	32	38	31	23	21	29	32	38	25	32	28	21	31	32	22	31	30	19	30	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	3829	79	103	104	106	98	76	76	90	81	81	67	72	78	90	84	89	77	78	80	89	83	90	110	77	77	66	46	58	59	74	67	72	65	81	84	66	90	74	130	97	90	67	82	93	76	74	49	20	14					
		5.51%	5.58%	6.82%	5.81%	6.20%	6.53%	5.68%	5.02%	6.41%	5.37%	5.41%	4.72%	6.30%	5.75%	7.40%	5.13%	5.44%	4.79%	4.81%	4.85%	5.24%	5.44%	5.76%	7.22%	5.59%	5.24%	5.37%	3.44%	4.61%	4.50%	5.20%	4.46%	5.27%	4.53%	5.40%	6.36%	5.02%	6.62%	4.96%	8.60%	5.89%	6.15%	5.46%	5.71%	5.53%	4.77%	4.86%	3.82%	5.99%	5.00%					
19	. Малышкин Олег Александрович	1181	30	16	26	34	22	21	13	16	36	24	28	16	33	23	22	26	20	37	33	20	22	26	25	17	26	14	26	27	23	20	20	30	36	25	16	21	24	31	30	22	35	27	16	31	28	29	27	8	3					
		1.70%	2.12%	1.06%	1.45%	1.99%	1.47%	1.57%	0.86%	1.14%	2.39%	1.60%	1.97%	1.40%	2.43%	1.89%	1.34%	1.59%	1.24%	2.28%	2.00%	1.18%	1.44%	1.66%	1.64%	1.23%	1.77%	1.14%	1.95%	2.14%	1.75%	1.41%	1.33%	2.19%	2.51%	1.67%	1.21%	1.60%	1.76%	2.08%	1.99%	1.34%	2.39%	2.20%	1.11%	1.84%	1.76%	1.90%	2.10%	2.40%	1.07%					
20	. Миронов Сергей Михайлович	633	9	6	20	16	12	3	34	6	18	16	19	11	18	9	19	13	20	12	16	15	15	20	13	14	22	13	7	15	5	15	15	5	13	12	14	7	8	12	9	13	7	15	17	18	11	15	5	4	2					
		0.91%	0.64%	0.40%	1.12%	0.94%	0.80%	0.22%	2.25%	0.43%	1.19%	1.07%	1.34%	0.96%	1.33%	0.74%	1.16%	0.79%	1.24%	0.74%	0.97%	0.88%	0.98%	1.28%	0.85%	1.02%	1.50%	1.06%	0.52%	1.19%	0.38%	1.05%	1.00%	0.37%	0.91%	0.80%	1.06%	0.53%	0.59%	0.80%	0.60%	0.79%	0.48%	1.22%	1.18%	1.07%	0.69%	0.98%	0.39%	1.20%	0.71%					
21	. Путин Владимир Владимирович	48366	1035	1033	1276	1162	1030	937	1036	988	1034	1045	990	777	903	841	1135	1147	1122	1158	1170	1160	1090	1094	979	958	1015	846	980	924	954	997	1092	958	982	1050	911	919	966	1072	994	1096	962	838	987	1161	1164	1068	891	242	197					
		69.63%	73.04%	68.37%	71.32%	67.95%	68.62%	70.03%	68.47%	70.37%	68.52%	69.81%	69.72%	67.98%	66.59%	69.16%	69.25%	70.11%	69.73%	71.44%	70.87%	68.36%	71.48%	69.99%	64.28%	69.57%	69.05%	68.89%	73.35%	73.39%	72.77%	70.06%	72.75%	70.08%	68.48%	70.00%	68.96%	69.89%	71.03%	71.80%	65.78%	66.59%	65.76%	68.30%	68.73%	68.98%	73.07%	70.08%	69.45%	72.46%	70.36%					
22	. Хакамада Ирина Муцуовна	3369	53	53	110	93	80	86	82	100	88	74	59	54	53	44	69	92	66	76	70	93	65	81	72	63	89	61	61	48	55	67	72	79	85	73	77	78	50	61	45	79	91	49	71	84	77	81	48	6	6					
		4.85%	3.74%	3.51%	6.15%	5.44%	5.33%	6.43%	5.42%	7.12%	5.83%	4.94%	4.15%	4.72%	3.91%	3.62%	4.21%	5.62%	4.10%	4.69%	4.24%	5.48%	4.26%	5.18%	4.73%	4.58%	6.05%	4.97%	4.57%	3.81%	4.20%	4.71%	4.80%	5.78%	5.93%	4.87%	5.83%	5.93%	3.68%	4.09%	2.98%	4.80%	6.22%	3.99%	4.94%	4.99%	4.83%	5.31%	3.74%	1.80%	2.14%					
23	. Харитонов Николай Михайлович	7318	126	188	95	134	157	131	167	127	141	180	170	119	184	137	191	156	198	156	167	208	147	167	213	170	126	167	135	117	156	163	140	117	138	142	130	129	119	163	202	209	171	147	157	170	113	122	192	35	29					
		10.54%	8.89%	12.44%	5.31%	7.84%	10.46%	9.79%	11.04%	9.05%	9.34%	12.02%	11.97%	10.41%	13.57%	11.27%	11.65%	9.54%	12.31%	9.62%	10.12%	12.26%	9.64%	10.68%	13.99%	12.35%	8.57%	13.60%	10.10%	9.29%	11.90%	11.45%	9.33%	8.56%	9.62%	9.47%	9.84%	9.81%	8.75%	10.92%	13.37%	12.70%	11.69%	11.98%	10.93%	10.10%	7.09%	8.01%	14.96%	10.48%	10.36%					
																																																								
24	Против всех	4071	73	96	145	150	93	59	91	67	100	65	71	80	72	56	101	104	74	95	100	90	84	78	91	64	100	50	68	54	46	67	82	84	90	108	85	88	84	56	84	124	95	72	93	117	106	123	56	15	25					
		5.86%	5.15%	6.35%	8.11%	8.77%	6.20%	4.41%	6.01%	4.77%	6.63%	4.34%	5.00%	7.00%	5.31%	4.61%	6.16%	6.36%	4.60%	5.86%	6.06%	5.30%	5.51%	4.99%	5.98%	4.65%	6.80%	4.07%	5.09%	4.29%	3.51%	4.71%	5.46%	6.14%	6.28%	7.20%	6.43%	6.69%	6.18%	3.75%	5.56%	7.53%	6.49%	5.87%	6.48%	6.95%	6.65%	8.07%	4.36%	4.49%	8.93%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
