Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Красногвардейская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
1	"Число избирателей, внесенных в список"	17946	760	266	51	225	569	57	110	132	541	224	291	260	189	237	1265	320	487	78	390	386	188	252	309	371	439	746	128	296	564	261	124	595	262	537	183	141	334	839	666	1477	1186	287	252	248	423					
2	Число полученных избирательных бюллетеней	18268	771	271	52	231	576	59	111	142	555	226	299	267	197	244	1299	324	487	81	397	389	191	259	383	376	446	761	128	300	588	264	126	598	260	542	193	143	343	851	668	1419	1216	290	256	253	436					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12173	424	230	41	179	356	45	92	113	371	173	201	184	148	184	834	230	297	61	227	252	142	186	267	244	324	486	93	189	374	202	97	442	179	352	128	104	220	559	425	920	797	182	166	178	275					
5	"Число избирательных бюллетеней, выданных вне помещения"	835	51	19	1	5	7	0	5	0	23	25	15	5	0	8	62	8	54	0	28	12	0	0	28	24	30	35	5	37	40	8	0	36	24	25	0	4	9	8	18	86	19	16	13	0	42					
6	Число погашенных избирательных бюллетеней	5260	296	22	10	47	213	14	14	29	161	28	83	78	49	52	403	86	136	20	142	125	49	73	88	108	92	240	30	74	174	54	29	120	57	165	65	35	114	284	225	413	400	92	77	75	119					
7	Число избирательных бюллетеней в переносных ящиках	835	51	19	1	5	7	0	5	0	23	25	15	5	0	8	62	8	54	0	28	12	0	0	28	24	30	35	5	37	40	8	0	36	24	25	0	4	9	8	18	86	19	16	13	0	42					
8	Число бюллетеней в стационарных ящиках для голосования	12173	424	230	41	179	356	45	92	113	371	173	201	184	148	184	834	230	297	61	227	252	142	186	267	244	324	486	93	189	374	202	97	442	179	352	128	104	220	559	425	920	797	182	166	178	275					
9	Число недействительных избирательных бюллетеней	97	2	1	0	0	1	1	1	4	5	0	1	1	0	1	4	4	1	0	5	1	0	3	5	0	3	7	2	2	8	0	0	6	0	3	1	1	0	2	4	2	9	1	2	3	0					
10	Число действительных избирательных бюллетеней	12911	473	248	42	184	362	44	96	109	389	198	215	188	148	191	892	234	350	61	250	263	142	183	290	268	351	514	96	224	406	210	97	472	203	374	127	107	229	565	439	1004	807	197	177	175	317					
11	Число полученных открепительных  удостоверений	373	10	5	5	0	9	5	2	8	10	5	5	5	5	5	34	2	10	5	7	2	0	0	7	9	7	18	2	5	20	0	5	15	5	10	5	5	5	15	9	42	28	5	5	5	7					
12	Число выданных открепительных удостоверений	286	10	3	0	0	6	0	1	8	10	0	2	5	5	5	34	2	6	0	5	0	0	0	7	7	7	18	0	5	20	0	0	10	0	4	5	0	2	15	6	39	25	4	2	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	1	0	1	0	4	0	0	0	1	0	0	0	1	0	6	0	1	0	2	0	0	0	44	2	1	2	0	1	3	0	0	2	0	0	0	1	0	3	3	11	6	0	3	2	2					
14	Число неиспользованных открепительных удостоверений	87	0	2	5	0	3	5	1	0	0	5	3	0	0	0	0	0	4	5	2	2	0	0	0	2	0	0	2	0	0	0	5	5	5	6	0	5	3	0	3	3	3	1	3	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	3	4	0	0	0	1					
