Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Коченевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в список"	35367	995	319	261	1153	160	505	295	672	103	69	980	81	121	508	138	868	69	124	2635	847	967	325	526	404	309	197	251	104	531	78	68	628	202	154	89	161	519	550	613	158	156	1911	1254	2638	2114	1150	2392	2145	1940	1930					
2	Число полученных избирательных бюллетеней	35630	1000	315	258	1170	203	506	296	659	103	73	975	83	123	509	137	860	73	121	2640	845	960	320	530	400	310	195	250	107	530	79	86	615	203	156	94	166	525	560	628	160	162	1960	1270	2655	2125	1170	2410	2100	1970	1985					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20040	510	225	218	725	160	321	208	366	83	49	720	60	102	362	95	588	65	104	1464	381	519	189	284	284	192	138	232	98	409	67	58	438	185	142	62	141	345	349	361	110	127	931	627	1333	869	548	1107	1028	1127	934					
5	"Число избирательных бюллетеней, выданных вне помещения"	2073	193	18	0	85	0	53	30	75	0	0	27	10	0	34	3	79	0	0	109	68	43	49	39	7	64	10	0	0	21	0	10	37	0	0	2	0	24	29	32	11	0	61	64	80	137	75	179	144	55	116					
6	Число погашенных избирательных бюллетеней	13517	297	72	40	360	43	132	58	218	20	24	228	13	21	113	39	193	8	17	1067	396	398	82	207	109	54	47	18	9	100	12	18	140	18	14	30	25	156	182	235	39	35	968	579	1242	1119	547	1124	928	788	935					
7	Число избирательных бюллетеней в переносных ящиках	2073	193	18	0	85	0	53	30	75	0	0	27	10	0	34	3	79	0	0	109	68	43	49	39	7	64	10	0	0	21	0	10	37	0	0	2	0	24	29	32	11	0	61	64	80	137	75	179	144	55	116					
8	Число бюллетеней в стационарных ящиках для голосования	20027	510	225	218	725	160	321	208	366	83	49	720	60	102	362	95	588	65	104	1464	381	519	189	284	284	192	138	231	98	408	67	58	438	185	142	62	141	345	349	361	110	127	931	627	1333	869	548	1107	1028	1116	934					
9	Число недействительных избирательных бюллетеней	392	11	6	3	9	1	20	9	10	2	1	13	3	1	16	2	7	0	0	27	17	8	2	8	8	4	6	7	0	10	0	1	5	6	0	2	5	6	7	5	1	0	15	19	8	11	13	25	12	19	21					
10	Число действительных избирательных бюллетеней	21708	692	237	215	801	159	354	229	431	81	48	734	67	101	380	96	660	65	104	1546	432	554	236	315	283	252	142	224	98	419	67	67	470	179	142	62	136	363	371	388	120	127	977	672	1405	995	610	1261	1160	1152	1029					
11	Число полученных открепительных  удостоверений	242	7	2	2	5	2	5	2	5	2	2	5	2	2	8	2	7	2	2	10	10	10	3	3	4	3	2	2	2	5	2	2	5	2	2	2	2	5	5	8	2	2	10	5	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	109	3	2	0	5	0	3	1	0	0	0	2	0	0	5	0	1	0	0	5	0	1	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	2	5	6	0	0	10	1	10	4	8	7	1	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	2	2	2	1	0	0	0	3	0	0	2	0	0	3	1	1	0	0	5	0	1	0	2	1	0	2	1	1	0	1	4	1	0	0	0	1	1	4	0	0	0	4	5	11	2	2	3	2	6	4					
14	Число неиспользованных открепительных удостоверений	133	4	0	2	0	2	2	1	5	2	2	3	2	2	3	2	6	2	2	5	10	9	3	3	3	3	2	2	2	1	2	2	3	2	2	2	2	3	0	2	2	2	0	4	0	6	2	3	9	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	567	13	7	0	24	1	6	1	15	0	1	7	0	0	10	0	5	2	1	56	8	13	4	3	1	5	0	0	1	3	0	0	2	8	2	3	0	5	4	7	1	6	38	23	43	18	26	30	32	64	68					
