Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Парабельский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551					
1	"Число избирателей, внесенных в список"	10175	70	59	317	539	162	813	286	149	61	412	1411	1278	1455	1027	244	377	118	142	271	53	42	148	741					
2	Число полученных избирательных бюллетеней	10135	86	62	353	532	165	832	306	154	61	393	1171	1217	1541	1065	264	383	117	144	283	55	48	157	746					
3	"Число избирательных бюллетеней, выданных  досрочно"	287	0	0	0	0	0	2	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6697	57	53	194	331	105	495	253	97	51	327	707	802	980	679	205	275	88	118	208	49	23	95	505					
5	"Число избирательных бюллетеней, выданных вне помещения"	797	6	1	51	67	11	75	0	37	2	27	72	125	70	58	6	36	13	6	40	0	13	34	47					
6	Число погашенных избирательных бюллетеней	2354	23	8	108	134	49	260	53	20	8	39	107	290	491	328	53	72	16	20	35	6	12	28	194					
7	Число избирательных бюллетеней в переносных ящиках	1084	6	1	51	67	11	77	0	37	2	27	357	125	70	58	6	36	13	6	40	0	13	34	47					
8	Число бюллетеней в стационарных ящиках для голосования	6697	57	53	194	331	105	495	253	97	51	327	707	802	980	679	205	275	88	118	208	49	23	95	505					
9	Число недействительных избирательных бюллетеней	53	3	0	0	3	0	7	0	0	0	0	8	6	9	6	1	1	1	1	3	0	1	1	2					
10	Число действительных избирательных бюллетеней	7728	60	54	245	395	116	565	253	134	53	354	1056	921	1041	731	210	310	100	123	245	49	35	128	550					
11	Число полученных открепительных  удостоверений	940	15	15	30	45	15	65	35	15	10	45	75	85	90	80	35	45	30	30	45	15	10	35	75					
12	Число выданных открепительных удостоверений	200	10	2	27	3	0	5	23	2	0	4	16	21	34	19	5	3	2	1	5	3	3	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	278	1	1	2	8	2	1	5	1	1	2	190	22	14	9	1	4	2	1	4	2	1	3	1					
14	Число неиспользованных открепительных удостоверений	740	5	13	3	42	15	60	12	13	10	41	59	64	56	61	30	42	28	29	40	12	7	27	71					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	0	0	6	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	229	0	0	8	7	12	33	11	0	0	4	28	18	28	16	6	5	2	1	7	2	0	1	40					
		2.94%	0.00%	0.00%	3.27%	1.76%	10.34%	5.77%	4.35%	0.00%	0.00%	1.13%	2.63%	1.94%	2.67%	2.17%	2.84%	1.61%	1.98%	0.81%	2.82%	4.08%	0.00%	0.78%	7.25%					
19	. Малышкин Олег Александрович	244	1	0	6	14	9	18	11	14	0	17	33	23	23	19	3	14	8	7	7	2	1	4	10					
		3.14%	1.59%	0.00%	2.45%	3.52%	7.76%	3.15%	4.35%	10.45%	0.00%	4.80%	3.10%	2.48%	2.19%	2.58%	1.42%	4.50%	7.92%	5.65%	2.82%	4.08%	2.78%	3.10%	1.81%					
20	. Миронов Сергей Михайлович	77	0	0	4	2	2	7	1	1	0	3	12	8	11	5	1	3	2	0	1	0	4	0	10					
		0.99%	0.00%	0.00%	1.63%	0.50%	1.72%	1.22%	0.40%	0.75%	0.00%	0.85%	1.13%	0.86%	1.05%	0.68%	0.47%	0.96%	1.98%	0.00%	0.40%	0.00%	11.11%	0.00%	1.81%					
21	. Путин Владимир Владимирович	5558	26	50	186	313	73	327	201	93	50	270	722	684	751	531	164	246	54	100	191	36	24	106	360					
		71.43%	41.27%	92.59%	75.92%	78.64%	62.93%	57.17%	79.45%	69.40%	94.34%	76.27%	67.86%	73.79%	71.52%	72.05%	77.73%	79.10%	53.47%	80.65%	77.02%	73.47%	66.67%	82.17%	65.22%					
22	. Хакамада Ирина Муцуовна	322	2	0	5	14	5	24	6	3	0	8	64	44	58	54	4	9	1	1	9	0	1	1	9					
		4.14%	3.17%	0.00%	2.04%	3.52%	4.31%	4.20%	2.37%	2.24%	0.00%	2.26%	6.02%	4.75%	5.52%	7.33%	1.90%	2.89%	0.99%	0.81%	3.63%	0.00%	2.78%	0.78%	1.63%					
23	. Харитонов Николай Михайлович	912	30	2	18	28	10	111	21	17	1	37	147	109	110	59	29	23	22	7	21	6	0	14	90					
		11.72%	47.62%	3.70%	7.35%	7.04%	8.62%	19.41%	8.30%	12.69%	1.89%	10.45%	13.82%	11.76%	10.48%	8.01%	13.74%	7.40%	21.78%	5.65%	8.47%	12.24%	0.00%	10.85%	16.30%					
																														
24	Против всех	386	1	2	18	17	5	45	2	6	2	15	50	35	60	47	3	10	11	7	9	3	5	2	31					
		4.96%	1.59%	3.70%	7.35%	4.27%	4.31%	7.87%	0.79%	4.48%	3.77%	4.24%	4.70%	3.78%	5.71%	6.38%	1.42%	3.22%	10.89%	5.65%	3.63%	6.12%	13.89%	1.55%	5.62%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
