Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Целинная																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
1	"Число избирателей, внесенных в список"	16595	1401	898	1006	1292	309	75	558	331	263	578	216	518	121	167	229	686	154	160	593	113	73	824	99	127	81	83	61	160	66	602	193	358	350	873	166	53	264	629	120	155	137	787	162	116	111	277					
2	Число полученных избирательных бюллетеней	16631	1404	889	978	1291	317	75	564	339	258	570	219	516	130	170	235	680	149	152	601	117	75	824	99	127	81	82	61	157	66	618	190	378	362	880	165	53	261	625	115	157	138	808	162	111	107	275					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10541	662	461	491	606	222	56	335	234	230	372	172	375	77	131	183	393	129	134	415	93	63	498	86	99	57	67	48	116	55	389	151	291	237	555	119	49	217	448	95	117	109	450	156	69	85	144					
5	"Число избирательных бюллетеней, выданных вне помещения"	606	33	41	37	30	28	9	49	33	6	36	12	42	5	23	7	9	0	0	9	0	0	0	0	0	0	0	0	0	0	20	10	0	29	32	14	0	8	17	0	0	0	15	0	0	7	45					
6	Число погашенных избирательных бюллетеней	5484	709	387	450	655	67	10	180	72	22	162	35	99	48	16	45	278	20	18	177	24	12	326	13	28	24	15	13	41	11	209	29	87	96	293	32	4	36	160	20	40	29	343	6	42	15	86					
7	Число избирательных бюллетеней в переносных ящиках	606	33	41	37	30	28	9	49	33	6	36	12	42	5	23	7	9	0	0	9	0	0	0	0	0	0	0	0	0	0	20	10	0	29	32	14	0	8	17	0	0	0	15	0	0	7	45					
8	Число бюллетеней в стационарных ящиках для голосования	10537	662	461	491	606	222	56	335	234	230	372	172	375	77	131	183	393	129	133	413	93	63	498	86	99	57	67	48	116	55	389	151	291	237	554	119	49	217	448	95	117	109	450	156	69	85	144					
9	Число недействительных избирательных бюллетеней	85	4	4	7	5	4	0	5	1	0	1	2	2	0	0	0	3	0	0	5	3	0	6	0	1	2	1	0	0	0	4	2	1	2	4	2	0	1	3	4	0	0	2	2	0	1	1					
10	Число действительных избирательных бюллетеней	11058	691	498	521	631	246	65	379	266	236	407	182	415	82	154	190	399	129	133	417	90	63	492	86	98	55	66	48	116	55	405	159	290	264	582	131	49	224	462	91	117	109	463	154	69	91	188					
11	Число полученных открепительных  удостоверений	427	20	16	7	10	10	10	12	11	11	13	12	10	10	10	8	10	10	15	9	7	10	11	10	10	9	9	9	7	6	8	8	7	8	7	10	8	7	15	10	10	5	4	5	6	4	3					
12	Число выданных открепительных удостоверений	71	3	1	1	4	3	0	5	1	0	4	5	1	0	6	0	2	0	0	3	0	0	2	0	0	0	0	0	0	1	8	1	0	5	0	0	0	0	8	0	2	0	2	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	6	2	4	3	2	0	0	1	0	7	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	1	0	0	0	0	3	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	356	17	15	6	6	7	10	7	10	11	9	7	9	10	4	8	8	10	15	6	7	10	9	10	10	9	9	9	7	5	0	7	7	3	7	10	8	7	7	10	8	5	2	5	6	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	190	13	11	6	17	0	0	3	2	4	6	8	4	0	3	0	3	2	1	10	1	0	4	4	1	0	2	0	0	4	14	0	4	5	7	2	2	4	9	1	3	0	17	2	3	5	3					
		1.71%	1.87%	2.19%	1.14%	2.67%	0.00%	0.00%	0.78%	0.75%	1.69%	1.47%	4.35%	0.96%	0.00%	1.95%	0.00%	0.75%	1.55%	0.75%	2.37%	1.08%	0.00%	0.80%	4.65%	1.01%	0.00%	2.99%	0.00%	0.00%	7.27%	3.42%	0.00%	1.37%	1.88%	1.19%	1.50%	4.08%	1.78%	1.94%	1.05%	2.56%	0.00%	3.66%	1.28%	4.35%	5.43%	1.59%					
19	. Малышкин Олег Александрович	515	24	18	21	21	19	3	16	11	5	21	7	15	0	3	13	11	9	7	17	6	6	15	5	4	3	1	5	5	3	16	9	24	16	26	6	4	7	31	10	2	13	32	10	0	12	3					
		4.62%	3.45%	3.59%	3.98%	3.30%	7.60%	4.62%	4.17%	4.12%	2.12%	5.15%	3.80%	3.60%	0.00%	1.95%	6.84%	2.74%	6.98%	5.26%	4.03%	6.45%	9.52%	3.01%	5.81%	4.04%	5.26%	1.49%	10.42%	4.31%	5.45%	3.91%	5.59%	8.25%	6.02%	4.44%	4.51%	8.16%	3.11%	6.67%	10.53%	1.71%	11.93%	6.88%	6.41%	0.00%	13.04%	1.59%					
20	. Миронов Сергей Михайлович	73	10	2	6	3	1	0	2	0	2	3	0	3	0	1	5	6	0	0	2	1	1	5	0	0	1	0	1	0	1	1	2	3	1	2	2	0	0	1	0	0	0	3	2	0	0	0					
		0.66%	1.44%	0.40%	1.14%	0.47%	0.40%	0.00%	0.52%	0.00%	0.85%	0.74%	0.00%	0.72%	0.00%	0.65%	2.63%	1.49%	0.00%	0.00%	0.47%	1.08%	1.59%	1.00%	0.00%	0.00%	1.75%	0.00%	2.08%	0.00%	1.82%	0.24%	1.24%	1.03%	0.38%	0.34%	1.50%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.65%	1.28%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6001	398	238	272	372	161	47	227	167	103	163	115	251	29	90	105	200	67	86	190	42	35	238	37	61	43	38	30	53	38	207	47	166	165	352	77	30	137	253	41	90	57	212	58	38	52	123					
		53.85%	57.27%	47.41%	51.52%	58.49%	64.40%	72.31%	59.11%	62.55%	43.64%	39.95%	62.50%	60.19%	35.37%	58.44%	55.26%	49.75%	51.94%	64.66%	45.02%	45.16%	55.56%	47.79%	43.02%	61.62%	75.44%	56.72%	62.50%	45.69%	69.09%	50.61%	29.19%	57.04%	62.03%	60.07%	57.89%	61.22%	60.89%	54.41%	43.16%	76.92%	52.29%	45.59%	37.18%	55.07%	56.52%	65.08%					
22	. Хакамада Ирина Муцуовна	172	15	15	11	15	2	0	6	4	3	4	2	6	1	0	1	6	0	3	2	0	1	9	1	0	2	3	2	3	0	6	2	2	5	8	3	2	4	5	1	0	0	6	9	0	0	2					
		1.54%	2.16%	2.99%	2.08%	2.36%	0.80%	0.00%	1.56%	1.50%	1.27%	0.98%	1.09%	1.44%	1.22%	0.00%	0.53%	1.49%	0.00%	2.26%	0.47%	0.00%	1.59%	1.81%	1.16%	0.00%	3.51%	4.48%	4.17%	2.59%	0.00%	1.47%	1.24%	0.69%	1.88%	1.37%	2.26%	4.08%	1.78%	1.08%	1.05%	0.00%	0.00%	1.29%	5.77%	0.00%	0.00%	1.06%					
23	. Харитонов Николай Михайлович	3933	218	200	198	186	61	15	120	78	116	206	46	126	49	53	65	167	51	36	185	37	20	213	39	31	5	21	7	55	9	157	95	88	69	179	41	11	71	159	37	21	39	182	70	26	21	54					
