Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Беловская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159					
1	"Число избирателей, внесенных в список"	21898	1651	424	143	1749	898	608	645	364	307	118	888	146	223	273	305	69	384	186	320	446	346	801	775	1147	137	366	932	143	1040	91	370	198	108	255	149	130	610	1646	880	386	191	1050					
2	Число полученных избирательных бюллетеней	21462	1600	420	151	1700	900	630	620	350	290	112	850	140	224	270	290	71	360	180	320	440	350	800	760	1120	147	350	950	156	970	100	370	197	108	250	145	130	610	1590	850	370	191	1030					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16911	1319	374	129	1499	782	426	495	292	278	112	664	132	177	252	243	60	322	152	286	395	308	615	620	840	102	264	734	143	763	91	307	145	81	218	126	119	443	1114	399	243	149	698					
5	"Число избирательных бюллетеней, выданных вне помещения"	2346	129	28	9	81	0	66	84	45	2	0	87	7	45	10	47	9	28	18	21	21	16	85	82	149	29	57	66	0	197	0	45	48	27	23	14	9	107	204	194	89	30	138					
6	Число погашенных избирательных бюллетеней	2205	152	18	13	120	118	138	41	13	10	0	99	1	2	8	0	2	10	10	13	24	26	100	58	131	16	29	150	13	10	9	18	4	0	9	5	2	60	272	257	38	12	194					
7	Число избирательных бюллетеней в переносных ящиках	2346	129	28	9	81	0	66	84	45	2	0	87	7	45	10	47	9	28	18	21	21	16	85	82	149	29	57	66	0	197	0	45	48	27	23	14	9	107	204	194	89	30	138					
8	Число бюллетеней в стационарных ящиках для голосования	16909	1319	374	129	1499	782	426	495	292	278	112	664	132	177	252	243	60	322	152	286	395	308	615	620	840	102	264	734	143	763	91	307	145	81	216	126	119	443	1114	399	243	149	698					
9	Число недействительных избирательных бюллетеней	381	57	1	1	31	4	2	20	3	19	2	28	0	1	3	1	8	4	1	25	7	4	2	8	10	2	2	0	0	3	4	15	13	11	1	0	0	3	10	3	10	3	59					
10	Число действительных избирательных бюллетеней	18874	1391	401	137	1549	778	490	559	334	261	110	723	139	221	259	289	61	346	169	282	409	320	698	694	979	129	319	800	143	957	87	337	180	97	238	140	128	547	1308	590	322	176	777					
11	Число полученных открепительных  удостоверений	497	62	28	15	48	25	12	15	5	5	5	15	5	8	11	8	5	10	5	10	8	10	10	10	10	5	5	10	5	17	5	13	2	5	5	5	5	10	10	5	15	5	25					
12	Число выданных открепительных удостоверений	291	33	20	11	42	23	11	9	3	5	0	10	0	4	6	4	1	2	0	1	2	3	9	10	3	1	5	9	1	17	0	13	0	5	3	1	0	4	4	5	4	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	239	10	6	1	15	5	0	6	1	14	1	5	2	10	2	4	2	5	2	8	1	1	14	28	5	1	2	2	1	14	3	5	2	5	6	0	1	1	29	5	5	0	9					
14	Число неиспользованных открепительных удостоверений	206	29	8	4	6	2	1	6	2	0	5	5	5	4	5	4	4	8	5	9	6	7	1	0	7	4	0	1	4	0	5	0	2	0	2	4	5	6	6	0	11	5	18					
