Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Малоярославецкая																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
1	"Число избирателей, внесенных в список"	45968	812	575	503	181	295	1002	352	108	2884	339	697	1217	904	389	810	125	409	294	1119	308	430	482	2049	2284	2186	1735	2129	1345	1325	2263	2064	2382	2942	2381	1362	956	2023	2307					
2	Число полученных избирательных бюллетеней	40846	762	543	451	166	269	881	316	88	2474	303	637	1123	802	339	735	114	367	262	1010	278	372	428	1841	2066	1962	1552	1886	1161	1231	1890	1850	2138	2577	2102	1208	814	1810	2038					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21571	477	388	157	89	104	481	157	52	1479	215	312	647	308	245	438	54	171	155	430	127	125	258	1000	1042	1090	860	1110	532	583	981	918	1166	1306	1286	812	406	674	936					
5	"Число избирательных бюллетеней, выданных вне помещения"	2843	130	23	143	19	115	146	59	24	193	29	63	132	172	52	56	25	110	34	142	77	132	72	129	174	23	38	30	50	48	98	46	25	55	12	8	88	51	20					
6	Число погашенных избирательных бюллетеней	16432	155	132	151	58	50	254	100	12	802	59	262	344	322	42	241	35	86	73	438	74	115	98	712	850	849	654	746	579	600	811	886	947	1216	804	388	320	1085	1082					
7	Число избирательных бюллетеней в переносных ящиках	2843	130	23	143	19	115	146	59	24	193	29	63	132	172	52	56	25	110	34	142	77	132	72	129	174	23	38	30	50	48	98	46	25	55	12	8	88	51	20					
8	Число бюллетеней в стационарных ящиках для голосования	21558	477	388	157	89	104	481	157	52	1479	215	312	647	308	245	438	54	171	155	430	126	125	258	1000	1042	1090	860	1110	532	583	981	907	1166	1306	1286	811	406	674	936					
9	Число недействительных избирательных бюллетеней	241	0	2	6	0	1	6	0	0	21	4	0	3	6	1	16	1	3	4	10	1	3	1	15	14	10	6	11	4	11	13	10	14	15	6	1	2	9	11					
10	Число действительных избирательных бюллетеней	24160	607	409	294	108	218	621	216	76	1651	240	375	776	474	296	478	78	278	185	562	202	254	329	1114	1202	1103	892	1129	578	620	1066	943	1177	1346	1292	818	492	716	945					
11	Число полученных открепительных  удостоверений	774	10	10	20	10	20	30	10	10	30	10	10	20	20	10	20	10	20	20	20	20	10	10	20	30	50	20	20	20	20	20	40	20	40	20	20	20	20	44					
12	Число выданных открепительных удостоверений	171	1	0	4	1	2	9	5	0	18	1	2	16	1	0	10	0	3	2	6	0	0	2	2	8	8	12	5	4	4	5	3	7	9	3	5	1	4	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	337	6	100	5	8	1	12	2	3	15	1	0	1	8	0	8	3	5	4	7	1	15	3	6	25	9	7	2	6	3	14	8	3	10	11	7	1	2	15					
14	Число неиспользованных открепительных удостоверений	603	9	10	16	9	18	21	5	10	12	9	8	4	19	10	10	10	17	18	14	20	10	8	18	22	42	8	15	16	16	15	37	13	31	17	15	19	16	36					
15	"Число открепительных удостоверений, выданных в ТИК"	26	0	0	0	0	0	0	0	1	3	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	4	1	0	0	0	0	4	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	951	7	22	8	1	5	16	6	2	63	2	12	25	30	7	15	2	3	6	15	9	4	11	30	49	44	39	55	24	25	38	54	54	82	67	29	19	25	46					
		3.90%	1.15%	5.35%	2.67%	0.93%	2.28%	2.55%	2.78%	2.63%	3.77%	0.82%	3.20%	3.21%	6.25%	2.36%	3.04%	2.53%	1.07%	3.17%	2.62%	4.43%	1.56%	3.33%	2.66%	4.03%	3.95%	4.34%	4.82%	4.12%	3.96%	3.52%	5.67%	4.53%	6.02%	5.16%	3.54%	3.85%	3.45%	4.81%					
19	. Малышкин Олег Александрович	486	8	9	9	0	2	15	6	2	42	8	7	24	18	1	8	2	6	2	2	3	6	5	18	22	27	27	15	10	6	27	20	21	31	22	9	5	21	20					
		1.99%	1.32%	2.19%	3.00%	0.00%	0.91%	2.39%	2.78%	2.63%	2.51%	3.28%	1.87%	3.08%	3.75%	0.34%	1.62%	2.53%	2.14%	1.06%	0.35%	1.48%	2.33%	1.52%	1.59%	1.81%	2.43%	3.01%	1.32%	1.72%	0.95%	2.50%	2.10%	1.76%	2.28%	1.69%	1.10%	1.01%	2.90%	2.09%					
20	. Миронов Сергей Михайлович	154	4	6	8	0	2	3	0	0	7	1	5	8	5	0	5	0	2	2	10	1	1	0	6	6	7	4	8	1	2	6	4	3	7	11	4	1	8	6					
		0.63%	0.66%	1.46%	2.67%	0.00%	0.91%	0.48%	0.00%	0.00%	0.42%	0.41%	1.33%	1.03%	1.04%	0.00%	1.01%	0.00%	0.71%	1.06%	1.75%	0.49%	0.39%	0.00%	0.53%	0.49%	0.63%	0.45%	0.70%	0.17%	0.32%	0.56%	0.42%	0.25%	0.51%	0.85%	0.49%	0.20%	1.10%	0.63%					
21	. Путин Владимир Владимирович	17480	484	265	237	87	149	483	150	62	1255	193	288	588	327	246	368	60	236	119	400	160	204	260	811	845	776	621	761	417	455	764	638	825	861	956	600	349	519	661					
		71.64%	79.74%	64.48%	79.00%	80.56%	68.04%	77.03%	69.44%	81.58%	75.06%	79.10%	76.80%	75.48%	68.12%	82.83%	74.49%	75.95%	83.99%	62.96%	69.93%	78.82%	79.38%	78.79%	71.83%	69.49%	69.72%	69.15%	66.75%	71.65%	72.11%	70.81%	66.95%	69.27%	63.26%	73.65%	73.26%	70.65%	71.59%	69.14%					
22	. Хакамада Ирина Муцуовна	788	12	13	5	5	8	8	7	0	44	5	2	14	10	8	12	2	5	5	7	2	5	7	34	51	42	39	43	19	12	29	35	38	65	72	55	13	13	42					
		3.23%	1.98%	3.16%	1.67%	4.63%	3.65%	1.28%	3.24%	0.00%	2.63%	2.05%	0.53%	1.80%	2.08%	2.69%	2.43%	2.53%	1.78%	2.65%	1.22%	0.99%	1.95%	2.12%	3.01%	4.19%	3.77%	4.34%	3.77%	3.26%	1.90%	2.69%	3.67%	3.19%	4.78%	5.55%	6.72%	2.63%	1.79%	4.39%					
23	. Харитонов Николай Михайлович	3487	78	81	18	14	47	86	43	10	190	28	46	99	79	27	61	11	23	47	114	23	32	40	178	213	150	135	195	95	92	152	144	182	243	103	78	93	110	127					
