Выборы Президента Российской Федерации																																																													
Дата голосования: 18.03.2018																																																													
																																																													
Наименование Избирательной комиссии:    Пугачевская																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																											
																																																													
		Сумма	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441									
1	"Число избирателей, включенных в список избирателей"	42224	1482	1340	1524	1446	1282	1268	1282	891	546	1351	860	800	1186	1322	1505	1279	1004	1349	1291	1213	1605	743	649	201	457	440	141	528	478	518	697	650	130	560	845	929	1048	718	1158	267	1089	518	572	809	419	137	402	206	535	554									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42880	1516	1378	1549	1468	1286	1308	1309	912	555	1346	857	788	1224	1342	1524	1340	1022	1335	1227	1184	1610	754	673	208	486	467	146	539	494	540	713	667	128	578	870	925	1096	703	1185	234	1111	531	596	819	436	139	414	208	552	588									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22791	748	740	784	720	691	563	699	385	278	767	497	458	618	673	803	703	619	802	612	608	714	438	382	121	212	234	95	282	275	301	381	376	77	274	649	484	475	402	736	119	647	346	227	454	267	93	324	140	333	165									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2599	17	33	41	90	25	51	35	29	11	38	19	10	36	75	36	34	36	64	105	33	63	34	12	32	92	75	5	47	37	38	65	52	14	61	16	56	65	68	97	45	135	31	119	168	44	14	30	26	41	199									
6	Число погашенных избирательных бюллетеней	17490	751	605	724	658	570	694	575	498	266	541	341	320	570	594	685	603	367	469	510	543	833	282	279	55	182	158	46	210	182	201	267	239	37	243	205	385	556	233	352	70	329	154	250	197	125	32	60	42	178	224									
