Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Пугачевская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405					
1	"Число избирателей, включенных в списки избирателей"	46554	2022	1572	1512	1057	1303	1152	1120	548	654	871	1590	761	1409	1786	1065	1327	764	1767	1019	1447	1127	1365	913	758	765	1191	331	920	744	2235	697	948	768	578	586	229	567	486	623	147	663	764	732	653	579	640	1086	495	105	113					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45990	2000	1550	1500	1000	1300	1100	1100	550	650	850	1600	780	1400	1500	1050	1300	750	1800	1000	1400	1100	1300	900	770	750	1200	270	900	750	2200	700	970	790	580	600	230	560	480	620	150	690	780	750	660	590	690	1090	520	105	115					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	30434	1811	1133	849	609	975	684	608	298	271	590	812	415	895	886	540	785	375	1061	790	922	882	803	426	423	356	801	188	706	403	1547	505	739	515	514	542	171	523	234	440	131	479	484	617	412	365	398	946	401	88	86					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2578	21	46	25	84	68	47	36	78	45	67	27	17	132	25	37	59	11	46	74	101	41	89	9	13	45	94	50	0	151	62	0	39	23	0	0	37	0	144	71	9	23	52	86	156	104	142	70	10	6	6					
6	Число погашенных избирательных бюллетеней	12977	168	371	626	307	257	369	456	174	334	193	761	348	373	589	473	456	364	693	136	377	177	408	465	334	349	305	32	194	195	591	195	192	252	66	58	22	37	102	109	10	188	244	47	92	121	150	74	109	11	23					
