Выборы Президента Российской Федерации																																																																													
																																																																													
Наименование Избирательной комиссии:    Зеленоградский административный округ																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №3213	УИК №3220					
1	"Число избирателей, внесенных в список"	163331	2274	2287	2532	2692	2705	2773	2601	2492	2609	2574	2428	2563	1902	2069	2167	2476	2252	1672	1736	2037	2132	2092	1964	2249	2474	2267	2188	2099	2444	2516	2273	2512	2313	2086	2092	2054	2089	2102	2193	2319	2331	2086	2031	2038	2110	2410	2035	2776	2697	2540	2917	2973	2193	2979	2133	2356	2887	2286	2650	2510	2479	2685	2698	2683	2333	2391	2561	2293	822	2149					
2	Число полученных избирательных бюллетеней	147930	2060	2060	2280	2410	2430	2500	2350	2250	2370	2350	2200	2330	1710	1870	1970	2250	2030	1460	1560	1850	1940	1900	1770	2020	2230	2050	2040	1900	2210	2290	2060	2260	2100	1890	1910	1840	1890	1900	1980	2110	2120	1890	1840	1840	1900	2190	1840	2500	2440	2320	2650	2690	1990	2690	1940	2120	2610	2070	2380	2260	2230	2430	2430	2410	2110	2160	2310	2050	1000	1940					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	90913	1123	1282	1417	1383	1458	1475	1423	1379	1422	1472	1383	1478	1057	1118	1228	1390	1330	870	1168	1226	1153	1110	1005	1237	1412	1325	1145	1059	1338	1375	1309	1417	1369	1149	1242	1174	1130	1227	1263	1305	1388	1277	1191	1177	1297	1502	1232	1473	1408	1364	1630	1606	1262	1530	1165	1244	1612	1234	1352	1316	1355	1439	1407	1573	1307	1329	1267	1155	785	1210					
5	"Число избирательных бюллетеней, выданных вне помещения"	1998	28	47	36	21	32	35	32	26	33	39	48	38	19	34	45	25	34	0	29	23	17	24	30	33	22	30	25	40	42	49	43	20	39	35	48	35	54	21	24	11	21	29	21	16	19	21	29	37	32	27	15	28	14	14	24	32	23	14	18	13	25	19	25	24	23	24	50	60	0	35					
6	Число погашенных избирательных бюллетеней	55019	909	731	827	1006	940	990	895	845	915	839	769	814	634	718	697	835	666	590	363	601	770	766	735	750	796	695	870	801	830	866	708	823	692	706	620	631	706	652	693	794	711	584	628	647	584	667	579	990	1000	929	1005	1056	714	1146	751	844	975	822	1010	931	850	972	998	813	780	807	993	835	215	695					
7	Число избирательных бюллетеней в переносных ящиках	1998	28	47	36	21	32	35	32	26	33	39	48	38	19	34	45	25	34	0	29	23	17	24	30	33	22	30	25	40	42	49	43	20	39	35	48	35	54	21	24	11	21	29	21	16	19	21	29	37	32	27	15	28	14	14	24	32	23	14	18	13	25	19	25	24	23	24	50	60	0	35					
8	Число бюллетеней в стационарных ящиках для голосования	90720	1120	1277	1417	1381	1458	1472	1417	1379	1413	1472	1383	1478	1057	1113	1228	1386	1323	865	1168	1222	1153	1107	995	1232	1405	1323	1145	1055	1338	1375	1309	1415	1366	1149	1241	1174	1124	1227	1258	1300	1386	1272	1185	1177	1280	1502	1232	1473	1408	1364	1630	1606	1262	1512	1165	1244	1612	1234	1350	1316	1355	1439	1407	1549	1303	1329	1266	1155	782	1205					
9	Число недействительных избирательных бюллетеней	698	6	13	16	13	10	7	7	13	10	9	4	8	4	10	6	13	7	5	1	5	11	4	10	8	14	15	13	7	4	11	11	16	9	9	7	14	3	6	4	12	14	11	6	14	7	8	7	13	17	7	8	14	4	14	6	3	6	13	22	10	14	35	10	6	17	3	17	15	13	9					
10	Число действительных избирательных бюллетеней	92020	1142	1311	1437	1389	1480	1500	1442	1392	1436	1502	1427	1508	1072	1137	1267	1398	1350	860	1196	1240	1159	1127	1015	1257	1413	1338	1157	1088	1376	1413	1341	1419	1396	1175	1282	1195	1175	1242	1278	1299	1393	1290	1200	1179	1292	1515	1254	1497	1423	1384	1637	1620	1272	1512	1183	1273	1629	1235	1346	1319	1366	1423	1422	1567	1309	1350	1299	1200	769	1231					
11	Число полученных открепительных  удостоверений	4520	65	65	65	65	70	70	75	75	65	70	65	70	60	60	70	65	65	60	60	60	60	65	65	65	70	75	75	75	70	65	75	65	65	60	60	60	60	60	60	65	65	60	60	60	60	65	60	65	65	65	70	70	70	75	65	65	65	65	65	65	65	65	65	65	65	65	65	65	0	65					
12	Число выданных открепительных удостоверений	1207	15	16	18	22	20	10	14	18	19	33	21	24	10	21	21	24	8	8	18	19	16	12	9	17	13	20	13	14	14	22	14	14	16	14	17	16	16	18	11	18	15	16	17	13	10	20	11	18	16	24	23	25	17	20	18	21	33	27	18	24	28	28	20	15	13	11	18	8	0	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1057	3	18	18	18	16	26	10	9	12	9	15	14	22	12	14	8	15	8	28	15	9	8	8	18	9	15	10	12	34	10	18	19	8	14	28	12	9	16	14	11	16	12	26	7	6	20	8	18	21	2	20	11	16	10	8	15	20	20	23	21	21	21	27	24	15	9	12	20	19	17					
14	Число неиспользованных открепительных удостоверений	3313	50	49	47	43	50	60	61	57	46	37	44	46	50	39	49	41	57	52	42	41	44	53	56	48	57	55	62	61	56	43	61	51	49	46	43	44	44	42	49	47	50	44	43	47	50	45	49	47	49	41	47	45	53	55	47	44	32	38	47	41	37	37	45	50	52	54	47	57	0	48					
15	"Число открепительных удостоверений, выданных в ТИК"	36	0	1	0	2	0	0	0	1	2	0	2	2	0	1	0	2	1	0	0	0	0	1	0	1	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	5867	66	107	99	87	73	83	96	88	84	103	125	83	86	70	70	71	86	27	112	88	73	72	76	76	86	85	67	72	81	98	87	82	90	79	93	103	80	79	79	97	98	84	88	64	95	85	70	93	85	90	82	80	81	84	71	73	92	74	93	79	80	106	102	111	88	79	95	75	42	69					
		6.33%	5.75%	8.08%	6.81%	6.21%	4.90%	5.51%	6.63%	6.26%	5.81%	6.82%	8.74%	5.47%	7.99%	6.10%	5.50%	5.03%	6.34%	3.12%	9.36%	7.07%	6.24%	6.37%	7.41%	6.01%	6.03%	6.28%	5.73%	6.58%	5.87%	6.88%	6.43%	5.71%	6.41%	6.67%	7.21%	8.52%	6.79%	6.33%	6.16%	7.40%	6.97%	6.46%	7.30%	5.36%	7.31%	5.58%	5.55%	6.16%	5.90%	6.47%	4.98%	4.90%	6.35%	5.50%	5.97%	5.72%	5.63%	5.93%	6.80%	5.94%	5.80%	7.27%	7.12%	7.06%	6.64%	5.84%	7.22%	6.17%	5.37%	5.56%					
19	. Малышкин Олег Александрович	1290	20	25	23	19	28	26	24	19	15	14	15	23	4	10	9	18	16	10	15	9	20	20	14	25	18	27	17	15	28	21	15	25	9	17	9	18	18	12	22	19	13	18	13	25	18	14	22	22	16	17	32	28	14	34	30	17	23	14	16	12	26	20	16	14	19	14	24	18	13	17					
		1.39%	1.74%	1.89%	1.58%	1.36%	1.88%	1.73%	1.66%	1.35%	1.04%	0.93%	1.05%	1.52%	0.37%	0.87%	0.71%	1.28%	1.18%	1.16%	1.25%	0.72%	1.71%	1.77%	1.37%	1.98%	1.26%	2.00%	1.45%	1.37%	2.03%	1.47%	1.11%	1.74%	0.64%	1.44%	0.70%	1.49%	1.53%	0.96%	1.72%	1.45%	0.92%	1.38%	1.08%	2.10%	1.39%	0.92%	1.74%	1.46%	1.11%	1.22%	1.95%	1.71%	1.10%	2.23%	2.52%	1.33%	1.41%	1.12%	1.17%	0.90%	1.88%	1.37%	1.12%	0.89%	1.43%	1.03%	1.82%	1.48%	1.66%	1.37%					
20	. Миронов Сергей Михайлович	675	5	6	13	7	18	16	9	15	4	5	8	14	5	9	12	19	9	8	3	9	13	4	10	18	12	14	5	5	9	7	12	12	9	16	6	7	7	5	5	13	17	8	11	7	10	15	15	12	14	12	10	12	5	9	5	8	11	7	6	6	8	14	15	13	8	8	4	8	7	7					
		0.73%	0.44%	0.45%	0.89%	0.50%	1.21%	1.06%	0.62%	1.07%	0.28%	0.33%	0.56%	0.92%	0.46%	0.78%	0.94%	1.35%	0.66%	0.92%	0.25%	0.72%	1.11%	0.35%	0.98%	1.42%	0.84%	1.03%	0.43%	0.46%	0.65%	0.49%	0.89%	0.84%	0.64%	1.35%	0.47%	0.58%	0.59%	0.40%	0.39%	0.99%	1.21%	0.61%	0.91%	0.59%	0.77%	0.98%	1.19%	0.79%	0.97%	0.86%	0.61%	0.73%	0.39%	0.59%	0.42%	0.63%	0.67%	0.56%	0.44%	0.45%	0.58%	0.96%	1.05%	0.83%	0.60%	0.59%	0.30%	0.66%	0.90%	0.56%					
21	. Путин Владимир Владимирович	64837	809	901	1010	1029	1065	1051	1002	1015	1050	1066	964	1071	737	784	921	962	966	596	786	776	827	803	730	895	1030	974	848	799	960	958	949	1036	979	799	904	791	829	857	905	918	996	904	824	842	855	1013	916	1053	1023	1015	1208	1162	886	1085	843	927	1155	873	952	941	926	939	995	1026	887	952	945	867	574	901					
