Выборы Президента Российской Федерации																																																																																							
Дата голосования: 02.03.2008																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Неклиновская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
	Число участковых избирательных комиссий	80																																																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	80																																																																																					
																																																																																							
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586	УИК №2638	УИК №2642					
11	Число полученных открепительных  удостоверений	1185	40	55	40	40	20	10	5	10	10	10	10	10	20	20	15	25	25	10	20	30	20	20	20	10	10	10	20	20	5	10	10	5	5	5	5	10	30	40	20	10	10	20	10	20	10	10	10	10	10	20	10	10	10	20	5	5	10	20	5	15	10	10	20	10	10	10	20	10	15	15	15	5	10	5	5	10	10	10	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	474	20	43	26	32	13	3	0	5	1	2	5	4	7	11	4	8	7	6	11	10	16	13	10	1	9	6	11	18	0	3	4	0	1	3	0	2	8	8	4	4	5	5	4	2	5	3	2	1	0	4	0	7	0	15	1	0	2	10	0	1	5	1	9	3	1	2	4	0	4	11	12	2	5	0	0	0	0	5	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	374	11	17	12	11	9	1	0	4	4	4	4	1	8	3	4	9	11	1	6	10	4	5	8	4	12	10	4	8	1	3	3	0	0	0	3	3	6	11	1	2	2	2	2	6	0	1	0	2	2	4	5	9	2	8	3	1	1	4	2	5	2	4	52	0	1	1	5	2	1	4	0	4	0	6	1	5	2	1	2	2					
14	Число неиспользованных открепительных удостоверений	711	20	12	14	8	7	7	5	5	9	8	5	6	13	9	11	17	18	4	9	20	4	7	10	9	1	4	9	2	5	7	6	5	4	2	5	8	22	32	16	6	5	15	6	18	5	7	8	9	10	16	10	3	10	5	4	5	8	10	5	14	5	9	11	7	9	8	16	10	11	4	3	3	5	5	5	10	10	5	20	11					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	54	2	3	2	2	1	0	0	1	0	0	0	0	1	0	1	1	2	0	0	0	0	0	2	0	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	0	0	1	0	1	0	2	1	0	0	4	1	1	2	1	2	2	1	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																							
18	Богданов Андрей Владимирович	366	15	6	10	13	8	1	0	6	1	4	2	5	6	3	8	10	6	3	14	14	8	3	7	5	4	3	10	7	0	1	3	0	0	0	0	1	24	12	4	4	7	13	3	4	4	9	2	2	2	8	2	1	2	8	1	0	0	1	0	6	1	1	12	0	2	0	9	1	4	4	6	0	0	0	1	2	0	7	7	3					
		0.83%	0.80%	0.30%	0.66%	0.85%	0.89%	0.31%	0.00%	1.20%	0.56%	1.11%	0.29%	0.72%	0.97%	0.44%	1.14%	1.06%	0.78%	1.07%	1.08%	1.11%	0.89%	0.33%	0.88%	1.07%	1.06%	0.73%	1.97%	0.63%	0.00%	1.08%	0.57%	0.00%	0.00%	0.00%	0.00%	0.35%	1.75%	0.76%	0.74%	1.30%	2.41%	1.41%	0.56%	0.56%	0.80%	1.48%	0.43%	0.80%	0.87%	1.00%	1.10%	0.16%	0.57%	0.70%	1.56%	0.00%	0.00%	0.16%	0.00%	1.05%	0.51%	0.45%	1.10%	0.00%	1.21%	0.00%	0.98%	0.45%	0.78%	1.04%	1.37%	0.00%	0.00%	0.00%	1.06%	0.62%	0.00%	1.39%	1.33%	0.72%					
19	Жириновский Владимир Вольфович	3389	148	131	137	133	64	10	2	52	8	25	32	37	60	62	48	97	51	34	93	98	76	70	65	49	45	30	48	62	1	8	59	5	3	2	12	29	128	132	44	18	24	63	42	51	18	48	59	8	7	58	9	22	24	43	4	1	4	88	5	66	17	21	72	13	4	26	76	20	35	29	44	13	22	2	15	22	11	34	35	26					
		7.69%	7.94%	6.54%	9.06%	8.70%	7.13%	3.11%	3.08%	10.40%	4.49%	6.94%	4.59%	5.35%	9.69%	8.99%	6.83%	10.33%	6.67%	12.14%	7.19%	7.78%	8.44%	7.76%	8.18%	10.45%	11.90%	7.30%	9.47%	5.56%	0.72%	8.60%	11.17%	3.36%	2.31%	2.44%	8.89%	10.21%	9.33%	8.35%	8.16%	5.86%	8.25%	6.83%	7.84%	7.14%	3.59%	7.91%	12.66%	3.20%	3.03%	7.28%	4.97%	3.62%	6.88%	3.76%	6.25%	1.85%	3.74%	14.22%	6.41%	11.60%	8.59%	9.46%	6.61%	9.70%	2.42%	10.74%	8.23%	9.01%	6.84%	7.53%	10.07%	11.02%	8.73%	2.78%	15.96%	6.79%	7.01%	6.76%	6.63%	6.21%					
20	Зюганов Геннадий Андреевич	9188	266	315	295	248	115	28	12	94	15	66	51	94	169	169	136	257	152	99	343	380	260	250	240	60	123	133	114	239	9	21	80	16	7	7	14	76	344	439	144	91	44	241	125	193	80	133	87	42	48	153	49	113	42	250	8	4	14	138	2	104	19	28	202	16	20	71	143	19	119	51	65	11	16	7	16	74	48	137	179	106					
		20.85%	14.26%	15.72%	19.51%	16.23%	12.81%	8.70%	18.46%	18.80%	8.43%	18.33%	7.32%	13.60%	27.30%	24.53%	19.35%	27.37%	19.87%	35.36%	26.53%	30.16%	28.86%	27.72%	30.19%	12.79%	32.54%	32.36%	22.49%	21.43%	6.47%	22.58%	15.15%	10.74%	5.38%	8.54%	10.37%	26.76%	25.07%	27.77%	26.72%	29.64%	15.12%	26.11%	23.32%	27.03%	15.97%	21.91%	18.67%	16.80%	20.78%	19.20%	27.07%	18.59%	12.03%	21.87%	12.50%	7.41%	13.08%	22.29%	2.56%	18.28%	9.60%	12.61%	18.55%	11.94%	12.12%	29.34%	15.49%	8.56%	23.24%	13.25%	14.87%	9.32%	6.35%	9.72%	17.02%	22.84%	30.57%	27.24%	33.90%	25.30%					
21	Медведев Дмитрий Анатольевич	30642	1412	1540	1057	1111	711	283	51	344	149	261	612	555	377	453	510	565	548	141	821	751	548	565	474	349	203	239	330	794	129	62	378	128	120	73	109	175	852	980	338	193	211	595	366	464	399	411	314	198	174	565	119	463	281	832	51	49	88	381	71	388	159	169	784	105	118	141	677	182	351	295	310	92	212	63	62	214	96	321	300	280					
		69.53%	75.71%	76.85%	69.91%	72.71%	79.18%	87.89%	78.46%	68.80%	83.71%	72.50%	87.80%	80.32%	60.90%	65.75%	72.55%	60.17%	71.63%	50.36%	63.50%	59.60%	60.82%	62.64%	59.62%	74.41%	53.70%	58.15%	65.09%	71.21%	92.81%	66.67%	71.59%	85.91%	92.31%	89.02%	80.74%	61.62%	62.10%	61.99%	62.71%	62.87%	72.51%	64.46%	68.28%	64.99%	79.64%	67.71%	67.38%	79.20%	75.32%	70.89%	65.75%	76.15%	80.52%	72.79%	79.69%	90.74%	82.24%	61.55%	91.03%	68.19%	80.30%	76.13%	71.99%	78.36%	71.52%	58.26%	73.35%	81.98%	68.55%	76.62%	70.94%	77.97%	84.13%	87.50%	65.96%	66.05%	61.15%	63.82%	56.82%	66.83%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
