Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Бирилюсская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
1	"Число избирателей, внесенных в список"	9406	1606	1590	231	319	118	166	59	216	149	68	571	34	2224	151	45	90	286	322	36	260	162	282	63	64	168	66	60					
2	Число полученных избирательных бюллетеней	9475	1626	1600	227	312	116	170	60	216	145	69	571	34	2240	152	46	92	300	320	38	253	161	301	64	66	166	68	62					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4537	747	636	115	146	66	105	45	127	84	39	315	25	897	93	39	55	134	175	28	155	76	170	26	45	98	48	48					
5	"Число избирательных бюллетеней, выданных вне помещения"	569	119	90	0	36	8	30	5	21	10	4	11	0	57	14	0	0	18	43	7	17	35	14	13	0	12	5	0					
6	Число погашенных избирательных бюллетеней	4369	760	874	112	130	42	35	10	68	51	26	245	9	1286	45	7	37	148	102	3	81	50	117	25	21	56	15	14					
7	Число избирательных бюллетеней в переносных ящиках	569	119	90	0	36	8	30	5	21	10	4	11	0	57	14	0	0	18	43	7	17	35	14	13	0	12	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	4537	747	636	115	146	66	105	45	127	84	39	315	25	897	93	39	55	134	175	28	155	76	170	26	45	98	48	48					
9	Число недействительных избирательных бюллетеней	37	2	5	1	3	1	0	0	0	0	0	4	0	4	0	0	0	2	1	0	2	1	2	0	6	0	1	2					
10	Число действительных избирательных бюллетеней	5069	864	721	114	179	73	135	50	148	94	43	322	25	950	107	39	55	150	217	35	170	110	182	39	39	110	52	46					
11	Число полученных открепительных  удостоверений	150	30	30	4	5	2	3	2	3	2	2	9	2	14	3	2	2	5	5	2	4	3	5	2	2	3	2	2					
12	Число выданных открепительных удостоверений	37	16	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	0	0	1	1	1	1	2	0	2	1	3	0	2	1	0	0	1	2	0	3	1	3	0	0	3	0	2					
14	Число неиспользованных открепительных удостоверений	113	14	15	4	5	2	3	2	3	2	2	9	2	12	3	2	2	5	5	2	0	3	5	2	2	3	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	584	119	68	11	26	20	13	2	11	7	8	37	3	142	4	5	9	9	21	7	14	7	15	2	4	11	9	0					
		11.44%	13.74%	9.37%	9.57%	14.29%	27.03%	9.63%	4.00%	7.43%	7.45%	18.60%	11.35%	12.00%	14.88%	3.74%	12.82%	16.36%	5.92%	9.63%	20.00%	8.14%	6.31%	8.15%	5.13%	8.89%	10.00%	16.98%	0.00%					
19	. Малышкин Олег Александрович	133	18	8	3	8	0	2	0	2	10	3	13	0	19	8	1	0	8	9	5	0	3	5	0	1	6	1	0					
		2.60%	2.08%	1.10%	2.61%	4.40%	0.00%	1.48%	0.00%	1.35%	10.64%	6.98%	3.99%	0.00%	1.99%	7.48%	2.56%	0.00%	5.26%	4.13%	14.29%	0.00%	2.70%	2.72%	0.00%	2.22%	5.45%	1.89%	0.00%					
20	. Миронов Сергей Михайлович	27	7	2	0	0	0	2	0	0	1	0	2	2	2	0	1	1	1	0	0	1	1	4	0	0	0	0	0					
		0.53%	0.81%	0.28%	0.00%	0.00%	0.00%	1.48%	0.00%	0.00%	1.06%	0.00%	0.61%	8.00%	0.21%	0.00%	2.56%	1.82%	0.66%	0.00%	0.00%	0.58%	0.90%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%					
