Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Ужурская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2147	УИК №2148	УИК №2149	УИК №2150					
1	"Число избирателей, внесенных в список"	24992	2363	1276	721	1069	1435	1262	1174	1239	1448	1026	310	613	191	669	1110	177	150	267	159	131	192	138	264	1039	220	65	231	801	114	203	753	173	282	382	139	107	364	286	911	196	133	770	122	100	119	98					
2	Число полученных избирательных бюллетеней	24630	2332	1180	700	1050	1400	1250	1100	1250	1450	1050	300	620	190	670	1050	180	140	250	160	140	190	140	260	1000	220	70	240	790	115	200	770	173	290	380	140	100	390	290	870	190	140	750	130	100	130	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12749	1117	464	230	506	620	475	479	503	583	477	154	402	135	380	689	141	79	184	121	60	126	125	143	586	167	54	128	414	82	140	432	100	167	227	77	82	242	192	446	137	98	405	98	97	109	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	802	49	86	43	14	35	30	26	21	39	58	45	18	5	41	18	0	6	0	0	28	18	0	43	27	10	0	1	15	0	0	0	0	9	6	0	0	0	0	88	0	0	18	0	0	0	5					
6	Число погашенных избирательных бюллетеней	11079	1166	630	427	530	745	745	595	726	828	515	101	200	50	249	343	39	55	66	39	52	46	15	74	387	43	16	111	361	33	60	338	73	114	147	63	18	148	98	336	53	42	327	32	3	21	19					
7	Число избирательных бюллетеней в переносных ящиках	802	49	86	43	14	35	30	26	21	39	58	45	18	5	41	18	0	6	0	0	28	18	0	43	27	10	0	1	15	0	0	0	0	9	6	0	0	0	0	88	0	0	18	0	0	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	12749	1117	464	230	506	620	475	479	503	583	477	154	402	135	380	689	141	79	184	121	60	126	125	143	586	167	54	128	414	82	140	432	100	167	227	77	82	242	192	446	137	98	405	98	97	109	76					
9	Число недействительных избирательных бюллетеней	132	8	10	4	5	4	4	3	0	5	6	3	8	3	4	3	1	3	7	1	0	0	0	1	7	0	3	1	4	1	0	5	0	5	2	2	1	0	3	9	0	2	2	1	0	1	0					
10	Число действительных избирательных бюллетеней	13419	1158	540	269	515	651	501	502	524	617	529	196	412	137	417	704	140	82	177	120	88	144	125	185	606	177	51	128	425	81	140	427	100	171	231	75	81	242	189	525	137	96	421	97	97	108	81					
11	Число полученных открепительных  удостоверений	345	15	10	10	10	10	5	10	10	10	10	5	10	5	10	10	5	5	10	5	5	5	5	5	10	5	5	5	10	5	5	10	5	10	10	5	5	10	10	10	5	5	10	5	5	5	5					
12	Число выданных открепительных удостоверений	63	9	1	2	9	3	3	1	4	4	3	0	0	0	3	5	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	4	2	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	6	0	2	3	2	2	2	1	4	2	4	0	1	0	1	2	3	2	2	1	3	1	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	0	2	1	0	10	0	1	1	1					
14	Число неиспользованных открепительных удостоверений	282	6	9	8	1	7	2	9	6	6	7	5	10	5	7	5	5	3	10	5	5	5	5	5	9	5	5	5	9	5	5	8	5	10	10	5	5	9	10	6	3	5	7	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	1594	225	91	37	100	131	77	79	80	110	40	18	25	10	54	81	9	1	5	8	6	9	4	1	59	8	2	2	38	1	13	29	4	31	21	6	6	9	3	53	16	6	79	1	0	2	4					
		11.76%	19.30%	16.55%	13.55%	19.23%	20.00%	15.25%	15.64%	15.27%	17.68%	7.48%	9.05%	5.95%	7.14%	12.83%	11.46%	6.38%	1.18%	2.72%	6.61%	6.82%	6.25%	3.20%	0.54%	9.62%	4.52%	3.70%	1.55%	8.86%	1.22%	9.29%	6.71%	4.00%	17.61%	9.01%	7.79%	7.32%	3.72%	1.56%	9.93%	11.68%	6.12%	18.68%	1.02%	0.00%	1.83%	4.94%					
19	. Малышкин Олег Александрович	351	13	10	16	21	12	12	23	9	11	18	0	9	6	14	13	2	2	14	1	2	0	2	2	18	1	1	2	10	8	13	10	4	4	8	1	0	7	8	14	0	0	18	1	3	6	2					
		2.59%	1.11%	1.82%	5.86%	4.04%	1.83%	2.38%	4.55%	1.72%	1.77%	3.36%	0.00%	2.14%	4.29%	3.33%	1.84%	1.42%	2.35%	7.61%	0.83%	2.27%	0.00%	1.60%	1.08%	2.94%	0.56%	1.85%	1.55%	2.33%	9.76%	9.29%	2.31%	4.00%	2.27%	3.43%	1.30%	0.00%	2.89%	4.17%	2.62%	0.00%	0.00%	4.26%	1.02%	3.09%	5.50%	2.47%					
20	. Миронов Сергей Михайлович	88	1	5	2	3	1	6	8	3	1	5	0	2	0	4	5	0	2	0	0	1	2	1	0	7	0	0	0	1	0	1	5	1	0	1	2	1	0	0	5	0	1	10	1	0	0	0					
		0.65%	0.09%	0.91%	0.73%	0.58%	0.15%	1.19%	1.58%	0.57%	0.16%	0.93%	0.00%	0.48%	0.00%	0.95%	0.71%	0.00%	2.35%	0.00%	0.00%	1.14%	1.39%	0.80%	0.00%	1.14%	0.00%	0.00%	0.00%	0.23%	0.00%	0.71%	1.16%	1.00%	0.00%	0.43%	2.60%	1.22%	0.00%	0.00%	0.94%	0.00%	1.02%	2.36%	1.02%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9163	732	359	158	309	379	312	312	351	403	396	155	319	109	270	498	111	72	140	101	56	112	94	170	433	142	43	103	271	59	92	305	78	91	179	56	71	206	156	348	92	47	148	91	84	91	59					
		67.62%	62.78%	65.27%	57.88%	59.42%	57.86%	61.78%	61.78%	66.98%	64.79%	74.02%	77.89%	75.95%	77.86%	64.13%	70.44%	78.72%	84.71%	76.09%	83.47%	63.64%	77.78%	75.20%	91.40%	70.64%	80.23%	79.63%	79.84%	63.17%	71.95%	65.71%	70.60%	78.00%	51.70%	76.82%	72.73%	86.59%	85.12%	81.25%	65.17%	67.15%	47.96%	34.99%	92.86%	86.60%	83.49%	72.84%					
22	. Хакамада Ирина Муцуовна	269	17	25	10	15	23	19	11	12	9	9	2	2	1	7	14	1	2	1	2	1	1	1	1	5	10	0	1	8	0	1	7	1	4	7	0	2	2	0	10	2	6	14	0	2	1	0					
		1.99%	1.46%	4.55%	3.66%	2.88%	3.51%	3.76%	2.18%	2.29%	1.45%	1.68%	1.01%	0.48%	0.71%	1.66%	1.98%	0.71%	2.35%	0.54%	1.65%	1.14%	0.69%	0.80%	0.54%	0.82%	5.65%	0.00%	0.78%	1.86%	0.00%	0.71%	1.62%	1.00%	2.27%	3.00%	0.00%	2.44%	0.83%	0.00%	1.87%	1.46%	6.12%	3.31%	0.00%	2.06%	0.92%	0.00%					
23	. Харитонов Николай Михайлович	1735	143	45	36	56	93	63	58	57	75	54	19	53	11	63	82	15	3	16	8	17	17	19	10	76	10	4	20	86	10	20	66	11	34	13	8	1	16	22	93	26	36	139	2	5	8	16					
		12.80%	12.26%	8.18%	13.19%	10.77%	14.20%	12.48%	11.49%	10.88%	12.06%	10.09%	9.55%	12.62%	7.86%	14.96%	11.60%	10.64%	3.53%	8.70%	6.61%	19.32%	11.81%	15.20%	5.38%	12.40%	5.65%	7.41%	15.50%	20.05%	12.20%	14.29%	15.28%	11.00%	19.32%	5.58%	10.39%	1.22%	6.61%	11.46%	17.42%	18.98%	36.73%	32.86%	2.04%	5.15%	7.34%	19.75%					
																																																					
24	Против всех	219	27	5	10	11	12	12	11	12	8	7	2	2	0	5	11	2	0	1	0	5	3	4	1	8	6	1	0	11	3	0	5	1	7	2	2	0	2	0	2	1	0	13	1	3	0	0					
		1.62%	2.32%	0.91%	3.66%	2.12%	1.83%	2.38%	2.18%	2.29%	1.29%	1.31%	1.01%	0.48%	0.00%	1.19%	1.56%	1.42%	0.00%	0.54%	0.00%	5.68%	2.08%	3.20%	0.54%	1.31%	3.39%	1.85%	0.00%	2.56%	3.66%	0.00%	1.16%	1.00%	3.98%	0.86%	2.60%	0.00%	0.83%	0.00%	0.37%	0.73%	0.00%	3.07%	1.02%	3.09%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
