Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Сампурская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463					
1	"Число избирателей, внесенных в список"	11805	1989	171	372	125	595	162	230	80	1088	217	418	189	435	287	356	197	661	539	2681	503	269	241					
2	Число полученных избирательных бюллетеней	11754	1964	182	370	127	580	165	227	84	1098	220	416	187	443	283	344	194	650	538	2680	495	281	226					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6929	1089	76	176	76	374	120	151	49	579	147	190	125	194	182	237	125	384	287	1757	339	140	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	2287	294	73	99	42	102	20	51	26	224	33	138	35	156	75	54	57	212	197	186	62	78	73					
6	Число погашенных избирательных бюллетеней	2538	581	33	95	9	104	25	25	9	295	40	88	27	93	26	53	12	54	54	737	94	63	21					
7	Число избирательных бюллетеней в переносных ящиках	2287	294	73	99	42	102	20	51	26	224	33	138	35	156	75	54	57	212	197	186	62	78	73					
8	Число бюллетеней в стационарных ящиках для голосования	6927	1089	76	176	76	374	120	151	49	577	147	190	125	194	182	237	125	384	287	1757	339	140	132					
9	Число недействительных избирательных бюллетеней	124	17	1	3	2	8	3	7	0	17	1	3	5	3	1	7	4	6	3	15	7	6	5					
10	Число действительных избирательных бюллетеней	9090	1366	148	272	116	468	137	195	75	784	179	325	155	347	256	284	178	590	481	1928	394	212	200					
11	Число полученных открепительных  удостоверений	149	14	2	3	2	5	10	4	4	10	3	3	3	5	3	4	4	5	5	40	10	5	5					
12	Число выданных открепительных удостоверений	63	10	0	0	0	1	0	0	3	2	0	0	0	0	1	0	0	0	1	40	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	7	0	1	0	3	1	3	1	4	3	3	5	0	2	3	1	2	2	4	3	1	5					
14	Число неиспользованных открепительных удостоверений	86	4	2	3	2	4	10	4	1	8	3	3	3	5	2	4	4	5	4	0	8	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	174	36	1	2	1	6	1	3	2	18	4	3	4	1	1	3	3	9	9	59	2	1	5					
		1.89%	2.60%	0.67%	0.73%	0.85%	1.26%	0.71%	1.49%	2.67%	2.25%	2.22%	0.91%	2.50%	0.29%	0.39%	1.03%	1.65%	1.51%	1.86%	3.04%	0.50%	0.46%	2.44%					
19	. Малышкин Олег Александрович	158	16	1	11	0	7	2	7	4	19	1	3	6	3	4	10	1	17	7	31	2	4	2					
		1.71%	1.16%	0.67%	4.00%	0.00%	1.47%	1.43%	3.47%	5.33%	2.37%	0.56%	0.91%	3.75%	0.86%	1.56%	3.44%	0.55%	2.85%	1.45%	1.60%	0.50%	1.83%	0.98%					
20	. Миронов Сергей Михайлович	68	8	0	2	1	4	4	1	0	6	2	4	3	1	5	5	3	3	5	6	4	1	0					
		0.74%	0.58%	0.00%	0.73%	0.85%	0.84%	2.86%	0.50%	0.00%	0.75%	1.11%	1.22%	1.88%	0.29%	1.95%	1.72%	1.65%	0.50%	1.03%	0.31%	1.00%	0.46%	0.00%					
21	. Путин Владимир Владимирович	6585	1015	128	200	94	300	82	141	54	554	122	187	99	282	189	207	136	447	328	1404	279	181	156					
		71.47%	73.39%	85.91%	72.73%	79.66%	63.03%	58.57%	69.80%	72.00%	69.16%	67.78%	57.01%	61.88%	80.57%	73.54%	71.13%	74.73%	75.00%	67.77%	72.26%	69.58%	83.03%	76.10%					
22	. Хакамада Ирина Муцуовна	158	24	2	3	1	4	3	4	2	10	3	4	1	2	5	8	6	10	2	43	13	4	4					
		1.71%	1.74%	1.34%	1.09%	0.85%	0.84%	2.14%	1.98%	2.67%	1.25%	1.67%	1.22%	0.62%	0.57%	1.95%	2.75%	3.30%	1.68%	0.41%	2.21%	3.24%	1.83%	1.95%					
23	. Харитонов Николай Михайлович	1793	242	16	52	18	140	42	37	13	172	45	122	38	52	46	45	27	94	121	338	83	20	30					
		19.46%	17.50%	10.74%	18.91%	15.25%	29.41%	30.00%	18.32%	17.33%	21.47%	25.00%	37.20%	23.75%	14.86%	17.90%	15.46%	14.84%	15.77%	25.00%	17.40%	20.70%	9.17%	14.63%					
																													
24	Против всех	154	25	0	2	1	7	3	2	0	5	2	2	4	6	6	6	2	10	9	47	11	1	3					
		1.67%	1.81%	0.00%	0.73%	0.85%	1.47%	2.14%	0.99%	0.00%	0.62%	1.11%	0.61%	2.50%	1.71%	2.33%	2.06%	1.10%	1.68%	1.86%	2.42%	2.74%	0.46%	1.46%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
