Выборы Президента Российской Федерации																																																																								
																																																																								
"Наименование Избирательной комиссии:    Оренбург, Ленинская"																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082					
1	"Число избирателей, внесенных в список"	133242	1284	745	2018	510	1541	2981	2524	2828	2644	2609	2492	2519	2751	2638	2711	2138	2670	2071	2142	2495	2705	2630	1883	2168	2078	2394	2744	2540	2773	2196	2154	2273	2567	2125	2676	2518	2824	2740	3459	1644	2282	1826	853	2127	1290	1830	2279	2156	1630	3111	2076	1376	2634	2813	2787	2652	2758	1763	295	401	79	91	173	50	508					
2	Число полученных избирательных бюллетеней	118297	1110	660	1650	440	1260	2650	2220	2510	2176	2310	2250	2530	2410	2400	2520	1450	2410	1810	2020	2280	2370	2250	1610	1950	1650	2120	2430	2280	2500	2000	2000	1910	2260	1880	2360	2310	2510	2460	2750	1330	1960	1640	910	2230	1130	1650	2020	1900	1510	2700	2250	1230	2280	2440	2510	2320	2440	1600	290	400	86	85	165	50	505					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78628	891	509	1572	400	884	1774	1639	1734	1506	1578	1491	1562	1657	1610	1548	1159	1264	873	1068	1171	1483	1470	1054	1209	1274	1370	1674	1515	1750	1397	1296	1256	1648	1445	1628	1579	1732	1782	2572	995	1122	1072	451	1526	714	1100	1291	1077	703	1725	1007	568	1420	1681	1675	1591	1419	1216	158	282	72	72	118	50	499					
5	"Число избирательных бюллетеней, выданных вне помещения"	3603	29	25	17	15	17	21	20	27	52	29	40	54	31	31	57	91	54	87	216	65	81	59	57	59	32	22	57	23	22	29	34	18	21	6	43	36	31	19	31	47	36	83	23	54	33	107	112	76	113	106	184	243	66	45	76	64	134	61	114	118	7	0	43	0	0					
6	Число погашенных избирательных бюллетеней	36066	190	126	61	25	359	855	561	749	618	703	719	914	722	759	915	200	1092	850	736	1044	806	721	499	682	344	728	699	742	728	574	670	636	591	429	689	695	747	659	147	288	802	485	436	650	383	443	617	747	694	869	1059	419	794	714	759	665	887	323	18	0	7	13	4	0	6					
7	Число избирательных бюллетеней в переносных ящиках	3603	29	25	17	15	17	21	20	27	52	29	40	54	31	31	57	91	54	87	216	65	81	59	57	59	32	22	57	23	22	29	34	18	21	6	43	36	31	19	31	47	36	83	23	54	33	107	112	76	113	106	184	243	66	45	76	64	134	61	114	118	7	0	43	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	78611	891	509	1572	400	884	1765	1638	1734	1506	1578	1491	1562	1657	1610	1548	1159	1264	873	1068	1171	1483	1470	1053	1209	1274	1370	1673	1515	1748	1396	1296	1256	1648	1445	1627	1579	1732	1782	2572	995	1122	1072	451	1526	714	1100	1290	1077	703	1725	1007	568	1420	1681	1675	1591	1419	1216	158	282	72	72	118	50	499					
9	Число недействительных избирательных бюллетеней	648	5	10	2	4	4	9	19	7	13	10	10	9	17	13	7	6	22	3	10	12	8	14	7	14	15	13	16	13	15	14	9	10	10	7	16	12	19	6	7	5	10	5	2	6	4	9	9	17	7	31	7	3	6	21	12	18	14	14	0	5	2	0	3	0	21					
10	Число действительных избирательных бюллетеней	81566	915	524	1587	411	897	1777	1639	1754	1545	1597	1521	1607	1671	1628	1598	1244	1296	957	1274	1224	1556	1515	1103	1254	1291	1379	1714	1525	1755	1411	1321	1264	1659	1444	1654	1603	1744	1795	2596	1037	1148	1150	472	1574	743	1198	1393	1136	809	1800	1184	808	1480	1705	1739	1637	1539	1263	272	395	77	72	158	50	478					
