Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Пикалевская городская															
															
Итоги голосования 															
															
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728					
1	"Число избирателей, внесенных в список"	19498	2436	2257	2418	2528	2285	2366	2611	2597					
2	Число полученных избирательных бюллетеней	18000	2300	2100	2200	2350	2100	2150	2400	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11055	1367	1334	1513	1444	1358	1203	1445	1391					
5	"Число избирательных бюллетеней, выданных вне помещения"	494	83	72	64	70	65	49	40	51					
6	Число погашенных избирательных бюллетеней	6451	850	694	623	836	677	898	915	958					
7	Число избирательных бюллетеней в переносных ящиках	494	83	72	64	70	65	49	40	51					
8	Число бюллетеней в стационарных ящиках для голосования	11050	1367	1334	1512	1442	1358	1202	1444	1391					
9	Число недействительных избирательных бюллетеней	74	9	14	12	8	4	6	10	11					
10	Число действительных избирательных бюллетеней	11470	1441	1392	1564	1504	1419	1245	1474	1431					
11	Число полученных открепительных  удостоверений	305	30	65	30	30	45	30	45	30					
12	Число выданных открепительных удостоверений	191	19	34	12	22	36	17	28	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	11	8	4	9	5	9	14	4					
14	Число неиспользованных открепительных удостоверений	114	11	31	18	8	9	13	17	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	331	47	29	61	43	48	40	37	26					
		2.87%	3.24%	2.06%	3.87%	2.84%	3.37%	3.20%	2.49%	1.80%					
19	. Малышкин Олег Александрович	194	24	15	16	28	25	20	38	28					
		1.68%	1.66%	1.07%	1.02%	1.85%	1.76%	1.60%	2.56%	1.94%					
20	. Миронов Сергей Михайлович	115	21	10	14	11	17	16	10	16					
		1.00%	1.45%	0.71%	0.89%	0.73%	1.19%	1.28%	0.67%	1.11%					
21	. Путин Владимир Владимирович	9166	1123	1122	1249	1223	1097	981	1206	1165					
		79.40%	77.45%	79.80%	79.25%	80.89%	77.09%	78.42%	81.27%	80.79%					
22	. Хакамада Ирина Муцуовна	301	39	24	30	43	47	31	43	44					
		2.61%	2.69%	1.71%	1.90%	2.84%	3.30%	2.48%	2.90%	3.05%					
23	. Харитонов Николай Михайлович	1064	139	157	170	108	152	127	94	117					
		9.22%	9.59%	11.17%	10.79%	7.14%	10.68%	10.15%	6.33%	8.11%					
															
24	Против всех	299	48	35	24	48	33	30	46	35					
		2.59%	3.31%	2.49%	1.52%	3.17%	2.32%	2.40%	3.10%	2.43%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
