Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Туапсинская городская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407	УИК №5408	УИК №5409	УИК №5410	УИК №5411	УИК №5412	УИК №5413	УИК №5414	УИК №5415	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5421	УИК №5422	УИК №5423	УИК №5424	УИК №5425	УИК №5426	УИК №5427	УИК №5499					
1	"Число избирателей, внесенных в список избирателей"	44793	1936	1276	1831	1953	1989	1539	1888	2010	1880	1382	1685	1481	987	1548	1576	2471	2410	1993	1782	2017	1915	1806	328	1328	1325	727	1133	597					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43630	1700	1600	1900	2100	1800	1300	1900	2100	1900	1300	1600	1500	900	1900	1700	2200	2200	1900	1380	2250	2000	1800	300	1100	1100	600	1000	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25918	899	811	1075	1222	1070	817	937	1137	926	774	1150	927	461	913	942	1365	1482	980	1317	1236	1083	1551	200	686	575	278	507	597					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2620	32	31	119	68	87	231	44	90	32	50	35	41	21	203	100	89	319	386	22	219	91	28	50	10	26	175	21	0					
6	Число погашенных избирательных бюллетеней	15092	769	758	706	810	643	252	919	873	942	476	415	532	418	784	658	746	399	534	41	795	826	221	50	404	499	147	472	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2618	32	31	119	68	85	231	44	90	32	50	35	41	21	203	100	89	319	386	22	219	91	28	50	10	26	175	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25910	893	811	1075	1222	1070	816	937	1137	926	774	1150	927	461	913	942	1365	1482	980	1317	1236	1083	1551	200	686	575	278	507	596					
9	Число недействительных избирательных бюллетеней	474	21	11	16	20	12	24	18	18	21	14	14	10	4	0	17	40	53	23	28	16	17	28	5	12	12	4	8	8					
10	Число действительных избирательных бюллетеней	28054	904	831	1178	1270	1143	1023	963	1209	937	810	1171	958	478	1116	1025	1414	1748	1343	1311	1439	1157	1551	245	684	589	449	520	588					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	859	25	20	30	50	45	105	30	35	30	40	25	25	20	25	35	40	40	30	20	44	30	25	10	25	20	15	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	851	25	20	30	50	45	105	30	35	30	40	25	25	12	25	35	40	40	30	20	44	30	25	10	25	20	15	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	431	8	8	16	6	11	2	10	12	30	10	12	8	18	6	8	14	0	6	65	128	8	2	4	8	21	3	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	1	2	3	1	0	2	4	0	4	3	1	3	2	3	0	0	2	2	1	0	1	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3142	152	114	161	23	186	108	139	192	138	103	4	110	56	137	178	277	168	149	159	3	105	132	45	107	81	53	46	16					
		11.01%	16.43%	13.54%	13.48%	1.78%	16.10%	10.32%	14.17%	15.65%	14.41%	12.50%	0.34%	11.36%	11.62%	12.28%	17.08%	19.05%	9.33%	10.91%	11.87%	0.21%	8.94%	8.36%	18.00%	15.37%	13.48%	11.70%	8.71%	2.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3123	127	131	147	22	145	156	173	193	153	127	12	105	74	151	161	1	226	163	229	55	87	142	30	125	84	43	37	24					
		10.95%	13.73%	15.56%	12.31%	1.71%	12.55%	14.90%	17.64%	15.73%	15.97%	15.41%	1.01%	10.85%	15.35%	13.53%	15.45%	0.07%	12.55%	11.93%	17.10%	3.78%	7.41%	8.99%	12.00%	17.96%	13.98%	9.49%	7.01%	4.03%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	275	14	11	17	1	12	13	6	16	17	15	0	9	6	7	19	0	10	17	18	2	14	20	2	11	4	6	8	0					
		0.96%	1.51%	1.31%	1.42%	0.08%	1.04%	1.24%	0.61%	1.30%	1.77%	1.82%	0.00%	0.93%	1.24%	0.63%	1.82%	0.00%	0.56%	1.24%	1.34%	0.14%	1.19%	1.27%	0.80%	1.58%	0.67%	1.32%	1.52%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5033	230	208	298	38	281	194	228	271	235	217	60	211	136	208	242	135	319	211	299	58	224	206	44	148	169	66	83	14					
		17.64%	24.86%	24.70%	24.96%	2.95%	24.33%	18.53%	23.24%	22.09%	24.53%	26.33%	5.06%	21.80%	28.22%	18.64%	23.22%	9.28%	17.71%	15.45%	22.33%	3.99%	19.08%	13.05%	17.60%	21.26%	28.12%	14.57%	15.72%	2.35%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1512	69	70	65	15	88	43	69	103	66	86	3	86	38	67	84	34	76	64	62	5	54	66	13	69	53	20	37	7					
		5.30%	7.46%	8.31%	5.44%	1.16%	7.62%	4.11%	7.03%	8.39%	6.89%	10.44%	0.25%	8.88%	7.88%	6.00%	8.06%	2.34%	4.22%	4.69%	4.63%	0.34%	4.60%	4.18%	5.20%	9.91%	8.82%	4.42%	7.01%	1.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14835	308	292	484	1169	421	497	343	430	323	258	1092	435	165	542	334	967	938	734	526	1314	667	979	111	216	197	260	306	527					
		52.00%	33.30%	34.68%	40.54%	90.62%	36.45%	47.47%	34.96%	35.04%	33.72%	31.31%	92.15%	44.94%	34.23%	48.57%	32.05%	66.51%	52.08%	53.73%	39.28%	90.31%	56.81%	62.00%	44.40%	31.03%	32.78%	57.40%	57.95%	88.42%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	134	4	5	6	2	10	12	5	4	5	4	0	2	3	4	7	0	11	5	18	2	6	6	0	8	1	1	3	0					
		0.47%	0.43%	0.59%	0.50%	0.16%	0.87%	1.15%	0.51%	0.33%	0.52%	0.49%	0.00%	0.21%	0.62%	0.36%	0.67%	0.00%	0.61%	0.37%	1.34%	0.14%	0.51%	0.38%	0.00%	1.15%	0.17%	0.22%	0.57%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
