Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Чарышская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813					
1	"Число избирателей, внесенных в список"	11134	80	690	45	119	136	590	78	717	163	289	1154	2619	186	56	808	51	71	196	146	105	514	116	449	69	165	108	896	124	263	77	54					
2	Число полученных избирательных бюллетеней	10349	80	616	44	120	134	530	80	645	163	260	1100	2400	188	57	730	54	70	195	143	106	470	117	400	70	165	110	810	123	240	75	54					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7640	57	456	43	95	111	389	59	518	118	199	700	1677	113	35	543	47	55	143	120	90	372	89	332	60	135	94	604	107	176	59	44					
5	"Число избирательных бюллетеней, выданных вне помещения"	278	0	7	1	0	6	21	2	6	0	8	28	71	11	0	17	0	0	11	2	1	10	6	23	0	5	0	19	6	13	3	1					
6	Число погашенных избирательных бюллетеней	2431	23	153	0	25	17	120	19	121	45	53	372	652	64	22	170	7	15	41	21	15	88	22	45	10	25	16	187	10	51	13	9					
7	Число избирательных бюллетеней в переносных ящиках	278	0	7	1	0	6	21	2	6	0	8	28	71	11	0	17	0	0	11	2	1	10	6	23	0	5	0	19	6	13	3	1					
8	Число бюллетеней в стационарных ящиках для голосования	7633	57	456	43	95	111	389	59	517	118	199	700	1671	113	35	543	47	55	143	120	90	372	89	332	60	135	94	604	107	176	59	44					
9	Число недействительных избирательных бюллетеней	140	2	10	0	3	4	5	1	11	2	7	12	20	4	4	12	0	0	1	0	5	10	5	8	1	4	0	7	0	1	1	0					
10	Число действительных избирательных бюллетеней	7771	55	453	44	92	113	405	60	512	116	200	716	1722	120	31	548	47	55	153	122	86	372	90	347	59	136	94	616	113	188	61	45					
11	Число полученных открепительных  удостоверений	197	2	10	2	4	4	1	2	2	4	4	17	62	4	2	10	2	2	4	2	2	10	3	10	2	4	4	10	4	4	2	2					
12	Число выданных открепительных удостоверений	88	0	3	0	0	0	1	0	2	0	0	17	59	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	2	3	2	3	4	1	1	5	2	1	1	7	0	1	2	1	2	2	3	2	2	3	3	0	2	1	4	2	2	2	2					
14	Число неиспользованных открепительных удостоверений	109	2	7	2	4	4	0	2	0	4	4	0	3	4	2	8	2	2	4	2	2	8	3	9	2	4	4	9	4	4	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	206	0	7	1	3	3	10	2	19	4	2	26	66	3	2	20	0	1	3	2	1	3	1	11	0	1	3	10	0	2	0	0					
		2.60%	0.00%	1.51%	2.27%	3.16%	2.56%	2.44%	3.28%	3.63%	3.39%	0.97%	3.57%	3.79%	2.42%	5.71%	3.57%	0.00%	1.82%	1.95%	1.64%	1.10%	0.79%	1.05%	3.10%	0.00%	0.71%	3.19%	1.61%	0.00%	1.06%	0.00%	0.00%					
19	. Малышкин Олег Александрович	270	4	13	0	8	4	19	5	21	4	8	15	50	0	0	13	1	0	1	7	2	15	6	17	8	10	5	23	3	5	3	0					
		3.41%	7.02%	2.81%	0.00%	8.42%	3.42%	4.63%	8.20%	4.02%	3.39%	3.86%	2.06%	2.87%	0.00%	0.00%	2.32%	2.13%	0.00%	0.65%	5.74%	2.20%	3.93%	6.32%	4.79%	13.33%	7.14%	5.32%	3.69%	2.65%	2.65%	4.84%	0.00%					
20	. Миронов Сергей Михайлович	75	1	3	0	0	2	11	0	6	0	5	6	13	2	0	2	0	1	2	2	1	4	0	1	2	1	1	3	2	3	1	0					
		0.95%	1.75%	0.65%	0.00%	0.00%	1.71%	2.68%	0.00%	1.15%	0.00%	2.42%	0.82%	0.75%	1.61%	0.00%	0.36%	0.00%	1.82%	1.30%	1.64%	1.10%	1.05%	0.00%	0.28%	3.33%	0.71%	1.06%	0.48%	1.77%	1.59%	1.61%	0.00%					
21	. Путин Владимир Владимирович	5079	41	361	33	63	75	280	48	312	54	106	465	1201	90	17	416	40	45	119	41	44	233	40	167	33	86	43	368	65	117	45	31					
