Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Черекская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334					
1	"Число избирателей, внесенных в список"	17110	715	622	2508	986	1230	1052	1190	1043	1111	366	668	310	911	1031	1219	1523	625					
2	Число полученных избирательных бюллетеней	17184	718	628	2517	985	1230	1065	1196	1055	1115	368	668	310	916	1036	1219	1530	628					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16827	706	616	2479	930	1207	1047	1190	1037	1055	364	618	305	905	1031	1202	1514	621					
5	"Число избирательных бюллетеней, выданных вне помещения"	174	0	6	16	50	0	0	0	0	43	0	50	5	0	0	0	0	4					
6	Число погашенных избирательных бюллетеней	183	12	6	22	5	23	18	6	18	17	4	0	0	11	5	17	16	3					
7	Число избирательных бюллетеней в переносных ящиках	174	0	6	16	50	0	0	0	0	43	0	50	5	0	0	0	0	4					
8	Число бюллетеней в стационарных ящиках для голосования	16825	704	616	2479	930	1207	1047	1190	1037	1055	364	618	305	905	1031	1202	1514	621					
9	Число недействительных избирательных бюллетеней	15	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	11	0					
10	Число действительных избирательных бюллетеней	16984	704	621	2493	980	1207	1047	1190	1037	1098	364	668	310	904	1031	1202	1503	625					
11	Число полученных открепительных  удостоверений	197	8	7	29	14	12	12	14	12	12	4	7	4	11	12	14	18	7					
12	Число выданных открепительных удостоверений	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	195	8	7	27	14	12	12	14	12	12	4	7	4	11	12	14	18	7					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	7	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0					
		0.04%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.34%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	16862	694	620	2487	968	1198	1040	1183	1033	1082	357	668	309	890	1031	1185	1498	619					
		99.19%	98.58%	99.68%	99.68%	98.78%	99.25%	99.33%	99.41%	99.61%	98.54%	98.08%	100.00%	99.68%	98.34%	100.00%	98.59%	98.94%	99.04%					
22	. Хакамада Ирина Муцуовна	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.02%	0.14%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	103	8	1	3	11	9	6	2	4	12	6	0	1	12	0	17	5	6					
		0.61%	1.14%	0.16%	0.12%	1.12%	0.75%	0.57%	0.17%	0.39%	1.09%	1.65%	0.00%	0.32%	1.33%	0.00%	1.41%	0.33%	0.96%					
																								
24	Против всех	7	1	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	0					
		0.04%	0.14%	0.00%	0.00%	0.10%	0.00%	0.10%	0.00%	0.00%	0.09%	0.27%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
