Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
"Наименование Избирательной комиссии:    г. Грозный, Старопромысловская"																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449					
1	"Число избирателей, внесенных в список избирателей"	31053	2093	2751	2570	2721	2597	2372	2294	2346	2483	2528	2013	2122	2163					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31053	2093	2751	2570	2721	2597	2372	2294	2346	2483	2528	2013	2122	2163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30829	2072	2720	2550	2702	2580	2358	2277	2330	2468	2512	2001	2109	2150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	64	10	17	7	5	4	2	5	4	2	3	1	2	2					
6	Число погашенных избирательных бюллетеней	160	11	14	13	14	13	12	12	12	13	13	11	11	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	64	10	17	7	5	4	2	5	4	2	3	1	2	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30829	2072	2720	2550	2702	2580	2358	2277	2330	2468	2512	2001	2109	2150					
9	Число недействительных избирательных бюллетеней	46	0	4	2	7	3	2	7	6	4	3	2	3	3					
10	Число действительных избирательных бюллетеней	30847	2082	2733	2555	2700	2581	2358	2275	2328	2466	2512	2000	2108	2149					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	15	15	15	15	15	15	15	15	16	16	16	16	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	6	0	0	2	0	2	0	1	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	0	1	0	0	1	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	194	15	15	13	15	13	15	14	15	16	16	16	15	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	36	4	5	3	3	2	2	3	2	4	3	2	1	2					
		0.12%	0.19%	0.18%	0.12%	0.11%	0.08%	0.08%	0.13%	0.09%	0.16%	0.12%	0.10%	0.05%	0.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3	0	0	0	0	0	0	0	0	0	0	2	1	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.05%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	1	2	0	2	1	0	0	1	1	1	2	0					
		0.04%	0.00%	0.04%	0.08%	0.00%	0.08%	0.04%	0.00%	0.00%	0.04%	0.04%	0.05%	0.09%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10	0	3	0	0	0	0	2	2	0	0	1	0	2					
		0.03%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.05%	0.00%	0.09%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	0	0	0	0	1	0	0	1	1	2	1	1	1					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.04%	0.04%	0.08%	0.05%	0.05%	0.05%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30772	2078	2723	2549	2697	2575	2354	2270	2323	2459	2505	1992	2103	2144					
		99.61%	99.81%	99.49%	99.69%	99.63%	99.65%	99.75%	99.47%	99.53%	99.55%	99.60%	99.50%	99.62%	99.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	0	1	1	0	1	1	0	0	1	1	1	0	0					
		0.02%	0.00%	0.04%	0.04%	0.00%	0.04%	0.04%	0.00%	0.00%	0.04%	0.04%	0.05%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
