Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мордовская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200					
1	"Число избирателей, внесенных в список"	17155	453	328	135	348	164	478	94	202	542	386	238	685	170	690	226	79	445	1186	798	588	911	1133	351	569	94	153	283	488	294	644	772	131	460	177	315	619	536	274	716					
2	Число полученных избирательных бюллетеней	16348	425	317	136	348	170	437	93	199	521	364	227	621	178	650	204	90	414	1100	750	543	890	1067	312	512	93	170	293	486	276	611	730	131	430	180	290	550	530	260	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10168	223	184	100	183	92	257	56	147	292	253	135	383	68	431	107	53	275	696	588	353	508	767	207	346	46	104	154	247	160	403	556	59	283	90	199	287	285	140	451					
5	"Число избирательных бюллетеней, выданных вне помещения"	4148	202	124	28	150	66	161	35	29	223	110	85	162	74	164	74	22	104	175	100	72	105	95	105	109	33	36	104	156	71	122	98	61	137	73	84	209	139	86	165					
6	Число погашенных избирательных бюллетеней	2032	0	9	8	15	12	19	2	23	6	1	7	76	36	55	23	15	35	229	62	118	277	205	0	57	14	30	35	83	45	86	76	11	10	17	7	54	106	34	134					
7	Число избирательных бюллетеней в переносных ящиках	4148	202	124	28	150	66	161	35	29	223	110	85	162	74	164	74	22	104	175	100	72	105	95	105	109	33	36	104	156	71	122	98	61	137	73	84	209	139	86	165					
8	Число бюллетеней в стационарных ящиках для голосования	10166	223	184	100	183	92	257	56	146	292	253	135	383	68	431	107	53	275	696	588	353	508	767	207	346	46	104	154	247	160	402	556	59	283	90	199	287	285	140	451					
9	Число недействительных избирательных бюллетеней	252	2	0	0	5	0	0	0	0	75	1	0	13	0	9	3	1	2	7	8	1	11	3	4	3	3	2	47	12	3	12	10	0	1	0	1	0	5	0	8					
10	Число действительных избирательных бюллетеней	14062	423	308	128	328	158	418	91	175	440	362	220	532	142	586	178	74	377	864	680	424	602	859	308	452	76	138	211	391	228	512	644	120	419	163	282	496	419	226	608					
11	Число полученных открепительных  удостоверений	200	3	3	2	9	2	3	2	3	5	5	3	6	3	12	4	3	8	10	10	8	6	18	4	4	3	4	4	4	4	5	9	4	4	3	4	4	4	3	5					
12	Число выданных открепительных удостоверений	80	0	3	0	6	1	2	0	0	0	0	3	6	0	12	0	0	0	4	2	2	0	15	3	2	0	1	1	0	1	5	3	0	1	0	3	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	3	3	0	0	3	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	7	2	1	0	0	0	1	0	0	1	0	1	0	2	2	2	1	2					
14	Число неиспользованных открепительных удостоверений	120	3	0	2	3	1	1	2	3	5	5	0	0	3	0	4	3	8	6	8	6	6	3	1	2	3	3	3	4	3	0	6	4	3	3	1	4	4	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	265	1	1	2	5	1	4	2	0	10	7	3	8	2	18	3	4	1	23	15	1	16	28	7	10	1	1	6	9	6	9	9	0	7	4	7	5	14	7	8					
		1.85%	0.24%	0.32%	1.56%	1.50%	0.63%	0.96%	2.20%	0.00%	1.94%	1.93%	1.36%	1.47%	1.41%	3.03%	1.66%	5.33%	0.26%	2.64%	2.18%	0.24%	2.61%	3.25%	2.24%	2.20%	1.27%	0.71%	2.33%	2.23%	2.60%	1.72%	1.38%	0.00%	1.67%	2.45%	2.47%	1.01%	3.30%	3.10%	1.30%					
19	. Малышкин Олег Александрович	298	7	4	2	13	2	10	0	1	12	1	5	6	4	8	2	2	12	15	7	15	10	28	12	8	1	1	4	10	4	16	10	1	5	3	7	14	10	12	14					
		2.08%	1.65%	1.30%	1.56%	3.90%	1.27%	2.39%	0.00%	0.57%	2.33%	0.28%	2.27%	1.10%	2.82%	1.34%	1.10%	2.67%	3.17%	1.72%	1.02%	3.53%	1.63%	3.25%	3.85%	1.76%	1.27%	0.71%	1.55%	2.48%	1.73%	3.05%	1.53%	0.83%	1.19%	1.84%	2.47%	2.82%	2.36%	5.31%	2.27%					
20	. Миронов Сергей Михайлович	58	3	1	1	0	0	2	0	0	2	1	2	1	0	4	1	0	1	7	2	1	1	1	1	2	0	0	1	1	2	3	3	1	0	2	2	4	4	0	1					
		0.41%	0.71%	0.32%	0.78%	0.00%	0.00%	0.48%	0.00%	0.00%	0.39%	0.28%	0.91%	0.18%	0.00%	0.67%	0.55%	0.00%	0.26%	0.80%	0.29%	0.24%	0.16%	0.12%	0.32%	0.44%	0.00%	0.00%	0.39%	0.25%	0.87%	0.57%	0.46%	0.83%	0.00%	1.23%	0.71%	0.81%	0.94%	0.00%	0.16%					
21	. Путин Владимир Владимирович	10289	304	230	116	227	140	294	60	121	317	305	175	422	102	362	129	49	294	659	533	293	429	621	241	341	52	73	151	270	120	312	464	101	303	106	224	402	315	157	475					
		71.88%	71.53%	74.68%	90.62%	68.17%	88.61%	70.33%	65.93%	69.14%	61.55%	84.02%	79.55%	77.43%	71.83%	60.84%	71.27%	65.33%	77.57%	75.66%	77.47%	68.94%	69.98%	72.04%	77.24%	74.95%	65.82%	52.14%	58.53%	67.00%	51.95%	59.54%	70.95%	84.17%	72.14%	65.03%	79.15%	81.05%	74.29%	69.47%	77.11%					
22	. Хакамада Ирина Муцуовна	185	6	5	0	3	1	3	1	1	4	5	1	10	2	14	2	3	6	8	11	9	13	18	1	2	4	4	0	2	2	9	8	2	7	1	1	9	2	0	5					
