		0.24%	0.27%	0.19%	0.25%	0.24%	0.17%	0.34%	0.28%	0.29%	0.33%	0.24%	0.24%	0.26%	0.22%	0.18%	0.24%	0.27%	0.25%	0.22%	0.24%	0.18%	0.18%	0.27%	0.21%	0.24%	0.20%	0.25%	0.17%	0.22%	0.26%	0.40%	0.23%	0.23%	0.13%	0.21%	0.22%	0.21%	0.29%	0.22%	0.29%	0.29%	0.25%	0.27%	0.24%	0.24%	0.20%	0.23%	0.27%	0.23%	0.21%	0.21%	0.34%	0.28%	0.29%	0.24%	0.28%	0.24%	0.25%	0.20%	0.21%	0.25%	0.28%	0.28%	0.18%	0.28%	0.24%	0.25%	0.21%	0.26%	0.27%	0.26%	0.24%	0.20%	0.25%	0.50%	0.26%	0.21%	0.22%	0.28%	0.22%	0.20%	0.19%	0.22%	0.25%	0.21%	0.21%	0.24%	0.25%	0.27%	0.24%	0.25%	0.21%	0.28%	0.20%	0.25%	0.23%	0.54%	0.26%	0.28%	0.29%	0.26%	0.27%	0.34%									
14	Грудинин Павел Николаевич	6853	109	52	60	54	48	46	51	72	60	53	95	64	90	102	105	84	59	36	56	81	47	59	72	64	44	53	56	61	79	38	69	61	112	47	42	84	41	67	41	84	79	91	63	74	58	77	93	97	84	245	58	72	31	56	63	63	59	85	62	60	35	48	48	43	61	81	64	56	88	97	61	99	64	28	47	39	41	46	42	82	88	68	85	45	57	71	81	55	69	57	61	90	46	99	65	55	75	88	59	95	53	53									
		4.74%	4.92%	4.99%	4.93%	4.27%	4.00%	3.97%	4.77%	4.18%	4.93%	4.26%	4.59%	4.13%	4.96%	4.54%	4.98%	4.53%	4.82%	3.97%	4.47%	4.95%	4.27%	3.97%	4.96%	5.06%	4.40%	4.48%	4.77%	4.50%	4.07%	5.07%	3.99%	4.64%	4.96%	5.03%	4.52%	4.35%	3.93%	4.82%	3.93%	4.12%	4.99%	4.99%	4.95%	4.41%	3.88%	4.35%	4.99%	4.54%	4.39%	17.34%	4.92%	4.96%	4.46%	4.57%	4.34%	5.13%	4.99%	4.16%	4.40%	4.91%	4.87%	4.41%	4.29%	3.95%	4.96%	4.97%	4.41%	4.93%	11.91%	4.98%	4.87%	4.98%	3.95%	4.68%	4.13%	4.10%	4.46%	4.28%	4.68%	4.13%	4.20%	4.98%	4.21%	4.66%	3.99%	4.33%	4.96%	4.98%	4.22%	4.84%	4.18%	4.96%	4.60%	4.96%	4.94%	4.98%	4.86%	4.99%	4.25%	4.96%	4.69%	4.49%									
15	Жириновский Владимир Вольфович	1667	21	8	12	9	11	11	14	18	14	18	22	15	19	20	21	18	13	10	12	24	17	14	17	12	9	12	17	14	27	9	23	11	24	15	9	21	14	16	11	21	17	25	16	18	15	19	22	24	19	22	16	19	5	21	16	9	11	22	14	12	9	15	11	10	14	19	18	15	11	21	13	26	14	5	14	12	9	17	15	22	23	18	25	11	14	16	19	15	22	17	18	25	17	22	19	12	18	24	16	29	18	14									
		1.15%	0.95%	0.77%	0.99%	0.71%	0.92%	0.95%	1.31%	1.05%	1.15%	1.45%	1.06%	0.97%	1.05%	0.89%	0.99%	0.97%	1.06%	1.10%	0.96%	1.47%	1.55%	0.94%	1.17%	0.95%	0.90%	1.01%	1.45%	1.03%	1.39%	1.20%	1.33%	0.84%	1.06%	1.61%	0.97%	1.09%	1.34%	1.15%	1.05%	1.03%	1.07%	1.37%	1.26%	1.07%	1.00%	1.07%	1.18%	1.12%	0.99%	1.56%	1.36%	1.31%	0.72%	1.71%	1.10%	0.73%	0.93%	1.08%	0.99%	0.98%	1.25%	1.38%	0.98%	0.92%	1.14%	1.17%	1.24%	1.32%	1.49%	1.08%	1.04%	1.31%	0.86%	0.84%	1.23%	1.26%	0.98%	1.58%	1.67%	1.11%	1.10%	1.32%	1.24%	1.14%	0.98%	0.98%	1.16%	1.36%	1.35%	1.44%	1.23%	1.38%	1.70%	1.10%	1.44%	1.09%	1.17%	1.36%	1.15%	1.51%	1.59%	1.19%									
16	Путин Владимир Владимирович	134022	2063	965	1126	1188	1122	1087	989	1609	1127	1153	1930	1453	1682	2104	1961	1732	1132	841	1167	1512	1020	1392	1343	1172	932	1100	1087	1263	1813	675	1608	1228	2103	855	865	1807	970	1290	967	1909	1470	1686	1171	1568	1401	1647	1724	1992	1792	1038	1081	1344	644	1128	1352	1136	1092	1918	1319	1132	651	1005	1039	1018	1139	1513	1350	1049	605	1806	1162	1843	1526	548	1054	886	850	995	823	1863	1959	1260	1889	899	1341	1531	1512	1020	1525	1085	1365	1676	920	1853	1219	1018	1426	1633	1292	1765	1036	1096									
		92.68%	93.18%	92.52%	92.60%	93.84%	93.58%	93.71%	92.43%	93.49%	92.60%	92.61%	93.33%	93.74%	92.67%	93.55%	93.07%	93.32%	92.56%	92.83%	93.21%	92.42%	92.73%	93.74%	92.43%	92.65%	93.20%	92.98%	92.59%	93.14%	93.41%	90.12%	93.11%	93.38%	93.22%	91.54%	93.11%	93.48%	92.91%	92.74%	92.62%	93.67%	92.80%	92.43%	92.06%	93.50%	93.78%	93.05%	92.59%	93.30%	93.63%	73.46%	91.69%	92.50%	92.66%	92.01%	93.24%	92.58%	92.46%	93.84%	93.61%	92.71%	90.67%	92.29%	92.93%	93.57%	92.53%	92.88%	93.10%	92.26%	81.87%	92.76%	92.74%	92.80%	94.08%	91.64%	92.70%	93.17%	92.49%	92.56%	91.75%	93.76%	93.51%	92.24%	93.61%	93.06%	93.97%	93.41%	92.65%	92.31%	93.33%	92.11%	93.56%	92.29%	92.09%	92.88%	92.56%	92.21%	92.42%	92.52%	93.15%	92.17%	91.76%	92.80%									
17	Собчак Ксения Анатольевна	353	2	3	2	2	4	2	3	3	2	2	3	2	3	2	3	2	4	2	3	3	4	2	3	4	2	3	2	2	2	8	5	2	3	5	2	2	3	2	3	5	2	3	7	2	3	9	4	2	4	45	4	2	2	3	2	4	3	2	2	2	2	2	3	2	3	2	3	2	6	3	2	2	4	3	2	4	8	4	6	2	9	2	2	2	3	2	3	2	2	4	2	2	3	3	2	4	3	3	4	2	4	2									
		0.24%	0.09%	0.29%	0.16%	0.16%	0.33%	0.17%	0.28%	0.17%	0.16%	0.16%	0.15%	0.13%	0.17%	0.09%	0.14%	0.11%	0.33%	0.22%	0.24%	0.18%	0.36%	0.13%	0.21%	0.32%	0.20%	0.25%	0.17%	0.15%	0.10%	1.07%	0.29%	0.15%	0.13%	0.54%	0.22%	0.10%	0.29%	0.14%	0.29%	0.25%	0.13%	0.16%	0.55%	0.12%	0.20%	0.51%	0.21%	0.09%	0.21%	3.18%	0.34%	0.14%	0.29%	0.24%	0.14%	0.33%	0.25%	0.10%	0.14%	0.16%	0.28%	0.18%	0.27%	0.18%	0.24%	0.12%	0.21%	0.18%	0.81%	0.15%	0.16%	0.10%	0.25%	0.50%	0.18%	0.42%	0.87%	0.37%	0.67%	0.10%	0.43%	0.15%	0.10%	0.21%	0.21%	0.12%	0.18%	0.18%	0.12%	0.34%	0.14%	0.11%	0.30%	0.15%	0.15%	0.36%	0.19%	0.17%	0.29%	0.10%	0.35%	0.17%									
18	Сурайкин Максим Александрович	290	1	5	4	2	2	2	2	3	2	3	2	2	4	5	2	3	4	3	3	2	2	3	4	2	5	3	2	4	3	6	5	2	2	2	3	2	3	3	4	2	1	3	3	3	3	2	2	3	2	13	4	3	2	7	2	3	2	2	3	2	4	4	4	1	3	2	1	4	6	3	2	2	2	3	3	3	2	2	1	3	1	2	1	1	1	3	2	2	3	2	2	4	3	2	1	1	4	3	3	6	3	2									
		0.20%	0.05%	0.48%	0.33%	0.16%	0.17%	0.17%	0.19%	0.17%	0.16%	0.24%	0.10%	0.13%	0.22%	0.22%	0.09%	0.16%	0.33%	0.33%	0.24%	0.12%	0.18%	0.20%	0.28%	0.16%	0.50%	0.25%	0.17%	0.29%	0.15%	0.80%	0.29%	0.15%	0.09%	0.21%	0.32%	0.10%	0.29%	0.22%	0.38%	0.10%	0.06%	0.16%	0.24%	0.18%	0.20%	0.11%	0.11%	0.14%	0.10%	0.92%	0.34%	0.21%	0.29%	0.57%	0.14%	0.24%	0.17%	0.10%	0.21%	0.16%	0.56%	0.37%	0.36%	0.09%	0.24%	0.12%	0.07%	0.35%	0.81%	0.15%	0.16%	0.10%	0.12%	0.50%	0.26%	0.32%	0.22%	0.19%	0.11%	0.15%	0.05%	0.15%	0.05%	0.10%	0.07%	0.18%	0.12%	0.18%	0.18%	0.17%	0.14%	0.22%	0.30%	0.10%	0.08%	0.09%	0.26%	0.17%	0.22%	0.31%	0.27%	0.17%									
19	Титов Борис Юрьевич	551	9	4	4	4	5	3	4	6	4	8	7	5	7	9	6	6	4	8	4	6	4	6	5	4	3	5	4	5	6	7	6	4	3	3	3	7	6	5	8	8	6	7	4	5	6	8	7	8	4	13	7	5	4	4	7	4	8	7	2	4	4	3	4	7	4	5	6	4	6	7	4	6	5	4	7	3	3	4	3	7	7	6	7	3	4	6	5	5	5	4	5	7	3	7	5	4	6	6	7	7	6	5									
		0.38%	0.41%	0.38%	0.33%	0.32%	0.42%	0.26%	0.37%	0.35%	0.33%	0.64%	0.34%	0.32%	0.39%	0.40%	0.28%	0.32%	0.33%	0.88%	0.32%	0.37%	0.36%	0.40%	0.34%	0.32%	0.30%	0.42%	0.34%	0.37%	0.31%	0.93%	0.35%	0.30%	0.13%	0.32%	0.32%	0.36%	0.57%	0.36%	0.77%	0.39%	0.38%	0.38%	0.31%	0.30%	0.40%	0.45%	0.38%	0.37%	0.21%	0.92%	0.59%	0.34%	0.58%	0.33%	0.48%	0.33%	0.68%	0.34%	0.14%	0.33%	0.56%	0.28%	0.36%	0.64%	0.32%	0.31%	0.41%	0.35%	0.81%	0.36%	0.32%	0.30%	0.31%	0.67%	0.62%	0.32%	0.33%	0.37%	0.33%	0.35%	0.33%	0.44%	0.35%	0.31%	0.28%	0.37%	0.31%	0.45%	0.31%	0.34%	0.34%	0.39%	0.30%	0.35%	0.38%	0.36%	0.39%	0.34%	0.50%	0.37%	0.53%	0.42%									
20	Явлинский Григорий Алексеевич	326	2	2	3	3	3	3	2	4	3	2	3	3	4	2	2	4	3	2	3	4	2	3	4	3	2	2	3	3	4	2	5	3	3	4	2	5	2	3	5	2	3	3	3	2	3	2	4	3	3	10	3	2	4	2	3	3	2	2	2	4	9	8	5	3	2	2	3	2	10	3	5	2	2	3	5	2	2	2	3	2	2	6	3	2	2	6	4	1	3	4	2	5	3	2	2	3	5	2	2	2	5	3									
		0.23%	0.09%	0.19%	0.25%	0.24%	0.25%	0.26%	0.19%	0.23%	0.25%	0.16%	0.15%	0.19%	0.22%	0.09%	0.09%	0.22%	0.25%	0.22%	0.24%	0.24%	0.18%	0.20%	0.28%	0.24%	0.20%	0.17%	0.26%	0.22%	0.21%	0.27%	0.29%	0.23%	0.13%	0.43%	0.22%	0.26%	0.19%	0.22%	0.48%	0.10%	0.19%	0.16%	0.24%	0.12%	0.20%	0.11%	0.21%	0.14%	0.16%	0.71%	0.25%	0.14%	0.58%	0.16%	0.21%	0.24%	0.17%	0.10%	0.14%	0.33%	1.25%	0.73%	0.45%	0.28%	0.16%	0.12%	0.21%	0.18%	1.35%	0.15%	0.40%	0.10%	0.12%	0.50%	0.44%	0.21%	0.22%	0.19%	0.33%	0.10%	0.10%	0.44%	0.15%	0.21%	0.14%	0.37%	0.25%	0.09%	0.18%	0.34%	0.14%	0.28%	0.30%	0.10%	0.15%	0.27%	0.32%	0.11%	0.14%	0.10%	0.44%	0.25%									
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
