Выборы Президента Российской Федерации																																																																																																													
Дата голосования: 02.03.2008																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
	Число участковых избирательных комиссий	102																																																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	102																																																																																																											
																																																																																																													
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, включенных в списки избирателей"	147814	2138	1311	1350	1213	1060	830	1221	665	1362	837	2592	1591	1299	2400	2500	1950	1560	1000	1426	1820	1404	1709	1590	1582	1000	1550	1134	1300	1750	650	1811	1413	1850	960	914	1869	885	1633	700	2176	1534	1200	1286	1600	1450	1685	1500	2144	2267	2500	1087	2264	844	1242	1628	1044	1206	1900	650	1353	771	1110	1243	1270	1220	1716	1450	1218	1400	1860	1291	2209	1550	684	1194	1000	1166	932	922	2233	1750	1329	2207	1078	1580	1607	1610	1508	1350	1300	1497	1850	1010	2100	1400	1044	1025	2475	1021	1721	1450	1074					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	147578	2126	1311	1350	1213	1060	1119	1221	650	1362	900	2600	1569	1300	2400	2500	1950	1500	1000	1400	1820	1400	1680	1550	1582	1074	1550	1134	1300	1750	650	1750	1400	1850	960	1000	1869	885	1632	700	2176	1500	1200	1286	1600	1450	1650	1500	2065	2267	2500	1087	2270	850	1170	1628	1087	1200	1900	723	1350	765	1100	1250	1267	1200	1650	1450	1211	1400	1860	1218	2215	1550	700	1179	1000	1166	888	850	2080	1750	1329	2212	1078	1575	1600	1600	1500	1500	1300	1450	1850	1000	2085	1400	987	1022	2475	1050	1721	1450	1119					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	132011	1914	1118	1192	1038	949	617	1103	588	1244	835	2230	1528	1074	2330	2291	1749	1439	905	1301	1643	1250	1588	1423	1409	985	1207	1078	1171	1596	0	1653	1016	1799	865	332	1804	760	1452	649	2110	1400	1097	1193	1480	1342	1596	1478	1803	852	2440	1070	2039	844	1148	1509	1028	1085	1656	619	1257	630	888	1116	1110	1064	1606	1251	1084	1212	1655	1098	2094	1208	635	1056	893	1108	828	765	1976	1608	1129	2141	949	1505	1528	1480	1365	1346	1208	1406	1619	936	1905	1313	983	919	2247	1005	1576	1343	1052					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	6841	10	169	23	58	42	163	21	14	27	2	279	11	109	3	15	45	43	25	26	13	27	15	8	30	15	295	33	25	30	650	22	256	36	77	564	36	81	63	4	7	15	11	40	21	7	12	10	206	1400	13	13	29	0	8	38	16	70	35	31	31	82	112	33	33	40	24	49	12	48	19	11	6	199	49	19	17	35	10	10	28	11	95	39	53	29	18	40	32	4	14	21	10	47	48	37	4	14	43	16	24	6	22					
6	Число погашенных избирательных бюллетеней	8726	202	24	135	117	69	339	97	48	91	63	91	30	117	67	194	156	18	70	73	164	123	77	119	143	74	48	23	104	124	0	75	128	15	18	104	29	44	117	47	59	85	92	53	99	101	42	12	56	15	47	4	202	6	14	81	43	45	209	73	62	53	100	101	124	96	20	150	115	140	186	109	115	143	16	104	90	23	50	75	76	131	105	32	76	41	54	80	103	150	78	23	221	17	132	50	0	89	185	29	121	101	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6841	10	169	23	58	42	163	21	14	27	2	279	11	109	3	15	45	43	25	26	13	27	15	8	30	15	295	33	25	30	650	22	256	36	77	564	36	81	63	4	7	15	11	40	21	7	12	10	206	1400	13	13	29	0	8	38	16	70	35	31	31	82	112	33	33	40	24	49	12	48	19	11	6	199	49	19	17	35	10	10	28	11	95	39	53	29	18	40	32	4	14	21	10	47	48	37	4	14	43	16	24	6	22					
8	Число бюллетеней в стационарных ящиках для голосования	132004	1914	1118	1192	1038	949	617	1103	588	1244	835	2230	1528	1074	2330	2291	1749	1439	905	1301	1643	1250	1588	1423	1409	985	1207	1078	1171	1596	0	1653	1016	1799	865	332	1804	760	1452	649	2103	1400	1097	1193	1480	1342	1596	1478	1803	852	2440	1070	2039	844	1148	1509	1028	1085	1656	619	1257	630	888	1116	1110	1064	1606	1251	1084	1212	1655	1098	2094	1208	635	1056	893	1108	828	765	1976	1608	1129	2141	949	1505	1528	1480	1365	1346	1208	1406	1619	936	1905	1313	983	919	2247	1005	1576	1343	1052					
9	Число недействительных избирательных бюллетеней	185	3	0	0	4	0	0	0	4	2	0	15	0	1	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	4	0	12	0	21	0	0	6	8	0	2	0	0	0	0	0	14	4	0	0	10	0	0	0	0	4	0	0	16	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	5	10	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	138660	1921	1287	1215	1092	991	780	1124	598	1269	837	2494	1539	1182	2333	2306	1794	1482	930	1319	1656	1277	1603	1431	1435	1000	1502	1111	1196	1615	650	1675	1270	1835	942	896	1840	841	1515	653	2110	1415	1104	1233	1489	1349	1587	1488	2009	2246	2445	1083	2066	844	1156	1547	1044	1155	1677	646	1288	712	990	1149	1143	1104	1630	1296	1096	1260	1658	1109	2100	1406	683	1075	910	1143	838	775	2004	1619	1224	2180	1002	1526	1546	1520	1397	1350	1217	1422	1619	983	1953	1350	987	933	2290	1021	1600	1349	1074					
11	Число полученных открепительных  удостоверений	870	12	8	9	8	7	5	8	5	8	5	15	10	10	15	15	12	10	6	10	12	9	10	10	10	7	10	7	8	10	5	10	7	12	6	6	8	5	8	6	12	9	8	9	8	8	9	9	11	6	12	6	15	6	7	9	6	7	12	6	8	7	7	7	7	8	10	8	7	6	10	7	14	9	6	7	6	6	6	6	12	10	8	11	7	9	10	9	8	9	8	8	10	5	9	8	7	5	15	8	9	9	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	376	1	0	1	2	3	1	4	0	3	3	0	2	3	4	15	8	1	4	3	8	0	6	3	5	5	5	2	0	5	0	1	2	0	1	1	8	1	8	1	2	5	3	0	4	1	3	4	4	0	0	6	6	0	7	6	4	0	5	6	6	1	5	7	6	3	5	8	0	3	5	4	6	3	3	2	6	5	1	2	10	8	0	11	7	3	10	6	5	1	6	3	4	4	9	8	1	4	5	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	597	0	0	1	0	0	113	0	2	0	1	1	0	1	0	0	0	0	0	0	6	1	1	5	0	0	0	0	0	11	0	1	3	1	1	261	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	6	0	7	1	93	1	7	3	0	1	0	5	6	6	1	0	1	0	0	1	0	1	8	0	0	4	2	3	2	0	2	0	2	2	0	0	1	0	3	0	2	0	3	2	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	494	11	8	8	6	4	4	4	5	5	2	15	8	7	11	0	4	9	2	7	4	9	4	7	5	2	5	5	8	5	5	9	5	12	5	5	0	4	0	5	10	4	5	9	4	7	6	5	7	6	12	0	9	6	0	3	2	7	7	0	2	6	2	0	1	5	5	0	7	3	5	3	8	6	3	5	0	1	5	4	2	2	8	0	0	6	0	3	3	8	2	5	6	1	0	0	6	1	10	8	9	8	2					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	130	4	2	4	1	3	0	3	0	2	0	9	2	0	1	2	0	2	1	2	0	0	0	1	0	0	1	0	2	2	0	2	0	2	2	0	2	0	1	0	1	2	1	1	2	2	1	3	2	1	0	2	1	0	1	3	2	1	2	0	0	0	1	0	0	1	0	2	2	2	1	1	3	2	0	3	3	1	0	0	3	2	1	1	1	0	3	2	0	1	0	0	0	1	3	1	1	1	0	1	3	1	1					
