Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Высокогорская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342					
1	"Число избирателей, внесенных в список избирателей"	33427	136	461	284	328	120	307	513	275	376	106	633	242	2268	2155	1862	1510	2003	540	1413	153	342	173	2217	1185	571	110	340	130	956	869	422	327	853	686	238	357	468	293	205	178	379	1607	753	1409	659	207	1443	365					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33846	136	461	287	329	121	307	520	274	380	106	629	241	2290	2230	1876	1508	2028	534	1427	157	344	173	2251	1197	571	120	352	130	1008	875	434	334	854	681	224	365	465	308	218	177	392	1629	757	1423	668	210	1456	389					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30067	124	421	242	301	116	279	472	236	341	98	611	227	2108	1878	1649	1362	1766	479	1199	130	295	140	1858	1099	524	110	310	120	810	817	393	313	806	596	213	330	381	278	193	160	345	1457	734	1331	631	194	1323	267					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1656	12	40	42	24	4	24	35	12	35	8	12	14	91	115	27	30	60	23	82	19	38	28	82	14	0	0	30	10	118	52	28	12	28	58	5	11	41	15	12	15	33	103	0	62	22	11	30	89					
6	Число погашенных избирательных бюллетеней	2123	0	0	3	4	1	4	13	26	4	0	6	0	91	237	200	116	202	32	146	8	11	5	311	84	47	10	12	0	80	6	13	9	20	27	6	24	43	15	13	2	14	69	23	30	15	5	103	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1656	12	40	42	24	4	24	35	12	35	8	12	14	91	115	27	30	60	23	82	19	38	28	82	14	0	0	30	10	118	52	28	12	28	58	5	11	41	15	12	15	33	103	0	62	22	11	30	89					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30067	124	421	242	301	116	279	472	236	341	98	611	227	2108	1878	1649	1362	1766	479	1199	130	295	140	1858	1099	524	110	310	120	810	817	393	313	806	596	213	330	381	278	193	160	345	1457	734	1331	631	194	1323	267					
9	Число недействительных избирательных бюллетеней	173	0	0	0	5	0	6	0	0	1	2	0	0	0	12	12	7	5	0	0	0	1	1	12	4	0	0	0	0	0	0	0	10	0	2	0	0	0	1	0	0	0	0	0	23	0	0	60	9					
10	Число действительных избирательных бюллетеней	31550	136	461	284	320	120	297	507	248	375	104	623	241	2199	1981	1664	1385	1821	502	1281	149	332	167	1928	1109	524	110	340	130	928	869	421	315	834	652	218	341	422	292	205	175	378	1560	734	1370	653	205	1293	347					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	670	5	10	5	10	5	5	10	5	10	5	10	5	20	35	35	35	35	10	30	10	15	5	35	15	10	0	10	5	20	20	15	5	10	10	15	10	10	10	10	10	10	20	10	25	20	5	20	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	321	1	4	1	5	1	2	4	1	3	0	2	0	17	9	20	7	21	1	14	3	0	0	30	2	9	0	10	0	20	4	5	3	5	7	0	8	3	10	10	0	9	13	0	18	9	2	10	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	1	3	1	3	1	4	0	3	1	2	9	3	4	5	11	16	6	2	8	1	2	0	21	5	0	0	1	0	8	5	1	2	10	4	11	2	4	0	0	1	0	0	2	11	5	1	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	349	4	6	4	5	4	3	6	4	7	5	8	5	3	26	15	28	14	9	16	7	15	5	5	13	1	0	0	5	0	16	10	2	5	3	15	2	7	0	0	10	1	7	10	7	11	3	10	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1019	0	1	0	2	1	2	10	6	1	1	13	0	18	507	8	272	31	1	6	2	0	4	8	21	7	12	3	0	6	4	0	3	9	17	0	5	6	1	1	1	1	10	4	2	3	1	4	4					
		3.21%	0.00%	0.22%	0.00%	0.62%	0.83%	0.66%	1.97%	2.42%	0.27%	0.94%	2.09%	0.00%	0.82%	25.44%	0.48%	19.54%	1.70%	0.20%	0.47%	1.34%	0.00%	2.38%	0.41%	1.89%	1.34%	10.91%	0.88%	0.00%	0.65%	0.46%	0.00%	0.92%	1.08%	2.60%	0.00%	1.47%	1.42%	0.34%	0.49%	0.57%	0.26%	0.64%	0.54%	0.14%	0.46%	0.49%	0.30%	1.12%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	418	0	0	0	3	5	0	7	4	3	2	8	1	9	104	28	21	18	2	7	3	4	3	66	22	5	16	3	0	5	3	3	0	7	7	0	2	4	1	3	1	1	11	4	2	4	1	9	6					
