Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Елецкая городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342					
		4.92%	6.36%	4.93%	4.43%	3.57%	5.19%	4.69%	5.97%	5.27%	6.68%	3.53%	4.75%	4.40%	4.96%	4.63%	5.14%	4.79%	5.06%	4.70%	6.11%	4.37%	4.88%	6.12%	5.75%	4.63%	4.50%	4.52%	4.83%	5.30%	3.94%	4.08%	1.83%	3.17%	3.42%	4.74%	1.92%	5.03%	5.89%	6.35%	4.91%	4.49%	4.08%	4.54%	6.05%	4.94%	4.64%	3.99%	3.93%	6.45%	4.08%	2.98%	11.41%	2.38%	5.23%	5.64%					
19	. Малышкин Олег Александрович	1354	28	24	19	18	16	33	15	27	36	20	28	16	32	38	30	42	29	39	44	39	29	26	25	11	15	25	10	33	57	25	11	40	23	29	2	13	16	29	22	13	32	24	28	25	16	42	4	24	28	9	4	2	43	46					
		2.61%	2.97%	2.96%	2.72%	2.68%	1.81%	2.82%	2.08%	2.68%	2.27%	2.07%	2.18%	1.72%	3.87%	2.88%	2.14%	2.62%	1.98%	2.66%	2.89%	3.34%	2.77%	2.90%	2.08%	1.76%	1.88%	2.51%	1.18%	3.36%	4.16%	2.17%	3.35%	4.09%	2.62%	3.62%	1.28%	1.98%	1.63%	2.49%	1.59%	1.67%	2.51%	2.02%	3.20%	2.68%	2.86%	3.49%	1.05%	2.01%	3.17%	2.68%	2.17%	2.38%	3.68%	3.99%					
20	. Миронов Сергей Михайлович	309	4	5	3	1	6	8	7	5	15	4	4	4	9	7	10	4	8	13	3	6	7	3	5	2	3	5	8	6	10	8	2	6	4	7	0	5	2	4	12	1	13	12	3	5	2	9	8	3	5	0	1	0	7	15					
		0.60%	0.42%	0.62%	0.43%	0.15%	0.68%	0.68%	0.97%	0.50%	0.94%	0.41%	0.31%	0.43%	1.09%	0.53%	0.71%	0.25%	0.55%	0.89%	0.20%	0.51%	0.67%	0.33%	0.42%	0.32%	0.38%	0.50%	0.94%	0.61%	0.73%	0.70%	0.61%	0.61%	0.46%	0.87%	0.00%	0.76%	0.20%	0.34%	0.87%	0.13%	1.02%	1.01%	0.34%	0.54%	0.36%	0.75%	2.09%	0.25%	0.57%	0.00%	0.54%	0.00%	0.60%	1.30%					
21	. Путин Владимир Владимирович	27587	495	418	357	390	535	684	361	501	799	571	657	498	425	718	690	833	759	793	838	631	558	462	699	335	444	516	425	525	696	612	169	510	443	425	84	322	513	637	756	412	689	651	474	488	288	611	226	672	459	200	96	38	581	618					
		53.17%	52.44%	51.54%	51.07%	58.04%	60.38%	58.36%	50.14%	49.80%	50.31%	59.23%	51.21%	53.49%	51.39%	54.48%	49.25%	51.87%	51.92%	54.06%	55.06%	54.07%	53.35%	51.45%	58.25%	53.51%	55.50%	51.86%	50.06%	53.46%	50.84%	53.17%	51.52%	52.09%	50.51%	52.99%	53.85%	49.09%	52.13%	54.68%	54.62%	52.89%	54.12%	54.75%	54.11%	52.36%	51.43%	50.79%	59.16%	56.28%	52.04%	59.52%	52.17%	45.24%	49.79%	53.65%					
22	. Хакамада Ирина Муцуовна	1327	8	11	11	21	30	35	18	30	51	22	41	29	12	37	40	49	41	33	34	29	20	35	27	20	16	35	25	22	28	25	8	27	23	20	4	19	30	26	40	20	28	29	18	21	11	22	12	37	34	10	3	3	25	22					
		2.56%	0.85%	1.36%	1.57%	3.12%	3.39%	2.99%	2.50%	2.98%	3.21%	2.28%	3.20%	3.11%	1.45%	2.81%	2.86%	3.05%	2.80%	2.25%	2.23%	2.49%	1.91%	3.90%	2.25%	3.19%	2.00%	3.52%	2.94%	2.24%	2.05%	2.17%	2.44%	2.76%	2.62%	2.49%	2.56%	2.90%	3.05%	2.23%	2.89%	2.57%	2.20%	2.44%	2.05%	2.25%	1.96%	1.83%	3.14%	3.10%	3.85%	2.98%	1.63%	3.57%	2.14%	1.91%					
23	. Харитонов Николай Михайлович	14722	280	249	233	170	180	273	227	308	441	228	370	274	230	360	456	477	434	386	379	326	319	233	320	180	234	283	281	274	417	342	102	283	286	234	61	208	268	297	394	255	364	317	232	277	174	351	86	270	247	85	48	32	379	308					
		28.37%	29.66%	30.70%	33.33%	25.30%	20.32%	23.29%	31.53%	30.62%	27.77%	23.65%	28.84%	29.43%	27.81%	27.31%	32.55%	29.70%	29.69%	26.31%	24.90%	27.93%	30.50%	25.95%	26.67%	28.75%	29.25%	28.44%	33.10%	27.90%	30.46%	29.71%	31.10%	28.91%	32.61%	29.18%	39.10%	31.71%	27.24%	25.49%	28.47%	32.73%	28.59%	26.66%	26.48%	29.72%	31.07%	29.18%	22.51%	22.61%	28.00%	25.30%	26.09%	38.10%	32.48%	26.74%					
																																																													
24	Против всех	3634	54	61	41	45	67	66	43	80	130	82	114	62	71	91	87	116	106	114	122	77	53	79	51	48	45	81	52	63	93	85	26	76	58	49	2	50	90	89	87	41	82	94	63	60	26	112	13	100	67	21	10	5	63	71					
		7.00%	5.72%	7.52%	5.87%	6.70%	7.56%	5.63%	5.97%	7.95%	8.19%	8.51%	8.89%	6.66%	8.59%	6.90%	6.21%	7.22%	7.25%	7.77%	8.02%	6.60%	5.07%	8.80%	4.25%	7.67%	5.62%	8.14%	6.12%	6.42%	6.79%	7.38%	7.93%	7.76%	6.61%	6.11%	1.28%	7.62%	9.15%	7.64%	6.29%	5.26%	6.44%	7.91%	7.19%	6.44%	4.64%	9.31%	3.40%	8.38%	7.60%	6.25%	5.43%	5.95%	5.40%	6.16%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
