Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Шиханская городская										
										
Итоги голосования 										
										
		Сумма	УИК №1821	УИК №1822	УИК №1823					
1	"Число избирателей, внесенных в список"	5614	2087	2068	1459					
2	Число полученных избирательных бюллетеней	5800	2170	2230	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3630	1298	1381	951					
5	"Число избирательных бюллетеней, выданных вне помещения"	342	103	126	113					
6	Число погашенных избирательных бюллетеней	1828	769	723	336					
7	Число избирательных бюллетеней в переносных ящиках	342	103	126	113					
8	Число бюллетеней в стационарных ящиках для голосования	3630	1298	1381	951					
9	Число недействительных избирательных бюллетеней	29	6	17	6					
10	Число действительных избирательных бюллетеней	3943	1395	1490	1058					
11	Число полученных открепительных  удостоверений	111	38	37	36					
12	Число выданных открепительных удостоверений	111	38	37	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	5	12	7					
14	Число неиспользованных открепительных удостоверений	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	2	4	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	183	72	66	45					
		4.61%	5.14%	4.38%	4.23%					
19	. Малышкин Олег Александрович	120	44	43	33					
		3.02%	3.14%	2.85%	3.10%					
20	. Миронов Сергей Михайлович	28	9	10	9					
		0.70%	0.64%	0.66%	0.85%					
21	. Путин Владимир Владимирович	2697	931	997	769					
		67.90%	66.45%	66.16%	72.27%					
22	. Хакамада Ирина Муцуовна	117	46	49	22					
		2.95%	3.28%	3.25%	2.07%					
23	. Харитонов Николай Михайлович	609	233	241	135					
		15.33%	16.63%	15.99%	12.69%					
										
24	Против всех	189	60	84	45					
		4.76%	4.28%	5.57%	4.23%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
