Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Суздальская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342									
		7.95%	7.33%	7.50%	8.47%	7.92%	7.94%	7.54%	6.23%	5.98%	8.44%	8.88%	8.12%	9.90%	7.24%	9.22%	2.52%	7.99%	8.41%	10.22%	8.83%	8.96%	9.30%	7.56%	4.37%	9.59%	6.25%	9.30%	11.04%	10.01%	4.94%	11.41%	5.93%	11.85%	7.14%	7.78%	8.82%	5.68%	7.89%	4.18%	9.79%	6.76%	6.72%	7.22%	7.32%	8.63%									
16	Путин Владимир Владимирович	17641	851	759	324	158	136	552	760	293	238	220	482	228	804	232	129	385	310	202	594	355	374	283	295	950	191	160	363	537	64	280	262	202	611	73	160	68	317	252	288	762	500	905	881	851									
		74.83%	75.18%	78.01%	74.14%	78.22%	71.96%	75.72%	77.63%	79.62%	77.27%	72.37%	73.81%	75.25%	74.65%	64.80%	81.13%	71.56%	72.43%	73.72%	77.14%	75.69%	77.27%	79.27%	86.01%	74.69%	79.58%	74.42%	72.89%	72.67%	79.01%	67.96%	74.01%	74.81%	75.25%	81.11%	78.43%	77.27%	80.66%	81.03%	76.19%	73.55%	72.99%	71.77%	70.88%	73.43%									
17	Собчак Ксения Анатольевна	342	21	15	5	1	2	8	17	3	5	5	7	3	18	4	1	15	6	4	7	5	3	0	3	19	2	5	5	2	0	10	2	3	11	0	3	4	4	5	3	17	18	28	24	19									
		1.45%	1.86%	1.54%	1.14%	0.50%	1.06%	1.10%	1.74%	0.82%	1.62%	1.64%	1.07%	0.99%	1.67%	1.12%	0.63%	2.79%	1.40%	1.46%	0.91%	1.07%	0.62%	0.00%	0.87%	1.49%	0.83%	2.33%	1.00%	0.27%	0.00%	2.43%	0.56%	1.11%	1.35%	0.00%	1.47%	4.55%	1.02%	1.61%	0.79%	1.64%	2.63%	2.22%	1.93%	1.64%									
18	Сурайкин Максим Александрович	132	5	4	2	0	4	4	1	2	2	3	6	1	6	2	4	3	3	0	3	1	4	0	4	6	0	2	1	5	0	3	2	1	5	1	0	0	2	3	3	9	3	7	6	9									
		0.56%	0.44%	0.41%	0.46%	0.00%	2.12%	0.55%	0.10%	0.54%	0.65%	0.99%	0.92%	0.33%	0.56%	0.56%	2.52%	0.56%	0.70%	0.00%	0.39%	0.21%	0.83%	0.00%	1.17%	0.47%	0.00%	0.93%	0.20%	0.68%	0.00%	0.73%	0.56%	0.37%	0.62%	1.11%	0.00%	0.00%	0.51%	0.96%	0.79%	0.87%	0.44%	0.56%	0.48%	0.78%									
19	Титов Борис Юрьевич	183	5	12	0	2	3	10	8	2	3	2	1	2	10	7	1	6	3	2	7	4	2	6	0	8	1	1	0	3	1	2	2	0	6	0	4	1	3	1	5	9	2	20	14	2									
		0.78%	0.44%	1.23%	0.00%	0.99%	1.59%	1.37%	0.82%	0.54%	0.97%	0.66%	0.15%	0.66%	0.93%	1.96%	0.63%	1.12%	0.70%	0.73%	0.91%	0.85%	0.41%	1.68%	0.00%	0.63%	0.42%	0.47%	0.00%	0.41%	1.23%	0.49%	0.56%	0.00%	0.74%	0.00%	1.96%	1.14%	0.76%	0.32%	1.32%	0.87%	0.29%	1.59%	1.13%	0.17%									
20	Явлинский Григорий Алексеевич	165	7	9	4	3	0	8	10	0	1	1	5	1	2	8	3	4	1	0	2	1	6	1	0	9	2	1	3	2	2	3	1	0	9	0	1	0	5	0	5	3	7	11	18	6									
