Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Суздальская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332					
1	"Число избирателей, внесенных в список"	29815	1673	1716	825	516	590	371	198	1594	1032	1576	403	1023	400	1277	403	127	660	512	441	2658	1110	196	201	373	529	335	1837	327	216	1634	136	269	158	1180	262	131	682	659	455	636	494					
2	Число полученных избирательных бюллетеней	30250	1705	1755	860	530	590	375	210	1650	1080	1575	415	1035	425	1280	435	105	680	510	450	2640	1125	195	205	375	545	340	1865	335	220	1650	140	270	160	1200	260	130	655	670	460	650	495					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17079	929	889	527	307	351	237	117	925	571	804	249	559	269	741	233	75	469	376	312	1373	640	137	81	209	331	177	1052	165	129	862	84	132	80	691	142	69	349	426	299	333	378					
5	"Число избирательных бюллетеней, выданных вне помещения"	2169	90	71	84	51	65	28	39	22	124	162	55	85	23	87	51	18	48	33	8	68	16	11	51	20	82	61	42	42	7	73	16	68	24	53	32	25	93	70	38	105	28					
6	Число погашенных избирательных бюллетеней	11002	686	795	249	172	174	110	54	703	385	609	111	391	133	452	151	12	163	101	130	1199	469	47	73	146	132	102	771	128	84	715	40	70	56	456	86	36	213	174	123	212	89					
7	Число избирательных бюллетеней в переносных ящиках	2169	90	71	84	51	65	28	39	22	124	162	55	85	23	87	51	18	48	33	8	68	16	11	51	20	82	61	42	42	7	73	16	68	24	53	32	25	93	70	38	105	28					
8	Число бюллетеней в стационарных ящиках для голосования	17079	929	889	527	307	351	237	117	925	571	804	249	559	269	741	233	75	469	376	312	1373	640	137	81	209	331	177	1052	165	129	862	84	132	80	691	142	69	349	426	299	333	378					
9	Число недействительных избирательных бюллетеней	181	2	13	4	4	2	0	0	2	7	6	2	2	3	13	4	0	0	5	2	13	5	0	1	4	3	0	21	1	2	5	0	3	2	11	2	0	8	4	4	6	15					
10	Число действительных избирательных бюллетеней	19067	1017	947	607	354	414	265	156	945	688	960	302	642	289	815	280	93	517	404	318	1428	651	148	131	225	410	238	1073	206	134	930	100	197	102	733	172	94	434	492	333	432	391					
