Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Палласовская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380					
1	"Число избирателей, внесенных в список"	31131	1272	1257	1214	1162	1015	1456	1352	1176	1791	241	243	101	1202	1271	140	320	239	1475	424	381	873	90	1250	226	163	1412	125	123	1100	136	138	272	784	147	1478	923	764	551	340	1716	97	195	239	104	113	40					
2	Число полученных избирательных бюллетеней	31397	1255	1265	1095	1160	1030	1425	1375	1180	1855	243	220	100	1210	1265	138	450	250	1527	435	380	880	106	1275	210	163	1410	125	125	1205	172	154	262	800	148	1485	955	725	565	365	1660	93	183	213	106	112	42					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16044	626	596	617	614	504	623	661	548	886	127	173	70	622	710	100	281	157	737	201	181	480	53	626	115	77	768	66	66	673	74	87	188	373	53	676	462	414	271	204	843	69	92	125	51	77	27					
5	"Число избирательных бюллетеней, выданных вне помещения"	2731	83	120	162	77	68	67	82	94	43	45	32	7	102	60	0	39	10	51	49	61	121	37	146	22	19	38	19	16	36	57	38	6	88	37	216	186	67	33	73	85	6	49	42	23	19	0					
6	Число погашенных избирательных бюллетеней	12622	546	549	316	469	458	735	632	538	926	71	15	23	486	495	38	130	83	739	185	138	279	16	503	73	67	604	40	43	496	41	29	68	339	58	593	307	244	261	88	732	18	42	46	32	16	15					
7	Число избирательных бюллетеней в переносных ящиках	2730	83	120	162	77	68	66	82	94	43	45	32	7	102	60	0	39	10	51	49	61	121	37	146	22	19	38	19	16	36	57	38	6	88	37	216	186	67	33	73	85	6	49	42	23	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	16042	626	596	617	614	504	621	661	548	886	127	173	70	622	710	100	281	157	737	201	181	480	53	626	115	77	768	66	66	673	74	87	188	373	53	676	462	414	271	204	843	69	92	125	51	77	27					
9	Число недействительных избирательных бюллетеней	230	11	4	5	6	5	14	4	14	9	0	2	2	10	4	0	5	6	13	2	3	7	0	8	3	2	2	2	1	4	4	1	0	6	0	19	7	6	6	2	15	3	0	7	5	1	0					
10	Число действительных избирательных бюллетеней	18542	698	712	774	685	567	673	739	628	920	172	203	75	714	766	100	315	161	775	248	239	594	90	764	134	94	804	83	81	705	127	124	194	455	90	873	641	475	298	275	913	72	141	160	69	95	27					
11	Число полученных открепительных  удостоверений	495	25	25	25	25	25	25	25	25	25	0	0	0	25	25	0	10	0	25	0	0	15	0	20	0	0	25	0	0	15	10	0	0	10	0	15	15	15	10	10	25	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	100	0	5	7	6	5	4	3	1	6	0	0	0	11	1	0	1	0	5	0	0	2	0	4	0	0	2	0	0	7	2	0	0	3	0	1	0	3	5	10	6	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	0	0	9	1	5	2	0	1	5	0	0	0	2	2	0	1	0	2	0	0	0	0	0	1	0	3	0	0	2	0	0	0	2	0	4	1	10	0	0	8	0	0	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	395	25	20	18	19	20	21	22	24	19	0	0	0	14	24	0	9	0	20	0	0	13	0	16	0	0	23	0	0	8	8	0	0	7	0	14	15	12	5	0	19	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	447	27	22	22	30	20	14	12	25	37	1	4	3	12	27	2	9	4	18	7	8	4	0	6	1	0	22	0	3	21	0	1	7	9	0	7	9	8	7	2	31	2	0	0	2	1	0					
		2.38%	3.81%	3.07%	2.82%	4.34%	3.50%	2.04%	1.62%	3.89%	3.98%	0.58%	1.95%	3.90%	1.66%	3.51%	2.00%	2.81%	2.40%	2.28%	2.80%	3.31%	0.67%	0.00%	0.78%	0.73%	0.00%	2.73%	0.00%	3.66%	2.96%	0.00%	0.80%	3.61%	1.95%	0.00%	0.78%	1.39%	1.66%	2.30%	0.72%	3.34%	2.67%	0.00%	0.00%	2.70%	1.04%	0.00%					
19	. Малышкин Олег Александрович	334	17	15	21	15	9	20	17	4	19	1	0	2	9	15	6	8	0	16	6	4	14	0	7	1	0	11	3	1	10	2	4	6	2	1	14	19	7	4	4	9	2	4	4	1	0	0					
		1.78%	2.40%	2.09%	2.70%	2.17%	1.57%	2.91%	2.29%	0.62%	2.05%	0.58%	0.00%	2.60%	1.24%	1.95%	6.00%	2.50%	0.00%	2.03%	2.40%	1.65%	2.33%	0.00%	0.91%	0.73%	0.00%	1.36%	3.53%	1.22%	1.41%	1.53%	3.20%	3.09%	0.43%	1.11%	1.57%	2.93%	1.46%	1.32%	1.44%	0.97%	2.67%	2.84%	2.40%	1.35%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	102	4	3	4	2	2	0	8	1	4	2	1	0	2	3	3	2	1	4	2	0	1	0	4	0	0	7	0	1	6	0	0	1	3	1	1	7	3	0	0	11	1	3	0	1	3	0					
