Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Новозыбковская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782					
1	"Число избирателей, внесенных в список"	34949	1966	2770	1752	1336	1367	1840	2451	2628	2816	1459	2540	1305	1524	2579	2520	1314	1337	1445					
2	Число полученных избирательных бюллетеней	33700	1900	2700	1700	1300	1200	1800	2400	2600	2800	1400	2500	1200	1500	2500	2500	1300	1000	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19021	1096	1399	1055	690	690	1140	1435	1404	1532	879	1452	766	798	1293	1230	699	545	918					
5	"Число избирательных бюллетеней, выданных вне помещения"	1202	25	130	32	62	37	28	53	87	56	23	100	31	40	86	67	35	283	27					
6	Число погашенных избирательных бюллетеней	13477	779	1171	613	548	473	632	912	1109	1212	498	948	403	662	1121	1203	566	172	455					
7	Число избирательных бюллетеней в переносных ящиках	1202	25	130	32	62	37	28	53	87	56	23	100	31	40	86	67	35	283	27					
8	Число бюллетеней в стационарных ящиках для голосования	19021	1096	1399	1055	690	690	1140	1435	1404	1532	879	1452	766	798	1293	1230	699	545	918					
9	Число недействительных избирательных бюллетеней	134	9	9	3	4	6	7	7	3	5	5	19	5	3	13	10	3	16	7					
10	Число действительных избирательных бюллетеней	20089	1112	1520	1084	748	721	1161	1481	1488	1583	897	1533	792	835	1366	1287	731	812	938					
11	Число полученных открепительных  удостоверений	650	30	30	30	30	50	30	30	30	30	110	30	30	40	30	30	30	30	30					
12	Число выданных открепительных удостоверений	282	4	3	13	3	39	15	22	15	13	79	16	1	28	6	10	7	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	233	4	2	8	3	4	9	7	9	8	30	7	9	5	3	3	6	115	1					
14	Число неиспользованных открепительных удостоверений	368	26	27	17	27	11	15	8	15	17	31	14	29	12	24	20	23	26	26					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	1	0	1	0	2	0	0	1	2	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	874	36	64	45	29	25	64	75	73	59	34	68	33	34	60	38	51	30	56					
		4.32%	3.21%	4.19%	4.14%	3.86%	3.44%	5.48%	5.04%	4.90%	3.72%	3.77%	4.38%	4.14%	4.06%	4.35%	2.93%	6.95%	3.62%	5.93%					
19	. Малышкин Олег Александрович	386	19	41	25	14	9	15	17	36	32	18	21	10	18	23	32	17	24	15					
		1.91%	1.69%	2.68%	2.30%	1.86%	1.24%	1.28%	1.14%	2.41%	2.02%	2.00%	1.35%	1.25%	2.15%	1.67%	2.47%	2.32%	2.90%	1.59%					
20	. Миронов Сергей Михайлович	185	4	8	10	6	10	12	16	17	28	2	12	1	10	19	14	6	4	6					
		0.91%	0.36%	0.52%	0.92%	0.80%	1.38%	1.03%	1.08%	1.14%	1.76%	0.22%	0.77%	0.13%	1.19%	1.38%	1.08%	0.82%	0.48%	0.63%					
21	. Путин Владимир Владимирович	13665	774	1050	740	498	492	790	1030	951	1080	648	1009	552	558	903	910	496	571	613					
		67.57%	69.05%	68.67%	68.08%	66.22%	67.68%	67.64%	69.22%	63.78%	68.01%	71.84%	65.01%	69.26%	66.59%	65.48%	70.16%	67.57%	68.96%	64.87%					
22	. Хакамада Ирина Муцуовна	376	23	14	27	9	12	25	29	30	33	19	36	15	17	17	21	16	12	21					
		1.86%	2.05%	0.92%	2.48%	1.20%	1.65%	2.14%	1.95%	2.01%	2.08%	2.11%	2.32%	1.88%	2.03%	1.23%	1.62%	2.18%	1.45%	2.22%					
23	. Харитонов Николай Михайлович	3892	229	289	199	167	138	213	259	327	286	133	329	165	173	302	238	119	143	183					
		19.25%	20.43%	18.90%	18.31%	22.21%	18.98%	18.24%	17.41%	21.93%	18.01%	14.75%	21.20%	20.70%	20.64%	21.90%	18.35%	16.21%	17.27%	19.37%					
																									
24	Против всех	711	27	54	38	25	35	42	55	54	65	43	58	16	25	42	34	26	28	44					
		3.52%	2.41%	3.53%	3.50%	3.32%	4.81%	3.60%	3.70%	3.62%	4.09%	4.77%	3.74%	2.01%	2.98%	3.05%	2.62%	3.54%	3.38%	4.66%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
