Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Нижнесергинская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, включенных в списки избирателей"	38593	968	698	1508	1447	1507	839	536	723	1217	755	1572	1622	1559	1641	992	446	1400	1426	952	1372	1542	1473	1212	1109	453	141	747	312	73	726	249	144	166	140	186	287	336	120	399	328	613	393	544	110	694	603	226	507	577	1003					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37500	930	650	1470	1430	1440	850	530	670	1170	710	1520	1520	1530	1600	960	410	1350	1400	890	1330	1500	1450	1190	1090	450	135	750	320	75	750	260	155	170	135	190	290	340	110	410	320	600	370	550	100	720	600	220	490	500	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	19646	411	289	732	755	722	471	161	360	559	374	732	769	713	789	431	215	729	895	479	813	716	480	620	604	267	100	367	123	51	468	103	92	95	74	136	170	208	78	228	227	412	245	352	63	378	351	122	247	268	602					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2018	101	44	48	40	63	25	55	23	54	36	37	94	30	83	162	43	42	24	45	31	90	76	60	87	20	5	61	40	0	27	23	5	17	17	10	8	4	7	8	16	25	19	29	16	46	32	14	71	90	15					
6	Число погашенных избирательных бюллетеней	15836	418	317	690	635	655	354	314	287	557	300	751	657	787	728	367	152	579	481	366	486	694	894	510	399	163	30	322	157	24	255	134	58	58	44	44	112	128	25	174	77	163	106	169	21	296	217	84	172	142	283					
