Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Владивосток, Первореченская"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №1334	УИК №1335	УИК №1336					
1	"Число избирателей, внесенных в список"	93775	1995	2140	1518	2003	2486	2203	2585	2407	2697	2603	2689	2496	2025	2374	2621	2600	1185	1774	2357	1391	2607	2430	1055	2479	2386	2315	1835	2492	2300	2080	2308	2149	2612	2518	2246	1434	1617	1060	2074	2314	1952	1117	1356	455	467	304	525	353	152	507	127					
2	Число полученных избирательных бюллетеней	89645	1880	2030	1480	1940	2410	2400	2570	2320	2530	2530	2610	2240	1970	2100	2370	2490	1070	1760	2230	1450	2270	2580	980	2200	2170	2350	1790	2480	2370	1930	2320	2200	2290	2410	1860	1320	1630	970	2070	2120	1600	930	1135	500	550	400	580	380	180	550	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	58627	1310	1313	904	1175	1531	1527	1757	1747	1594	1733	1550	1381	1214	1271	1582	1467	799	1271	1552	1390	1390	1543	538	1430	1397	1605	987	1511	1433	1189	1308	1295	1584	1613	1651	861	893	568	1233	1373	1079	578	644	455	467	304	525	353	152	473	127					
5	"Число избирательных бюллетеней, выданных вне помещения"	1492	54	39	16	27	42	41	17	31	54	29	24	130	55	15	38	93	14	59	48	0	35	25	9	31	36	27	76	21	25	32	15	4	33	34	51	18	8	72	26	22	17	21	26	0	0	0	0	0	0	2	0					
6	Число погашенных избирательных бюллетеней	29526	516	678	560	738	837	832	796	542	882	768	1036	729	701	814	750	930	257	430	630	60	845	1012	433	739	737	718	727	948	912	709	997	901	673	763	158	441	729	330	811	725	504	331	465	45	83	96	55	27	28	75	23					
7	Число избирательных бюллетеней в переносных ящиках	1492	54	39	16	27	42	41	17	31	54	29	24	130	55	15	38	93	14	59	48	0	35	25	9	31	36	27	76	21	25	32	15	4	33	34	51	18	8	72	26	22	17	21	26	0	0	0	0	0	0	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	58409	1309	1309	904	1175	1531	1527	1755	1747	1592	1733	1549	1381	1213	1271	1577	1467	799	1206	1552	1388	1390	1543	536	1430	1396	1479	987	1511	1433	1189	1305	1295	1584	1612	1649	861	893	568	1233	1373	1079	578	644	455	467	304	525	353	152	473	127					
9	Число недействительных избирательных бюллетеней	418	7	8	8	4	6	8	12	10	11	9	10	9	5	8	14	20	6	9	8	4	9	5	2	10	6	13	12	14	11	8	9	16	12	9	26	12	4	10	11	9	8	8	6	1	0	3	1	1	3	3	0					
10	Число действительных избирательных бюллетеней	59483	1356	1340	912	1198	1567	1560	1760	1768	1635	1753	1563	1502	1263	1278	1601	1540	807	1256	1592	1384	1416	1563	543	1451	1426	1493	1051	1518	1447	1213	1311	1283	1605	1637	1674	867	897	630	1248	1386	1088	591	664	454	467	301	524	352	149	472	127					
11	Число полученных открепительных  удостоверений	2074	45	32	35	32	30	33	50	45	50	50	45	30	33	45	35	40	25	33	35	300	40	55	20	50	37	40	45	45	40	40	50	60	30	40	155	100	40	20	35	25	45	19	20	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1852	37	31	32	30	30	33	43	40	45	41	33	30	29	34	33	37	25	32	35	285	35	51	10	48	37	40	32	37	40	28	35	47	29	40	125	100	38	10	35	20	41	19	20	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1451	13	27	22	20	20	20	22	21	26	28	21	18	35	17	17	15	56	33	24	11	40	19	75	69	32	15	20	22	5	23	19	12	88	25	15	12	20	44	23	17	69	56	71	62	24	55	0	17	5	18	13					
14	Число неиспользованных открепительных удостоверений	222	8	1	3	2	0	0	7	5	5	9	12	0	4	11	2	3	0	1	0	15	5	4	10	2	0	0	13	8	0	12	15	13	1	0	30	0	2	10	0	5	4	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	148	6	4	1	3	1	3	1	4	0	9	7	5	2	3	3	4	4	5	5	5	23	6	1	3	4	1	1	2	8	4	1	1	2	0	4	2	2	1	0	3	1	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	4290	92	122	73	98	136	138	135	125	136	91	136	102	98	97	123	132	49	104	130	26	101	132	45	111	113	98	108	116	103	121	98	71	145	156	25	33	56	54	117	120	92	42	31	11	6	14	9	8	3	8	0					
		7.16%	6.75%	9.05%	7.93%	8.15%	8.65%	8.80%	7.62%	7.03%	8.26%	5.16%	8.65%	6.75%	7.73%	7.54%	7.62%	8.46%	6.03%	8.22%	8.12%	1.87%	7.09%	8.42%	8.26%	7.60%	7.89%	6.51%	10.16%	7.57%	7.06%	9.91%	7.42%	5.47%	8.97%	9.48%	1.47%	3.75%	6.22%	8.44%	9.29%	8.60%	8.39%	7.01%	4.63%	2.42%	1.28%	4.61%	1.71%	2.27%	1.97%	1.68%	0.00%					
19	. Малышкин Олег Александрович	2097	55	45	22	47	60	58	77	68	72	60	60	48	50	52	53	40	22	42	45	20	48	53	12	39	51	63	36	57	66	43	59	55	36	59	45	45	36	17	46	31	59	32	23	9	7	11	25	15	5	16	2					
		3.50%	4.04%	3.34%	2.39%	3.91%	3.81%	3.70%	4.35%	3.82%	4.37%	3.41%	3.81%	3.18%	3.94%	4.04%	3.28%	2.56%	2.71%	3.32%	2.81%	1.44%	3.37%	3.38%	2.20%	2.67%	3.56%	4.18%	3.39%	3.72%	4.53%	3.52%	4.47%	4.23%	2.23%	3.58%	2.65%	5.12%	4.00%	2.66%	3.65%	2.22%	5.38%	5.34%	3.43%	1.98%	1.50%	3.62%	4.76%	4.25%	3.29%	3.37%	1.57%					
20	. Миронов Сергей Михайлович	568	15	11	5	15	21	17	17	22	15	20	19	13	13	13	22	10	4	9	17	5	13	16	4	16	10	21	7	11	14	15	11	11	22	15	10	11	9	6	11	17	6	7	8	3	3	4	2	1	0	1	0					
		0.95%	1.10%	0.82%	0.54%	1.25%	1.34%	1.08%	0.96%	1.24%	0.91%	1.14%	1.21%	0.86%	1.03%	1.01%	1.36%	0.64%	0.49%	0.71%	1.06%	0.36%	0.91%	1.02%	0.73%	1.10%	0.70%	1.39%	0.66%	0.72%	0.96%	1.23%	0.83%	0.85%	1.36%	0.91%	0.59%	1.25%	1.00%	0.94%	0.87%	1.22%	0.55%	1.17%	1.19%	0.66%	0.64%	1.32%	0.38%	0.28%	0.00%	0.21%	0.00%					
21	. Путин Владимир Владимирович	34445	738	708	493	647	795	868	1089	1091	856	1039	847	826	711	693	900	845	537	689	940	1233	870	885	332	774	787	798	572	845	792	601	725	733	837	780	1346	629	513	355	617	717	590	347	423	330	342	199	351	234	122	342	112					
		57.50%	54.15%	52.52%	53.59%	53.83%	50.54%	55.36%	61.46%	61.36%	52.00%	58.97%	53.85%	54.67%	56.07%	53.89%	55.73%	54.17%	66.05%	54.47%	58.75%	88.83%	61.05%	56.44%	60.92%	52.98%	54.96%	52.99%	53.81%	55.16%	54.32%	49.22%	54.92%	56.43%	51.76%	47.39%	79.18%	71.56%	56.94%	55.47%	49.01%	51.40%	53.83%	57.93%	63.13%	72.53%	73.23%	65.46%	66.86%	66.29%	80.26%	72.00%	88.19%					
22	. Хакамада Ирина Муцуовна	5128	127	113	86	109	155	134	126	137	166	165	128	129	87	145	119	118	59	96	131	25	104	139	62	160	128	160	78	158	129	105	112	145	183	201	88	55	76	71	130	131	96	39	55	33	26	19	27	22	5	32	4					
		8.56%	9.32%	8.38%	9.35%	9.07%	9.85%	8.55%	7.11%	7.71%	10.09%	9.36%	8.14%	8.54%	6.86%	11.28%	7.37%	7.56%	7.26%	7.59%	8.19%	1.80%	7.30%	8.86%	11.38%	10.95%	8.94%	10.62%	7.34%	10.31%	8.85%	8.60%	8.48%	11.16%	11.32%	12.21%	5.18%	6.26%	8.44%	11.09%	10.33%	9.39%	8.76%	6.51%	8.21%	7.25%	5.57%	6.25%	5.14%	6.23%	3.29%	6.74%	3.15%					
23	. Харитонов Николай Михайлович	8369	234	251	157	177	283	243	204	220	247	243	247	286	219	184	265	301	78	226	211	26	160	227	57	206	215	200	172	207	244	227	210	162	273	284	83	55	134	90	214	242	146	77	70	15	22	16	23	12	3	19	2					
		13.97%	17.17%	18.62%	17.07%	14.73%	17.99%	15.50%	11.51%	12.37%	15.01%	13.79%	15.70%	18.93%	17.27%	14.31%	16.41%	19.29%	9.59%	17.87%	13.19%	1.87%	11.23%	14.48%	10.46%	14.10%	15.01%	13.28%	16.18%	13.51%	16.74%	18.59%	15.91%	12.47%	16.88%	17.25%	4.88%	6.26%	14.87%	14.06%	17.00%	17.35%	13.32%	12.85%	10.45%	3.30%	4.71%	5.26%	4.38%	3.40%	1.97%	4.00%	1.57%					
																																																										
24	Против всех	4586	95	90	76	105	117	102	112	105	143	135	126	98	85	94	119	94	58	90	118	49	120	111	31	145	122	153	78	124	99	101	96	106	109	142	77	39	73	37	113	128	99	47	54	53	61	38	87	60	11	54	7					
		7.66%	6.97%	6.68%	8.26%	8.74%	7.44%	6.51%	6.32%	5.91%	8.69%	7.66%	8.01%	6.49%	6.70%	7.31%	7.37%	6.03%	7.13%	7.11%	7.38%	3.53%	8.42%	7.08%	5.69%	9.92%	8.52%	10.16%	7.34%	8.09%	6.79%	8.27%	7.27%	8.16%	6.74%	8.63%	4.53%	4.44%	8.10%	5.78%	8.98%	9.18%	9.03%	7.85%	8.06%	11.65%	13.06%	12.50%	16.57%	17.00%	7.24%	11.37%	5.51%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
