Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Наурская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	59	2	5	2	4	3	2	3	2	3	3	4	5	3	4	2	3	4	3	2					
		0.21%	0.22%	0.36%	0.23%	0.25%	0.16%	0.28%	0.23%	0.16%	0.26%	0.15%	0.26%	0.21%	0.12%	0.16%	0.14%	0.23%	0.29%	0.15%	0.29%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	27	1	1	0	2	2	1	2	1	1	2	1	2	2	4	1	1	1	2	0					
		0.09%	0.11%	0.07%	0.00%	0.12%	0.10%	0.14%	0.15%	0.08%	0.09%	0.10%	0.07%	0.08%	0.08%	0.16%	0.07%	0.08%	0.07%	0.10%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	2	1	0	2	1	1	1	1	0	3	2	1	2	1	1	2	3	3	1					
		0.10%	0.22%	0.07%	0.00%	0.12%	0.05%	0.14%	0.08%	0.08%	0.00%	0.15%	0.13%	0.04%	0.08%	0.04%	0.07%	0.15%	0.22%	0.15%	0.14%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	24	0	1	0	2	1	1	2	1	1	1	1	2	3	3	1	1	1	2	0					
		0.08%	0.00%	0.07%	0.00%	0.12%	0.05%	0.14%	0.15%	0.08%	0.09%	0.05%	0.07%	0.08%	0.12%	0.12%	0.07%	0.08%	0.07%	0.10%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	0	1	1	1	0	0	1	1	1	2	2	1	1	1	1	1	1	2	1					
		0.07%	0.00%	0.07%	0.11%	0.06%	0.00%	0.00%	0.08%	0.08%	0.09%	0.10%	0.13%	0.04%	0.04%	0.04%	0.07%	0.08%	0.07%	0.10%	0.14%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28572	921	1371	879	1614	1913	697	1309	1205	1126	1953	1502	2391	2396	2488	1428	1310	1383	1994	692					
		99.35%	99.35%	99.20%	99.32%	99.20%	99.64%	99.29%	99.24%	99.34%	99.29%	99.34%	99.27%	99.38%	99.46%	99.40%	99.44%	99.32%	99.21%	99.35%	99.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	20	1	1	1	1	0	0	1	2	2	1	0	2	1	2	1	1	1	1	1					
		0.07%	0.11%	0.07%	0.11%	0.06%	0.00%	0.00%	0.08%	0.16%	0.18%	0.05%	0.00%	0.08%	0.04%	0.08%	0.07%	0.08%	0.07%	0.05%	0.14%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
