Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Каргапольская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404					
1	"Число избирателей, внесенных в список"	25875	172	358	547	790	371	323	203	854	111	689	123	191	139	509	269	433	160	829	299	597	534	751	776	708	271	520	581	692	375	277	124	457	1082	207	319	471	2016	1124	619	1684	1523	1497	1071	229					
2	Число полученных избирательных бюллетеней	25114	190	350	550	800	350	300	200	800	120	700	122	190	137	500	250	430	170	800	260	600	500	700	800	700	270	500	550	650	360	290	135	460	1100	200	300	450	2000	1000	700	1600	1400	1400	1000	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15638	125	258	274	515	270	208	137	556	87	476	93	166	85	370	206	351	141	409	160	326	365	493	481	398	214	317	352	477	250	187	96	314	539	144	219	292	1092	567	381	916	838	843	535	115					
5	"Число избирательных бюллетеней, выданных вне помещения"	2060	18	21	123	80	23	21	37	22	13	73	19	0	35	25	11	0	0	33	21	33	7	27	56	44	5	73	82	56	41	47	10	39	195	25	50	69	196	119	34	58	46	56	45	72					
6	Число погашенных избирательных бюллетеней	7416	47	71	153	205	57	71	26	222	20	151	10	24	17	105	33	79	29	358	79	241	128	180	263	258	51	110	116	117	69	56	29	107	366	31	31	89	712	314	285	626	516	501	420	43					
7	Число избирательных бюллетеней в переносных ящиках	2060	18	21	123	80	23	21	37	22	13	73	19	0	35	25	11	0	0	33	21	33	7	27	56	44	5	73	82	56	41	47	10	39	195	25	50	69	196	119	34	58	46	56	45	72					
8	Число бюллетеней в стационарных ящиках для голосования	15638	125	258	274	515	270	208	137	556	87	476	93	166	85	370	206	351	141	409	160	326	365	493	481	398	214	317	352	477	250	187	96	314	539	144	219	292	1092	567	381	916	838	843	535	115					
9	Число недействительных избирательных бюллетеней	136	0	3	2	10	2	2	2	4	0	2	0	0	0	1	3	6	1	4	1	5	2	3	7	5	3	3	3	7	0	2	0	1	1	2	3	5	3	7	5	6	4	7	4	5					
10	Число действительных избирательных бюллетеней	17562	143	276	395	585	291	227	172	574	100	547	112	166	120	394	214	345	140	438	180	354	370	517	530	437	216	387	431	526	291	232	106	352	733	167	266	356	1285	679	410	968	880	892	576	182					
11	Число полученных открепительных  удостоверений	662	5	10	15	20	10	5	5	20	5	20	5	5	5	15	6	15	5	20	10	20	15	20	20	20	10	15	15	20	15	10	5	15	25	5	10	10	50	25	15	30	30	30	25	6					
