Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Эвено-Бытантайская										
										
Итоги голосования 										
										
		Сумма	УИК  701	УИК  702	УИК  703					
1	"Число избирателей, внесенных в список"	1667	166	1111	390					
2	Число полученных избирательных бюллетеней	1800	190	1171	439					
3	"Число избирательных бюллетеней, выданных  досрочно"	171	40	99	32					
4	"Число избирательных бюллетеней, выданных в день голосования"	1087	116	640	331					
5	"Число избирательных бюллетеней, выданных вне помещения"	145	7	117	21					
6	Число погашенных избирательных бюллетеней	397	27	315	55					
7	Число избирательных бюллетеней в переносных ящиках	316	47	216	53					
8	Число бюллетеней в стационарных ящиках для голосования	1087	116	640	331					
9	Число недействительных избирательных бюллетеней	10	1	7	2					
10	Число действительных избирательных бюллетеней	1393	162	849	382					
11	Число полученных открепительных  удостоверений	187	50	77	60					
12	Число выданных открепительных удостоверений	69	10	23	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	2	24	1					
14	Число неиспользованных открепительных удостоверений	118	40	54	24					
15	"Число открепительных удостоверений, выданных в ТИК"	13	3	10	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	41	4	24	13					
		2.92%	2.45%	2.80%	3.39%					
19	. Малышкин Олег Александрович	6	0	6	0					
		0.43%	0.00%	0.70%	0.00%					
20	. Миронов Сергей Михайлович	8	2	3	3					
		0.57%	1.23%	0.35%	0.78%					
21	. Путин Владимир Владимирович	1090	140	629	321					
		77.69%	85.89%	73.48%	83.59%					
22	. Хакамада Ирина Муцуовна	60	6	49	5					
		4.28%	3.68%	5.72%	1.30%					
23	. Харитонов Николай Михайлович	172	7	126	39					
		12.26%	4.29%	14.72%	10.16%					
										
24	Против всех	16	3	12	1					
		1.14%	1.84%	1.40%	0.26%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
