Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Ягоднинская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  147	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158					
1	"Число избирателей, внесенных в список"	10101	246	368	1569	1882	351	615	1159	1669	575	1667					
2	Число полученных избирательных бюллетеней	10263	294	334	1514	1740	330	647	1342	1794	587	1681					
3	"Число избирательных бюллетеней, выданных  досрочно"	94	0	0	0	0	0	0	33	61	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5937	218	215	858	1055	166	371	651	972	371	1060					
5	"Число избирательных бюллетеней, выданных вне помещения"	251	0	27	21	54	47	29	9	17	13	34					
6	Число погашенных избирательных бюллетеней	3978	76	92	635	628	117	247	649	744	203	587					
7	Число избирательных бюллетеней в переносных ящиках	345	0	27	21	54	47	29	42	78	13	34					
8	Число бюллетеней в стационарных ящиках для голосования	5932	218	215	854	1055	166	371	651	971	371	1060					
9	Число недействительных избирательных бюллетеней	45	4	2	2	13	3	4	7	1	5	4					
10	Число действительных избирательных бюллетеней	6232	214	240	873	1096	210	396	686	1048	379	1090					
11	Число полученных открепительных  удостоверений	366	10	15	50	50	15	36	50	50	40	50					
12	Число выданных открепительных удостоверений	59	2	0	5	8	0	6	11	8	7	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	1	2	1	7	0	1	2	32	2	4					
14	Число неиспользованных открепительных удостоверений	307	8	15	45	42	15	30	39	42	33	38					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	2	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	3	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	249	5	7	15	36	6	20	28	50	14	68					
		3.97%	2.29%	2.89%	1.71%	3.25%	2.82%	5.00%	4.04%	4.77%	3.65%	6.22%					
19	. Малышкин Олег Александрович	314	10	5	41	51	17	9	35	45	14	87					
		5.00%	4.59%	2.07%	4.69%	4.60%	7.98%	2.25%	5.05%	4.29%	3.65%	7.95%					
20	. Миронов Сергей Михайлович	58	1	1	10	7	4	7	4	9	6	9					
		0.92%	0.46%	0.41%	1.14%	0.63%	1.88%	1.75%	0.58%	0.86%	1.56%	0.82%					
21	. Путин Владимир Владимирович	4364	153	166	625	747	132	305	469	732	280	755					
		69.52%	70.18%	68.60%	71.43%	67.36%	61.97%	76.25%	67.68%	69.78%	72.92%	69.01%					
22	. Хакамада Ирина Муцуовна	339	5	14	47	68	11	11	42	81	11	49					
		5.40%	2.29%	5.79%	5.37%	6.13%	5.16%	2.75%	6.06%	7.72%	2.86%	4.48%					
23	. Харитонов Николай Михайлович	672	34	40	101	137	23	42	80	80	48	87					
		10.71%	15.60%	16.53%	11.54%	12.35%	10.80%	10.50%	11.54%	7.63%	12.50%	7.95%					
																	
24	Против всех	236	6	7	34	50	17	2	28	51	6	35					
		3.76%	2.75%	2.89%	3.89%	4.51%	7.98%	0.50%	4.04%	4.86%	1.56%	3.20%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
