Выборы Президента Российской Федерации																																	
																																	
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986					
1	"Число избирателей, внесенных в список"	56402	1863	2182	1976	1508	1912	2184	2397	1727	1780	1602	1969	2144	2211	2578	2378	2353	1793	2250	1521	2633	2549	1396	2646	3025	2852	2973					
2	Число полученных избирательных бюллетеней	54800	1800	2200	1900	1500	1900	2100	2300	1600	1700	1500	2000	2100	2200	2600	2300	2400	1600	2200	1500	2200	2500	1500	2600	3000	2600	3000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34303	1188	1448	1270	896	1139	1310	1481	1125	1139	1005	1145	1220	1365	1610	1365	1452	1200	1386	905	1663	1597	816	1571	1753	1424	1830					
5	"Число избирательных бюллетеней, выданных вне помещения"	1214	21	165	38	24	30	52	29	33	61	42	27	64	42	41	23	51	40	50	30	14	53	9	43	73	123	36					
6	Число погашенных избирательных бюллетеней	19283	591	587	592	580	731	738	790	442	500	453	828	816	793	949	912	897	360	764	565	523	850	675	986	1174	1053	1134					
7	Число избирательных бюллетеней в переносных ящиках	1184	21	135	38	24	30	52	29	33	61	42	27	64	42	41	23	51	40	50	30	14	53	9	43	73	123	36					
8	Число бюллетеней в стационарных ящиках для голосования	34257	1186	1429	1267	895	1139	1309	1480	1124	1137	1003	1145	1217	1365	1610	1364	1452	1199	1386	905	1662	1594	814	1569	1753	1424	1829					
9	Число недействительных избирательных бюллетеней	196	8	7	2	2	14	13	4	7	4	2	12	4	10	11	9	8	2	15	5	5	5	5	9	15	8	10					
10	Число действительных избирательных бюллетеней	35245	1199	1557	1303	917	1155	1348	1505	1150	1194	1043	1160	1277	1397	1640	1378	1495	1237	1421	930	1671	1642	818	1603	1811	1539	1855					
11	Число полученных открепительных  удостоверений	693	20	30	20	20	24	44	40	20	20	20	20	30	30	30	30	30	20	20	30	30	25	20	30	30	30	30					
12	Число выданных открепительных удостоверений	477	6	28	13	10	18	44	33	18	12	10	12	15	21	11	23	24	13	14	18	26	15	12	19	18	19	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	405	14	30	19	11	10	15	26	13	15	18	24	20	12	21	16	4	12	16	18	22	11	6	10	17	6	19					
14	Число неиспользованных открепительных удостоверений	216	14	2	7	10	6	0	7	2	8	10	8	15	9	19	7	6	7	6	12	4	10	8	11	12	11	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
