Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Краснокамская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718					
1	"Число избирателей, внесенных в список"	19538	559	312	493	180	445	419	429	284	150	368	825	461	202	266	405	187	219	290	517	458	1254	1328	479	303	220	226	502	878	424	233	293	423	396	210	108	382	1473	1464	1473					
2	Число полученных избирательных бюллетеней	19521	559	325	491	177	423	410	422	279	150	355	825	455	196	264	404	187	219	295	526	457	1258	1346	481	297	217	222	512	878	427	232	300	412	388	211	116	403	1467	1480	1455					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16703	499	249	404	129	309	153	400	274	123	103	717	349	182	227	390	162	187	247	339	441	1209	1291	408	268	178	195	450	796	383	214	266	373	362	183	99	351	1284	1216	1293					
5	"Число избирательных бюллетеней, выданных вне помещения"	1597	48	63	55	42	32	179	16	5	17	251	35	79	9	26	12	18	23	36	32	4	21	7	57	29	37	27	38	37	30	16	21	38	23	27	9	20	91	50	37					
6	Число погашенных избирательных бюллетеней	1221	12	13	32	6	82	78	6	0	10	1	73	27	5	11	2	7	9	12	155	12	28	48	16	0	2	0	24	45	14	2	13	1	3	1	8	32	92	214	125					
7	Число избирательных бюллетеней в переносных ящиках	1597	48	63	55	42	32	179	16	5	17	251	35	79	9	26	12	18	23	36	32	4	21	7	57	29	37	27	38	37	30	16	21	38	23	27	9	20	91	50	37					
8	Число бюллетеней в стационарных ящиках для голосования	16703	499	249	404	129	309	153	400	274	123	103	717	349	182	227	390	162	187	247	339	441	1209	1291	408	268	178	195	450	796	383	214	266	373	362	183	99	351	1284	1216	1293					
9	Число недействительных избирательных бюллетеней	300	7	0	0	2	3	7	0	2	0	0	2	2	2	6	4	6	1	0	3	1	2	0	3	0	0	1	3	6	0	2	4	0	3	0	3	1	10	203	11					
10	Число действительных избирательных бюллетеней	18000	540	312	459	169	338	325	416	277	140	354	750	426	189	247	398	174	209	283	368	444	1228	1298	462	297	215	221	485	827	413	228	283	411	382	210	105	370	1365	1063	1319					
11	Число полученных открепительных  удостоверений	349	10	7	5	5	10	5	5	0	0	5	8	8	8	5	6	5	5	5	17	6	20	20	8	8	5	5	8	10	5	5	5	6	5	5	5	5	25	35	39					
12	Число выданных открепительных удостоверений	194	3	2	5	0	5	1	2	0	0	2	2	2	0	0	1	0	0	0	12	6	10	19	3	1	1	1	5	10	3	0	0	2	1	2	3	0	21	34	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	196	7	5	6	3	28	9	11	4	2	4	4	2	5	3	2	2	0	0	5	7	7	3	2	1	2	4	4	10	8	3	1	14	5	1	2	1	6	7	6					
14	Число неиспользованных открепительных удостоверений	155	7	5	0	5	5	4	3	0	0	3	6	6	8	5	5	5	5	5	5	0	10	1	5	7	4	4	3	0	2	5	5	4	4	3	2	5	4	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	191	2	0	0	0	6	3	0	0	1	0	5	6	1	0	3	2	1	2	10	1	2	9	0	1	2	1	4	6	0	3	4	1	0	0	0	0	37	37	41					
		1.04%	0.37%	0.00%	0.00%	0.00%	1.76%	0.90%	0.00%	0.00%	0.71%	0.00%	0.66%	1.40%	0.52%	0.00%	0.75%	1.11%	0.48%	0.71%	2.70%	0.22%	0.16%	0.69%	0.00%	0.34%	0.93%	0.45%	0.82%	0.72%	0.00%	1.30%	1.39%	0.24%	0.00%	0.00%	0.00%	0.00%	2.69%	2.92%	3.08%					
19	. Малышкин Олег Александрович	95	7	2	0	0	6	6	0	1	0	0	2	2	3	1	1	3	0	2	8	1	4	2	0	1	0	0	1	0	0	0	0	0	1	0	0	1	15	14	11					
		0.52%	1.28%	0.64%	0.00%	0.00%	1.76%	1.81%	0.00%	0.36%	0.00%	0.00%	0.27%	0.47%	1.57%	0.40%	0.25%	1.67%	0.00%	0.71%	2.16%	0.22%	0.33%	0.15%	0.00%	0.34%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.27%	1.09%	1.11%	0.83%					
20	. Миронов Сергей Михайлович	46	3	0	0	0	1	3	0	0	1	0	1	1	0	0	1	0	0	0	2	0	1	4	0	1	0	1	1	5	0	1	0	0	0	0	0	0	5	3	11					
		0.25%	0.55%	0.00%	0.00%	0.00%	0.29%	0.90%	0.00%	0.00%	0.71%	0.00%	0.13%	0.23%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.54%	0.00%	0.08%	0.31%	0.00%	0.34%	0.00%	0.45%	0.20%	0.60%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.24%	0.83%					
21	. Путин Владимир Владимирович	16573	486	284	436	167	305	299	410	275	134	354	727	396	174	239	382	154	190	277	295	439	1185	1223	456	290	209	217	472	725	409	208	260	404	371	209	105	360	1119	831	1097					
		90.56%	88.85%	91.03%	94.99%	97.66%	89.44%	90.06%	98.56%	98.57%	95.71%	100.00%	96.68%	92.52%	91.10%	94.47%	95.02%	85.56%	90.48%	97.88%	79.51%	98.65%	96.34%	94.22%	98.06%	97.64%	97.21%	97.75%	96.72%	87.03%	99.03%	90.43%	90.59%	98.30%	96.36%	99.52%	97.22%	97.04%	81.38%	65.64%	82.48%					
22	. Хакамада Ирина Муцуовна	163	4	1	3	0	10	9	0	0	1	0	0	4	2	3	3	1	2	0	15	1	2	7	0	1	1	0	1	6	2	3	4	2	0	0	0	0	22	29	24					
		0.89%	0.73%	0.32%	0.65%	0.00%	2.93%	2.71%	0.00%	0.00%	0.71%	0.00%	0.00%	0.93%	1.05%	1.19%	0.75%	0.56%	0.95%	0.00%	4.04%	0.22%	0.16%	0.54%	0.00%	0.34%	0.47%	0.00%	0.20%	0.72%	0.48%	1.30%	1.39%	0.49%	0.00%	0.00%	0.00%	0.00%	1.60%	2.29%	1.80%					
23	. Харитонов Николай Михайлович	832	36	22	18	2	10	5	6	1	3	0	14	16	9	2	4	13	14	1	30	2	31	51	5	2	3	2	5	81	2	13	14	2	7	1	0	8	157	119	121					
		4.55%	6.58%	7.05%	3.92%	1.17%	2.93%	1.51%	1.44%	0.36%	2.14%	0.00%	1.86%	3.74%	4.71%	0.79%	1.00%	7.22%	6.67%	0.35%	8.09%	0.45%	2.52%	3.93%	1.08%	0.67%	1.40%	0.90%	1.02%	9.72%	0.48%	5.65%	4.88%	0.49%	1.82%	0.48%	0.00%	2.16%	11.42%	9.40%	9.10%					
																																														
24	Против всех	100	2	3	2	0	0	0	0	0	0	0	1	1	0	2	4	1	2	1	8	0	3	2	1	1	0	0	1	4	0	0	1	2	3	0	0	1	10	30	14					
		0.55%	0.37%	0.96%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.23%	0.00%	0.79%	1.00%	0.56%	0.95%	0.35%	2.16%	0.00%	0.24%	0.15%	0.22%	0.34%	0.00%	0.00%	0.20%	0.48%	0.00%	0.00%	0.35%	0.49%	0.78%	0.00%	0.00%	0.27%	0.73%	2.37%	1.05%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
