Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Прохладненская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232					
1	"Число избирателей, внесенных в список"	31207	669	318	1069	346	226	285	291	859	1590	1614	499	2041	1636	259	1183	129	1873	1464	389	224	760	334	677	621	1630	2632	1303	2032	1822	818	848	400	366					
2	Число полученных избирательных бюллетеней	31216	669	322	1068	344	226	281	291	851	1590	1615	497	2057	1668	260	1185	128	1881	1457	385	230	763	334	672	625	1616	2635	1296	2009	1816	826	849	404	366					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30094	643	313	1044	336	218	271	279	829	1562	1601	475	2000	1603	258	1120	122	1808	1422	362	205	735	315	643	604	1577	2466	1244	1969	1746	786	781	391	366					
5	"Число избирательных бюллетеней, выданных вне помещения"	613	15	2	14	8	4	8	10	18	0	0	15	0	0	1	52	6	28	16	11	19	20	19	22	14	33	94	39	23	40	24	53	5	0					
6	Число погашенных избирательных бюллетеней	509	11	7	10	0	4	2	2	4	28	14	7	57	65	1	13	0	45	19	12	6	8	0	7	7	6	75	13	17	30	16	15	8	0					
7	Число избирательных бюллетеней в переносных ящиках	613	15	2	14	8	4	8	10	18	0	0	15	0	0	1	52	6	28	16	11	19	20	19	22	14	33	94	39	23	40	24	53	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	30094	643	313	1044	336	218	271	279	829	1562	1601	475	2000	1603	258	1120	122	1808	1422	362	205	735	315	643	604	1577	2466	1244	1969	1746	786	781	391	366					
9	Число недействительных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	30701	658	315	1058	344	222	279	289	847	1562	1601	487	2000	1603	259	1172	128	1836	1438	371	224	755	334	664	618	1610	2560	1283	1992	1786	810	834	396	366					
