Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Куньинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список"	9584	1478	868	342	155	243	370	337	696	304	253	260	454	386	305	272	295	316	285	160	1173	333	299					
2	Число полученных избирательных бюллетеней	9626	1510	878	350	162	239	371	340	715	298	250	260	455	379	312	273	302	321	270	159	1168	330	284					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4078	679	421	192	52	61	76	106	258	112	108	49	258	250	171	119	155	133	111	70	428	179	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	2472	98	39	17	77	116	174	141	166	150	86	167	131	94	119	119	91	96	129	51	250	60	101					
6	Число погашенных избирательных бюллетеней	3076	733	418	141	33	62	121	93	291	36	56	44	66	35	22	35	56	92	30	38	490	91	93					
7	Число избирательных бюллетеней в переносных ящиках	2472	98	39	17	77	116	174	141	166	150	86	167	131	94	119	119	91	96	129	51	250	60	101					
8	Число бюллетеней в стационарных ящиках для голосования	4078	679	421	192	52	61	76	106	258	112	108	49	258	250	171	119	155	133	111	70	428	179	90					
9	Число недействительных избирательных бюллетеней	17	4	1	0	0	0	0	1	2	0	2	0	2	1	2	0	0	0	0	0	2	0	0					
10	Число действительных избирательных бюллетеней	6533	773	459	209	129	177	250	246	422	262	192	216	387	343	288	238	246	229	240	121	676	239	191					
11	Число полученных открепительных  удостоверений	179	27	10	10	5	5	5	5	8	5	8	5	8	8	8	8	8	10	5	5	10	8	8					
12	Число выданных открепительных удостоверений	38	13	4	5	0	0	0	0	0	0	0	1	2	1	0	0	2	3	0	1	3	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	3	6	0	0	1	2	3	4	2	3	3	4	0	1	1	0	1	16	2	16	4	1					
14	Число неиспользованных открепительных удостоверений	141	14	6	5	5	5	5	5	8	5	8	4	6	7	8	8	6	7	5	4	7	7	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	188	24	22	6	6	11	7	0	10	4	2	6	14	10	6	3	5	7	2	1	18	9	15					
		2.87%	3.09%	4.78%	2.87%	4.65%	6.21%	2.80%	0.00%	2.36%	1.53%	1.03%	2.78%	3.60%	2.91%	2.07%	1.26%	2.03%	3.06%	0.83%	0.83%	2.65%	3.77%	7.85%					
19	. Малышкин Олег Александрович	161	9	8	17	0	7	5	12	10	2	3	3	7	5	14	3	8	10	16	4	10	2	6					
		2.46%	1.16%	1.74%	8.13%	0.00%	3.95%	2.00%	4.86%	2.36%	0.76%	1.55%	1.39%	1.80%	1.45%	4.83%	1.26%	3.25%	4.37%	6.67%	3.31%	1.47%	0.84%	3.14%					
20	. Миронов Сергей Михайлович	86	10	8	3	4	2	3	5	4	3	4	2	2	9	6	3	3	3	2	2	4	2	2					
		1.31%	1.29%	1.74%	1.44%	3.10%	1.13%	1.20%	2.02%	0.94%	1.15%	2.06%	0.93%	0.51%	2.62%	2.07%	1.26%	1.22%	1.31%	0.83%	1.65%	0.59%	0.84%	1.05%					
21	. Путин Владимир Владимирович	4686	533	341	136	80	132	191	191	327	156	151	159	256	228	189	184	181	169	159	80	515	196	132					
		71.54%	68.60%	74.13%	65.07%	62.02%	74.58%	76.40%	77.33%	77.12%	59.54%	77.84%	73.61%	65.81%	66.28%	65.17%	77.31%	73.58%	73.80%	66.25%	66.12%	75.96%	82.01%	69.11%					
22	. Хакамада Ирина Муцуовна	86	14	5	7	2	2	3	0	2	5	3	2	5	7	2	2	0	1	2	5	12	0	5					
		1.31%	1.80%	1.09%	3.35%	1.55%	1.13%	1.20%	0.00%	0.47%	1.91%	1.55%	0.93%	1.29%	2.03%	0.69%	0.84%	0.00%	0.44%	0.83%	4.13%	1.77%	0.00%	2.62%					
23	. Харитонов Николай Михайлович	1234	161	66	33	33	22	39	35	66	87	28	40	97	80	70	43	49	34	57	28	110	27	29					
		18.84%	20.72%	14.35%	15.79%	25.58%	12.43%	15.60%	14.17%	15.57%	33.21%	14.43%	18.52%	24.94%	23.26%	24.14%	18.07%	19.92%	14.85%	23.75%	23.14%	16.22%	11.30%	15.18%					
																													
24	Против всех	92	22	9	7	4	1	2	3	3	5	1	4	6	4	1	0	0	5	2	1	7	3	2					
		1.40%	2.83%	1.96%	3.35%	3.10%	0.56%	0.80%	1.21%	0.71%	1.91%	0.52%	1.85%	1.54%	1.16%	0.34%	0.00%	0.00%	2.18%	0.83%	0.83%	1.03%	1.26%	1.05%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
