Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Верещагинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637					
1	"Число избирателей, внесенных в список"	31492	814	1189	1168	1177	1528	1642	1400	1776	1336	1640	1610	1797	421	804	956	785	1024	431	711	1481	222	519	283	114	329	609	615	633	1001	993	171	351	179	112	543	1019	109					
2	Число полученных избирательных бюллетеней	33000	900	1200	1250	1200	1550	1550	1400	1750	1300	1700	1670	1850	450	800	1000	850	1050	500	750	1600	250	550	300	120	380	600	700	750	1000	1150	200	400	200	160	650	1150	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16253	382	646	571	578	783	755	790	1067	830	799	806	989	239	485	474	253	567	233	355	775	100	224	166	97	205	400	223	280	443	515	72	165	104	83	268	459	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	3556	67	45	85	83	141	73	95	99	42	91	46	74	35	28	46	195	11	39	88	232	51	167	45	7	28	21	247	222	259	229	87	89	37	19	193	216	24					
6	Число погашенных избирательных бюллетеней	13191	451	509	594	539	626	722	515	584	428	810	818	787	176	287	480	402	472	228	307	593	99	159	89	16	147	179	230	248	298	406	41	146	59	58	189	475	24					
7	Число избирательных бюллетеней в переносных ящиках	3556	67	45	85	83	141	73	95	99	42	91	46	74	35	28	46	195	11	39	88	232	51	167	45	7	28	21	247	222	259	229	87	89	37	19	193	216	24					
8	Число бюллетеней в стационарных ящиках для голосования	16250	382	646	571	577	783	755	790	1067	830	799	806	989	239	485	474	253	565	233	355	775	100	224	166	97	205	400	223	280	443	515	72	165	104	83	268	459	72					
9	Число недействительных избирательных бюллетеней	173	6	9	6	10	7	4	9	13	8	5	5	9	5	7	2	0	6	2	3	9	0	10	2	0	1	7	1	0	10	0	0	0	2	1	9	5	0					
10	Число действительных избирательных бюллетеней	19633	443	682	650	650	917	824	876	1153	864	885	847	1054	269	506	518	448	570	270	440	998	151	381	209	104	232	414	469	502	692	744	159	254	139	101	452	670	96					
11	Число полученных открепительных  удостоверений	396	12	10	10	8	10	7	18	19	15	13	10	50	5	5	33	1	5	17	5	10	5	10	5	5	10	5	10	10	15	10	5	5	5	8	8	12	5					
