Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Нижнеилимская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №1592					
1	"Число избирателей, внесенных в список"	49666	877	904	585	66	437	1082	1088	472	369	2009	1523	769	947	757	747	2501	1578	1858	2774	1542	1612	1782	1804	2592	2507	2659	1560	2428	765	2148	163	746	570	436	876	597	1065	65	579	47	1780					
2	Число полученных избирательных бюллетеней	49440	890	890	570	68	440	1090	1070	470	360	2000	1520	770	950	760	730	2460	1530	1820	2760	1540	1630	1760	1800	2590	2500	2690	1570	2400	760	2130	153	780	560	450	870	580	1060	68	580	61	1760					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23687	384	444	327	45	185	437	464	227	154	801	576	416	438	415	507	980	728	747	1208	707	653	754	819	1250	1336	1449	787	1297	440	1076	87	380	257	326	534	383	507	50	337	42	733					
5	"Число избирательных бюллетеней, выданных вне помещения"	1085	108	19	38	0	51	26	34	13	44	64	42	9	6	13	7	9	8	17	17	22	15	11	41	99	52	27	82	29	5	6	19	16	7	6	23	21	44	7	15	0	13					
6	Число погашенных избирательных бюллетеней	24668	398	427	205	23	204	627	572	230	162	1135	902	345	506	332	216	1471	794	1056	1535	811	962	995	940	1241	1112	1214	701	1074	315	1048	47	384	296	118	313	176	509	11	228	19	1014					
7	Число избирательных бюллетеней в переносных ящиках	1085	108	19	38	0	51	26	34	13	44	64	42	9	6	13	7	9	8	17	17	22	15	11	41	99	52	27	82	29	5	6	19	16	7	6	23	21	44	7	15	0	13					
8	Число бюллетеней в стационарных ящиках для голосования	23686	384	444	327	45	185	437	464	227	154	801	576	416	438	415	507	980	728	747	1207	707	653	754	819	1250	1336	1449	787	1297	440	1076	87	380	257	326	534	383	507	50	337	42	733					
9	Число недействительных избирательных бюллетеней	210	7	4	3	0	3	8	4	2	0	11	14	6	4	6	7	9	6	10	14	0	11	3	1	6	9	6	5	10	1	4	0	6	3	0	6	8	7	1	3	0	2					
10	Число действительных избирательных бюллетеней	24561	485	459	362	45	233	455	494	238	198	854	604	419	440	422	507	980	730	754	1210	729	657	762	859	1343	1379	1470	864	1316	444	1078	106	390	261	332	551	396	544	56	349	42	744					
