Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Куркинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943					
1	"Число избирателей, внесенных в список"	10110	151	147	271	188	500	376	722	1306	1623	1405	326	391	320	402	219	390	368	445	145	415					
2	Число полученных избирательных бюллетеней	10209	150	147	277	181	494	375	734	1333	1662	1422	336	398	323	402	218	385	367	452	141	412					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4555	69	104	107	130	221	183	317	611	753	636	172	164	142	167	45	141	158	204	47	184					
5	"Число избирательных бюллетеней, выданных вне помещения"	1565	48	16	72	21	78	69	90	87	74	49	107	141	93	90	107	112	79	77	62	93					
6	Число погашенных избирательных бюллетеней	4089	33	27	98	30	195	123	327	635	835	737	57	93	88	145	66	132	130	171	32	135					
7	Число избирательных бюллетеней в переносных ящиках	1565	48	16	72	21	78	69	90	87	74	49	107	141	93	90	107	112	79	77	62	93					
8	Число бюллетеней в стационарных ящиках для голосования	4555	69	104	107	130	221	183	317	611	753	636	172	164	142	167	45	141	158	204	47	184					
9	Число недействительных избирательных бюллетеней	38	2	0	0	3	3	2	4	3	6	3	0	2	2	0	0	0	0	3	0	5					
10	Число действительных избирательных бюллетеней	6082	115	120	179	148	296	250	403	695	821	682	279	303	233	257	152	253	237	278	109	272					
11	Число полученных открепительных  удостоверений	122	2	2	2	2	2	2	8	25	20	20	7	4	2	2	4	2	2	3	2	9					
12	Число выданных открепительных удостоверений	95	0	0	2	0	1	2	6	24	18	14	6	3	1	1	3	2	0	3	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	1	4	7	1	1	3	3	4	5	0	1	4	1	3	1	2	0	3	14					
14	Число неиспользованных открепительных удостоверений	27	2	2	0	2	1	0	2	1	2	6	1	1	1	1	1	0	2	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	144	1	2	4	5	12	4	18	18	15	21	3	8	0	9	4	2	13	3	0	2					
		2.35%	0.85%	1.67%	2.23%	3.31%	4.01%	1.59%	4.42%	2.58%	1.81%	3.07%	1.08%	2.62%	0.00%	3.50%	2.63%	0.79%	5.49%	1.07%	0.00%	0.72%					
19	. Малышкин Олег Александрович	151	1	3	7	3	12	6	10	17	25	16	8	10	1	3	0	9	5	5	1	9					
		2.47%	0.85%	2.50%	3.91%	1.99%	4.01%	2.38%	2.46%	2.44%	3.02%	2.34%	2.87%	3.28%	0.43%	1.17%	0.00%	3.56%	2.11%	1.78%	0.92%	3.25%					
20	. Миронов Сергей Михайлович	44	0	3	4	2	3	2	2	9	6	3	1	0	0	4	0	2	2	0	0	1					
		0.72%	0.00%	2.50%	2.23%	1.32%	1.00%	0.79%	0.49%	1.29%	0.73%	0.44%	0.36%	0.00%	0.00%	1.56%	0.00%	0.79%	0.84%	0.00%	0.00%	0.36%					
21	. Путин Владимир Владимирович	3966	91	74	99	96	173	152	229	378	500	409	230	227	171	200	118	183	176	208	85	167					
		64.80%	77.78%	61.67%	55.31%	63.58%	57.86%	60.32%	56.27%	54.15%	60.46%	59.71%	82.44%	74.43%	72.77%	77.82%	77.63%	72.33%	74.26%	74.02%	77.98%	60.29%					
22	. Хакамада Ирина Муцуовна	89	0	3	2	2	4	9	5	11	11	14	4	4	1	3	3	5	4	3	0	1					
		1.45%	0.00%	2.50%	1.12%	1.32%	1.34%	3.57%	1.23%	1.58%	1.33%	2.04%	1.43%	1.31%	0.43%	1.17%	1.97%	1.98%	1.69%	1.07%	0.00%	0.36%					
23	. Харитонов Николай Михайлович	1509	20	34	63	35	80	71	125	233	230	195	31	48	54	27	26	49	24	59	21	84					
		24.66%	17.09%	28.33%	35.20%	23.18%	26.76%	28.17%	30.71%	33.38%	27.81%	28.47%	11.11%	15.74%	22.98%	10.51%	17.11%	19.37%	10.13%	21.00%	19.27%	30.32%					
																											
24	Против всех	179	2	1	0	5	12	6	14	29	34	24	2	6	6	11	1	3	13	0	2	8					
		2.92%	1.71%	0.83%	0.00%	3.31%	4.01%	2.38%	3.44%	4.15%	4.11%	3.50%	0.72%	1.97%	2.55%	4.28%	0.66%	1.19%	5.49%	0.00%	1.83%	2.89%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
