Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Красноселькупская									
									
Итоги голосования 									
									
		Сумма	УИК  7	УИК  8					
1	"Число избирателей, внесенных в список"	4547	3072	1475					
2	Число полученных избирательных бюллетеней	4400	3000	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	768	496	272					
4	"Число избирательных бюллетеней, выданных в день голосования"	3402	2339	1063					
5	"Число избирательных бюллетеней, выданных вне помещения"	182	117	65					
6	Число погашенных избирательных бюллетеней	48	48	0					
7	Число избирательных бюллетеней в переносных ящиках	950	613	337					
8	Число бюллетеней в стационарных ящиках для голосования	3399	2336	1063					
9	Число недействительных избирательных бюллетеней	86	73	13					
10	Число действительных избирательных бюллетеней	4263	2876	1387					
11	Число полученных открепительных  удостоверений	160	80	80					
12	Число выданных открепительных удостоверений	49	32	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	7	0					
14	Число неиспользованных открепительных удостоверений	111	48	63					
15	"Число открепительных удостоверений, выданных в ТИК"	6	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	40	14	26					
		0.92%	0.47%	1.86%					
19	. Малышкин Олег Александрович	49	16	33					
		1.13%	0.54%	2.36%					
20	. Миронов Сергей Михайлович	28	21	7					
		0.64%	0.71%	0.50%					
21	. Путин Владимир Владимирович	3955	2764	1191					
		90.94%	93.73%	85.07%					
22	. Хакамада Ирина Муцуовна	37	14	23					
		0.85%	0.47%	1.64%					
23	. Харитонов Николай Михайлович	106	20	86					
		2.44%	0.68%	6.14%					
									
24	Против всех	48	27	21					
		1.10%	0.92%	1.50%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
