Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Орловская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №2531	УИК №2532	УИК №2533	УИК №2597	УИК №2598	УИК №2599	УИК №2600					
1	"Число избирателей, внесенных в список"	30524	627	181	184	93	532	540	202	1095	255	381	1071	90	1363	1425	357	399	505	126	498	134	134	717	600	285	146	625	205	1163	1437	1478	1377	1278	999	1588	1062	1633	1678	1645	710	150	232	261	647	416					
2	Число полученных избирательных бюллетеней	30490	635	181	192	96	533	540	203	1100	251	383	1094	90	1360	1420	360	385	500	127	503	134	134	712	587	285	150	632	203	1150	1450	1480	1370	1260	1000	1610	1051	1640	1660	1610	705	150	232	261	653	418					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25085	473	177	163	92	445	408	178	798	162	295	753	53	1076	1243	262	257	393	63	438	128	121	564	486	244	135	487	168	1004	1218	1273	1191	1039	900	1422	920	1425	1447	1250	602	112	202	228	432	358					
5	"Число избирательных бюллетеней, выданных вне помещения"	2790	37	2	20	0	32	72	22	188	69	58	180	37	179	107	70	94	79	53	20	0	8	77	48	32	10	87	22	82	94	71	50	54	50	44	60	107	86	255	37	26	10	11	132	18					
6	Число погашенных избирательных бюллетеней	2615	125	2	9	4	56	60	3	114	20	30	161	0	105	70	28	34	28	11	45	6	5	71	53	9	5	58	13	64	138	136	129	167	50	144	71	108	127	105	66	12	20	22	89	42					
7	Число избирательных бюллетеней в переносных ящиках	2790	37	2	20	0	32	72	22	188	69	58	180	37	179	107	70	94	79	53	20	0	8	77	48	32	10	87	22	82	94	71	50	54	50	44	60	107	86	255	37	26	10	11	132	18					
8	Число бюллетеней в стационарных ящиках для голосования	25084	473	177	163	92	445	408	178	798	162	295	753	53	1076	1243	262	256	393	63	438	128	121	564	486	244	135	487	168	1004	1218	1273	1191	1039	900	1422	920	1425	1447	1250	602	112	202	228	432	358					
9	Число недействительных избирательных бюллетеней	313	6	0	0	0	1	1	6	3	0	2	4	0	18	24	3	1	4	0	6	0	0	2	4	0	0	2	0	1	20	93	2	75	0	0	7	5	4	13	0	0	4	1	0	1					
10	Число действительных избирательных бюллетеней	27561	504	179	183	92	476	479	194	983	231	351	929	90	1237	1326	329	349	468	116	452	128	129	639	530	276	145	572	190	1085	1292	1251	1239	1018	950	1466	973	1527	1529	1492	639	138	208	238	564	375					
