Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    Орловская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №1553	УИК №1554	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1593	УИК №1594	УИК №1595	УИК №1596									
1	"Число избирателей, включенных в список избирателей"	27519	659	197	460	491	145	1052	202	286	1012	1188	1360	258	328	415	80	445	122	113	715	617	256	114	568	171	1311	1104	1711	978	1273	1158	1198	965	1618	1415	1533	688	181	235	561	336									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27910	650	200	450	500	160	1050	210	300	1050	1200	1400	250	350	430	90	470	130	120	730	620	250	140	600	170	1250	1100	1700	1000	1300	1200	1200	1000	1650	1400	1550	730	180	240	550	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19585	499	152	301	246	105	681	114	180	746	604	649	170	212	249	40	357	95	82	547	451	144	89	407	104	935	799	1356	782	1116	945	602	732	1197	1212	1165	501	142	197	414	266									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2063	38	14	43	59	14	161	38	52	74	103	136	41	44	60	26	23	3	11	56	27	37	8	28	23	161	99	62	50	39	50	34	50	77	57	111	60	13	3	61	17									
6	Число погашенных избирательных бюллетеней	6262	113	34	106	195	41	208	58	68	230	493	615	39	94	121	24	90	32	27	127	142	69	43	165	43	154	202	282	168	145	205	564	218	376	131	274	169	25	40	75	57									
