Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Большеберезниковская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	2	0	2	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18	12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1					
		0.16%	0.76%	0.07%	0.11%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	20	7	1	5	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.18%	0.44%	0.07%	0.53%	0.20%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.53%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.06%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	83	12	15	10	6	0	1	1	2	2	2	1	1	1	2	4	0	1	3	4	2	3	1	4	1	4					
		0.73%	0.76%	1.06%	1.05%	0.60%	0.00%	0.52%	0.57%	2.53%	1.80%	1.03%	0.53%	0.39%	0.29%	0.34%	1.08%	0.00%	0.30%	0.72%	2.58%	0.35%	0.88%	0.21%	1.40%	0.60%	0.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.13%	0.00%	0.11%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11181	1545	1396	930	982	188	192	173	77	108	193	185	256	341	579	366	243	336	412	151	567	339	467	278	165	712					
		98.87%	97.85%	98.80%	98.10%	98.89%	100.00%	99.48%	99.43%	97.47%	97.30%	98.97%	98.93%	99.22%	99.71%	99.66%	98.92%	100.00%	99.70%	99.28%	97.42%	99.65%	99.12%	99.79%	97.54%	99.40%	99.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
